year,aux_ADP oeufs_NOUN
1800,6.917161954334006e-08
1801,6.667310969987739e-08
1802,4.699464284385613e-08
1803,3.1400460898112215e-07
1804,7.662737999680758e-08
1805,7.960057502032214e-08
1806,8.645007376628655e-09
1807,1.4234775580490577e-08
1808,1.8128592405020072e-08
1809,4.518061036407062e-09
1810,5.8503168531842675e-08
1811,5.0141537144554604e-08
1812,1.3336040716183106e-08
1813,5.4639092583741444e-08
1814,1.0698702368472368e-07
1815,3.7761129112467984e-08
1816,3.012885052555703e-08
1817,5.916119061311065e-08
1818,3.814776827759658e-08
1819,3.726378139390363e-08
1820,2.4919610375206958e-08
1821,5.916893086599373e-09
1822,1.804610860745015e-08
1823,3.656594182999129e-08
1824,8.421112696055388e-09
1825,2.993850611865412e-08
1826,1.673516958344834e-08
1827,9.032927417162995e-08
1828,2.2013523004460467e-08
1829,1.371708191477694e-08
1830,2.713577385016208e-08
1831,3.1182412207897414e-09
1832,1.2176972319366541e-08
1833,5.096796495962508e-08
1834,4.760610750054184e-08
1835,1.285724948729694e-08
1836,2.2178474501366452e-08
1837,1.669893889832963e-08
1838,2.524864739505972e-08
1839,3.705481832483315e-08
1840,1.2739376997750185e-08
1841,2.1829864138567245e-08
1842,1.2074877098200432e-08
1843,2.067418880535854e-08
1844,3.0187086219601866e-08
1845,1.0602433431206038e-08
1846,2.4588905578326603e-08
1847,3.235934187273415e-08
1848,4.263967390283341e-08
1849,3.192557191944445e-07
1850,3.1229382635444836e-08
1851,1.3543821397732358e-08
1852,1.2370036106545967e-08
1853,2.1498954394516545e-08
1854,1.1430461910322265e-08
1855,1.0083180512765466e-08
1856,1.656700471253103e-08
1857,1.2691923734209354e-08
1858,1.810660127388175e-08
1859,1.8841041837802663e-08
1860,4.9433585891378584e-08
1861,2.4523011954435958e-08
1862,1.2198563326126788e-08
1863,1.1487628237549785e-08
1864,2.0137857159596706e-08
1865,1.6003270930653457e-08
1866,1.800276755448138e-08
1867,1.552899675516528e-08
1868,2.1735446775750233e-08
1869,2.051078074050139e-08
1870,1.6055336615750093e-08
1871,1.911811908783534e-08
1872,2.8422494247060115e-08
1873,1.975381419550004e-08
1874,1.852128866941527e-08
1875,1.773673402594156e-08
1876,1.6928840995689143e-08
1877,2.3502301438327322e-08
1878,1.5701630662334765e-08
1879,1.8327975470633362e-08
1880,1.4119261759759638e-08
1881,1.6036767469529423e-08
1882,2.4624924765959122e-08
1883,1.9589950550624735e-08
1884,2.178559999066465e-08
1885,2.7716233141905633e-08
1886,1.677900607344185e-08
1887,2.1545451422966266e-08
1888,1.6485597775783845e-08
1889,2.7566601890072207e-08
1890,1.769684393471138e-08
1891,2.039750490734349e-08
1892,2.1939793759528925e-08
1893,6.220000881018706e-08
1894,2.7726772655611853e-08
1895,2.1667012406467734e-08
1896,4.304831285883992e-08
1897,2.5054868624252435e-08
1898,1.923840697859447e-08
1899,1.6029977345510815e-08
1900,1.8687791869531623e-08
1901,1.5089594740391732e-08
1902,1.964113566232939e-08
1903,2.6461078883599498e-08
1904,2.579820090886642e-08
1905,2.477164318115399e-08
1906,4.629766126029722e-08
1907,2.9314207394826042e-08
1908,3.0941750717161653e-08
1909,3.630649092478677e-08
1910,2.4583093671814993e-08
1911,2.1813534423209546e-08
1912,2.9172759097306766e-08
1913,2.969674284258872e-08
1914,2.7456650120161186e-08
1915,3.534228543156104e-08
1916,2.966614820465452e-08
1917,2.4126132980306636e-08
1918,2.756730221875614e-08
1919,3.314825314237879e-08
1920,2.2716694747515476e-08
1921,3.7106463346425755e-08
1922,3.6889676535700744e-08
1923,3.3971033097657255e-08
1924,1.933743609683347e-08
1925,5.389107027298223e-08
1926,5.015762494231524e-08
1927,5.6861045205636174e-08
1928,6.398583118905066e-08
1929,2.1166771890790415e-08
1930,2.835972989778668e-08
1931,3.649714130915527e-08
1932,4.6030052880396966e-08
1933,5.391211344019098e-08
1934,6.949316322391041e-08
1935,3.4708023122220766e-08
1936,7.517323252770325e-08
1937,6.29555889641864e-08
1938,3.630259959308546e-08
1939,6.72938211820906e-08
1940,1.2678914629304927e-07
1941,8.854507527189526e-08
1942,1.0923162463427616e-07
