year,les_DET oies_NOUN,les_DET foies_NOUN
1800,1.2576657759666432e-06,1.1947824773983484e-07
1801,1.1977348979286262e-06,1.0477203682413005e-07
1802,1.163676898841004e-06,3.1553545909446257e-07
1803,2.1687771649681054e-06,2.457427399349399e-07
1804,1.3867083934471225e-06,1.5572661204998894e-07
1805,2.2146017630841897e-06,1.648869130121966e-07
1806,5.79215488016871e-07,7.780506905419315e-08
1807,5.523092792003581e-07,2.562259560079383e-08
1808,9.789439445739845e-07,9.517510868306545e-08
1809,1.5790623262290637e-06,8.584315880355575e-08
1810,8.284048975681912e-07,7.020380143885063e-08
1811,6.86939027438882e-07,1.42903374467096e-07
1812,3.040617375660304e-07,7.73490369532226e-08
1813,4.486156939265129e-07,1.00650957790549e-07
1814,4.6256154684343187e-07,2.8320094713762956e-08
1815,5.772058635500343e-07,1.5374174022753095e-07
1816,7.207747927395758e-07,1.7382028616452772e-07
1817,6.896949305001954e-07,1.5101671380080006e-07
1818,1.624856460047397e-06,7.271917934481564e-08
1819,3.560761119292266e-07,5.3825459644940565e-08
1820,6.028172503391716e-07,5.102586797534059e-08
1821,3.8361188581248484e-07,2.761216755242657e-08
1822,7.128213184159904e-07,4.712039469723095e-08
1823,6.453394680860924e-07,3.9530747564242574e-08
1824,4.7326652907742073e-07,1.0694813035172501e-07
1825,8.04817498867294e-07,4.754939109119505e-08
1826,4.862007410011415e-07,2.6423953247700638e-08
1827,7.521294603796136e-07,6.083400216905233e-08
1828,6.741641236374107e-07,8.62196332107601e-08
1829,5.332515518041703e-07,6.77280924676893e-08
1830,5.604580937124126e-07,8.975678511546903e-08
1831,5.347783620379687e-07,5.768746369483324e-08
1832,4.7354891563600177e-07,2.7059938556561747e-07
1833,5.444305370971847e-07,8.10853997279537e-08
1834,6.823541847111869e-07,1.0921401383257034e-07
1835,6.239547474251594e-07,5.445423312266939e-08
1836,6.431757593183818e-07,9.74508758133652e-08
1837,5.656765456052426e-07,6.679575204060484e-08
1838,5.655697066231369e-07,5.617823939374489e-08
1839,5.949745203182033e-07,8.879173840625754e-08
1840,4.834593818614508e-07,9.873017692285657e-08
1841,4.25040309615099e-07,6.998397861224248e-08
1842,4.320122641843227e-07,9.257405686469156e-08
1843,4.690087438419255e-07,6.02504939273274e-08
1844,4.7476054065853646e-07,5.543446857103618e-08
1845,6.679532877917893e-07,1.032342193951763e-07
1846,3.9225158054989606e-07,6.030136279200349e-08
1847,7.286245065074581e-07,1.3105533369639488e-07
1848,5.044354058902911e-07,8.045221910890632e-08
1849,4.047257355921374e-07,7.122502498901895e-08
1850,4.4332145066050543e-07,1.480001152742716e-07
1851,5.559416085265667e-07,7.416854685970975e-08
1852,5.162862439789251e-07,1.6406574232519233e-07
1853,6.819946207770045e-07,2.0065690620185705e-07
1854,4.494249861153321e-07,8.416976093883477e-08
1855,5.046897229021852e-07,1.4116452717871653e-07
1856,4.902798327321989e-07,1.6670549918273991e-07
1857,4.115112304248214e-07,1.0641689662804765e-07
1858,4.0519638666580704e-07,9.934162026326021e-08
1859,5.412980277341717e-07,1.27813553518763e-07
1860,4.641264600979689e-07,1.1168328839517017e-07
1861,4.7253954882364724e-07,8.677373575238789e-08
1862,4.716777590729748e-07,1.1023886559158314e-07
1863,4.390271755028152e-07,8.790532479707736e-08
1864,5.489963399440967e-07,8.918194183138439e-08
1865,5.492887309443972e-07,1.2896753887048362e-07
1866,4.1406367046192827e-07,2.058154251471933e-07
1867,5.74572872835688e-07,1.402462501687296e-07
1868,6.001947054912193e-07,2.1389654492054433e-07
1869,4.903053287819148e-07,1.4211040166856037e-07
1870,4.656047671858232e-07,6.766177484962554e-08
1871,5.703572205639773e-07,8.284518671075602e-08
1872,4.3540843108758054e-07,9.55479588782282e-08
1873,5.225781896101012e-07,2.7176461436795307e-07
1874,5.580284909711963e-07,1.135175740074601e-07
1875,4.828969011327899e-07,9.211658635877029e-08
1876,4.6554313826163707e-07,1.0640986403132047e-07
1877,6.110598054220873e-07,1.960586661908792e-07
1878,4.813153733351783e-07,1.2984040598240654e-07
1879,4.661415058393459e-07,1.0202573452744446e-07
1880,6.327996473487474e-07,7.958129621954413e-08
1881,5.68956634694473e-07,1.2759688772234767e-07
1882,5.051437419467675e-07,1.4774955303664683e-07
1883,6.243506760483797e-07,9.542201517831472e-08
1884,5.644450800090794e-07,1.3533479048533081e-07
