year,premiers_ADJ acteurs_NOUN,premiers_ADJ facteurs_NOUN
1800,5.0306631749208464e-08,6.917161954334006e-08
1801,3.000290007548756e-07,7.143547975374531e-09
1802,8.951360541686881e-08,1.3427040812530322e-08
1803,1.0726865440346955e-07,1.950339223455444e-09
1804,1.0134588990240445e-07,2.2246657849223084e-08
1805,1.2224374756897305e-07,4.264316544322355e-08
1806,1.5849180101668026e-07,5.76333825108577e-09
1807,1.708173016368164e-07,3.131650672116848e-08
1808,1.6315732409566408e-07,2.039466551195801e-08
1809,1.9427662323323602e-07,1.581321384946932e-08
1810,1.5444837231370911e-07,6.552355102940055e-08
1811,7.52123057168319e-08,7.521229861140455e-09
1812,2.90725694185312e-07,7.20146218213813e-08
1813,1.0640243885973177e-07,3.738464116054274e-08
1814,1.0069366851439554e-07,1.2586708564299443e-08
1815,1.3216394734172354e-07,2.4275012222574333e-08
1816,2.7811246638975717e-08,1.3905623319487859e-08
1817,1.9460917144442647e-07,1.0898113522728181e-08
1818,1.1086694939876907e-07,1.0729059418679299e-08
1819,7.866798057420965e-08,1.7596784473994376e-08
1820,9.137190204455692e-08,8.306536791735653e-09
1821,1.2819934624985763e-07,1.676452932031225e-08
1822,1.7945852448519872e-07,1.7043547018147365e-08
1823,1.6899394950087299e-07,1.7788837070042973e-08
1824,1.5242214601585147e-07,2.5263338088166165e-09
1825,1.1975402003372437e-07,5.283265824829186e-09
1826,1.0569581121444571e-07,5.19671061738336e-08
1827,1.640674582858992e-07,8.295545583791863e-09
1828,9.630916508740484e-08,7.337841001486822e-09
1829,7.201467866480016e-08,2.571952872898464e-09
1830,1.669893663347466e-07,1.3567886369969528e-08
1831,6.080570358335535e-08,9.354723218280014e-09
1832,8.117981309396782e-08,2.705993873419743e-09
1833,7.992703388026712e-08,3.4750886612755494e-09
1834,7.094243414940138e-08,4.667265685043276e-09
1835,9.15133639978194e-08,2.647080776796429e-08
1836,3.5619976301859424e-08,6.048674894287842e-09
1837,1.0019363116953173e-07,5.5663127440652715e-09
1838,5.996553653631054e-08,2.651107955387033e-08
1839,8.040196775027653e-08,2.23727205650448e-08
1840,6.688173215252391e-08,8.917564464638872e-09
1841,5.457466301095337e-08,3.338685417020315e-08
1842,4.8970335342346516e-08,2.2808102073668124e-08
1843,5.434358030242947e-08,9.451057714215949e-09
1844,6.421616660645668e-08,1.701453911095996e-08
1845,3.013322924516615e-08,1.3392547515422848e-08
1846,6.030136034951283e-08,7.025401593807601e-09
1847,2.8584086209093584e-08,1.833696039454935e-08
1848,5.873011943435813e-08,2.091757700384278e-08
1849,1.3658446107456257e-07,6.703531951757213e-09
1850,2.0366988096043315e-08,1.2220192857625989e-08
1851,6.191461210391935e-08,5.159551008659946e-09
1852,8.593919886834556e-08,1.4974254725075298e-08
1853,5.6733352238325097e-08,1.6721408258035808e-08
1854,4.9878380536938494e-08,8.313063126763609e-09
1855,7.90733594158155e-08,1.751289246954002e-08
1856,4.0899795550330964e-08,1.863788057221427e-08
1857,6.931743001814539e-08,2.880090299584026e-08
1858,3.7191938417890924e-08,2.4468380654951716e-09
1859,7.587338046732839e-08,3.0043821652725455e-08
1860,3.020941363729435e-08,2.334363813361051e-08
1861,3.8670901147952463e-08,2.0278644541349422e-08
1862,1.0346188616949803e-07,8.132375661773494e-09
1863,5.394190338847693e-08,3.146611149418277e-08
1864,5.5618844641003307e-08,1.582260189536555e-08
1865,4.565638889175716e-08,8.943004559114343e-09
1866,3.843834051053818e-08,1.216403244796993e-08
1867,3.542552207136396e-08,1.164674756637396e-08
1868,5.3844626535237694e-08,1.0373735648272486e-08
1869,3.955650385023546e-08,8.30198221279943e-09
1870,4.816600807089344e-08,3.4977698959437475e-08
1871,4.885741589077952e-08,2.973929724703339e-08
1872,4.475031190054324e-08,1.2094679036067646e-08
1873,5.806424496768159e-08,2.5141218884527916e-08
1874,7.05003913026303e-08,1.9716210886144836e-08
1875,7.552415581812966e-08,3.3757011408397375e-08
1876,2.6602464231473277e-08,1.6324239737741664e-08
1877,3.587193120324628e-08,1.4843558382438005e-08
1878,4.650098262004576e-08,1.6305540029293297e-08
1879,4.520900631632685e-08,2.1993571408529533e-08
1880,8.022308151112156e-08,4.55667077403632e-08
1881,6.83305714233029e-08,1.3945014920579979e-08
1882,4.326000180299161e-08,2.1962771157291172e-08
1883,4.73950407808843e-08,3.2860562271253e-08
1884,4.951272813968899e-08,3.036780782394999e-08
1885,4.254119545521462e-08,5.02759576193057e-08
1886,5.549978965291302e-08,4.2592862570245416e-08
1887,4.7661149693567495e-08,3.590908548289917e-08
1888,3.804368731152863e-08,4.5018364147608736e-08
1889,4.1976417008982025e-08,4.8868066926388565e-08
1890,2.6872983838188702e-08,4.391439034634459e-08
1891,1.8485238229004608e-08,2.2947192590550003e-08
1892,2.4447198043731078e-08,4.011847920537548e-08
1893,5.173069794750518e-08,6.77425830986067e-08
1894,3.0247388593807045e-08,4.348062176973144e-08
1895,2.8287487907618925e-08,3.250051960890232e-08
1896,3.184395680477792e-08,3.3613066108273415e-08
1897,1.1070755867592652e-08,3.204692333724779e-08
1898,2.4896761985360172e-08,6.620275172508627e-08
1899,1.492446166651007e-08,4.477338677588705e-08
1900,4.671947806400567e-08,4.2047531678690575e-08
1901,1.5648469187112823e-08,3.017919070202879e-08
1902,2.8479647085077886e-08,4.1246384085980026e-08
1903,1.9440793863623185e-08,5.724233531623213e-08
1904,2.364835083312755e-08,6.019580212068831e-08
1905,2.631987072732045e-08,3.767354073147544e-08
1906,2.9321851613417493e-08,4.73264982758792e-08
1907,2.1599941391059474e-08,4.988558188756542e-08
1908,2.3083527977973972e-08,3.732655784460803e-08
1909,3.025541062129378e-08,6.271121577583472e-08
1910,4.756294202934441e-08,5.3975920621951445e-08
1911,3.1390207766435196e-08,4.9479478292369095e-08
1912,3.0735584743979416e-08,4.375913675858101e-08
1913,2.1742257771961704e-08,5.196929819817342e-08
1914,2.74566485103378e-08,6.830678245250965e-08
1915,2.0027295377644805e-08,5.5369582696584985e-08
1916,1.9777431248257926e-08,4.8344833913915863e-08
1917,1.6449636319748606e-08,4.605898240583883e-08
1918,6.087779524932557e-08,3.9053681177847466e-08
1919,1.4732557396257562e-08,5.616787390749778e-08
1920,1.4387239843927091e-08,7.042175553806374e-08
1921,1.5145495524393482e-08,4.770830841493989e-08
1922,3.024953443286904e-08,4.869437475463201e-08
1923,2.9724654737606215e-08,4.352538596208433e-08
1924,3.9964035636330664e-08,5.801231139912488e-08
1925,1.9796720707176974e-08,7.6987248576188e-08
1926,2.6750733184144337e-08,5.238685218955652e-08
1927,3.2332753363562006e-08,6.689534615134107e-08
1928,3.884854038460617e-08,6.741364444451392e-08
1929,3.230717737778832e-08,6.238627747734427e-08
1930,3.046045193855207e-08,4.516549623190258e-08
1931,3.877821086462063e-08,4.334035708097872e-08
1932,3.3974561830518724e-08,7.123698964051073e-08
1933,4.12943848004943e-08,6.079451253526713e-08
1934,3.2350264689284813e-08,5.511526879331541e-08
1935,1.196828414151696e-08,6.103825000991492e-08
1936,1.8187071404440758e-08,7.274828561776303e-08
1937,1.6368453259474336e-08,6.1696475484041e-08
1938,1.2965214679638848e-08,6.352954784460962e-08
1939,1.6823456405745674e-08,5.8117393564316444e-08
1940,1.7750480196809804e-08,7.353770570261986e-08
1941,2.9515025090631752e-08,7.083606590185809e-08
1942,2.4273694165799498e-08,8.192371581117186e-08
1943,2.9032351633873077e-08,8.129058670647282e-08
1944,2.8918675454292497e-08,5.7837350908584995e-08
1945,4.357008087652048e-09,4.1391576388605245e-08
1946,9.744772988540262e-09,7.378185529205439e-08
1947,2.3841742802233057e-08,6.556479092978407e-08
1948,3.696441908118686e-08,7.175445659868274e-08
1949,3.6322930441201606e-08,8.049946842447753e-08
1950,6.168509969484148e-08,1.0954422435816014e-07
1951,2.4521224162299404e-08,7.249753508631329e-08
1952,1.8980646387944944e-08,6.537778318715937e-08
1953,1.6160740301529586e-08,7.002987700843732e-08
1954,9.772536557761669e-09,9.479359874831061e-08
1955,4.223523575319632e-08,7.883910768669011e-08
1956,2.0058624983221307e-08,9.15719837735196e-08
1957,2.3854601849393475e-08,1.0160293584249303e-07
1958,2.3989505493204888e-08,6.700517474200751e-08
1959,2.325224279786653e-08,8.293299913475494e-08
1960,2.906750040665429e-08,1.0173624787057634e-07
1961,2.431855783413539e-08,9.380015342230763e-08
1962,2.0928455413127267e-08,7.10299090656008e-08
1963,6.401392482757728e-08,6.660035012373555e-08
1964,5.353892262860427e-08,6.753204928600098e-08
1965,3.3926667697414814e-08,8.64582858639551e-08
1966,1.9386762417639147e-08,7.810095326021838e-08
1967,3.3526280418527676e-08,7.740626983832044e-08
1968,4.356673244387821e-08,8.982831900539168e-08
1969,1.544197658631674e-08,1.0173537390301135e-07
1970,4.598724956395017e-08,1.1358850571241419e-07
1971,3.9051819555879774e-08,1.53638083588703e-07
1972,2.205963234302999e-08,1.4980028595346084e-07
1973,2.921997932503473e-08,2.1722023291204096e-07
1974,2.981553137715309e-08,1.7214249226071843e-07
1975,1.313640396460869e-08,1.6848866835061926e-07
1976,1.8854638739185248e-08,2.3996813069970813e-07
1977,1.3516598507123945e-08,2.3800966175713256e-07
1978,2.1386128423728223e-08,2.1564346752711572e-07
1979,2.691907674545746e-08,2.1008584383253037e-07
1980,4.036456857647863e-08,1.4610837695272494e-07
1981,2.84649726012276e-08,1.4675275394893106e-07
1982,2.6071509395819703e-08,2.5264534997404553e-07
1983,4.0418022706489865e-08,1.894594845452957e-07
1984,5.277097869793579e-08,1.6237223121606803e-07
1985,3.308556983938615e-08,1.7084184378290956e-07
1986,4.975423095743281e-08,1.7743677460657636e-07
1987,5.316410778277714e-08,1.448263589054477e-07
1988,5.5767952034102564e-08,1.619069536218376e-07
1989,4.939310116469642e-08,1.114088803433333e-07
1990,5.9390295348293876e-08,1.3403681009549473e-07
1991,5.2167038688821776e-08,2.022205478624528e-07
1992,4.903850481241534e-08,1.4601351949750097e-07
1993,6.370088811991081e-08,1.0746062173438986e-07
1994,5.327675722810454e-08,1.0760849988855625e-07
1995,6.886512693426994e-08,1.106179965404408e-07
1996,7.366567444933025e-08,1.2811420901925885e-07
1997,9.014401314288989e-08,1.0740563993749674e-07
1998,7.629006404386018e-08,1.0823653440183989e-07
1999,7.403725987842336e-08,1.1654012865847108e-07
2000,1.0294013463862939e-07,8.747702651135114e-08
2001,9.857726723794258e-08,1.0602532540815446e-07
2002,1.0295870822574216e-07,1.0339682887661183e-07
2003,1.0333968702980201e-07,1.37508450848145e-07
2004,1.0703642772114108e-07,9.338157269667136e-08
2005,1.2790648895588674e-07,9.592986316420138e-08
2006,1.1900701935019242e-07,1.0747692869017555e-07
2007,1.1464155846852009e-07,1.0066088407256757e-07
2008,1.4134700165868708e-07,1.2559446815885167e-07
2009,1.282643751210344e-07,9.202611295222596e-08
2010,1.025063056658837e-07,9.211396445607534e-08
2011,1.0248244564081688e-07,8.68041638568684e-08
2012,8.98722731790258e-08,6.16169728573368e-08
2013,8.451048927327065e-08,7.865332918299828e-08
2014,6.604607705185117e-08,5.6734663189672574e-08
2015,7.913174471241291e-08,4.122830077335493e-08
2016,7.270403301617989e-08,5.323343899021893e-08
2017,7.647458488690972e-08,4.9809102620201884e-08
2018,6.995774981533032e-08,3.898014711012365e-08
2019,8.596828848794758e-08,4.846876677788714e-08
