year,gros_ADJ airs_NOUN,gros_ADJ fers_NOUN
1800,0.0,4.7162468153061354e-08
1801,0.0,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,2.3404070681465328e-08
1804,9.887403784603066e-09,9.887403784603066e-09
1805,0.0,5.117179902036639e-08
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,0.0,2.2660739062985158e-08
1809,0.0,3.840352036377226e-08
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,8.268345785822362e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,4.09068032780624e-08
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,5.916118972493223e-08
1818,0.0,0.0
1819,0.0,5.072014674922798e-08
1820,0.0,2.7292905713238724e-08
1821,6.903041693817613e-09,9.86148829262845e-10
1822,0.0,6.015369535816717e-09
1823,0.0,2.3718449093657057e-08
1824,0.0,4.0421340941065864e-08
1825,0.0,2.641632912414593e-09
1826,2.642395191543301e-09,1.9377565330103153e-08
1827,0.0,5.530363722527909e-08
1828,3.668920500743411e-09,1.0089531266022078e-08
1829,2.571952872898464e-09,2.229025836131271e-08
1830,2.0873671680021744e-09,5.114049628218709e-08
1831,0.0,1.2472964439069756e-08
1832,0.0,6.494385040856088e-08
1833,0.0,5.791814139399776e-09
1834,0.0,2.7070139463347687e-08
1835,0.0,1.739510224751939e-08
1836,0.0,2.755507466645213e-08
1837,0.0,3.75726116885744e-08
1838,1.2624323808552163e-09,4.5447563934430946e-08
1839,0.0,2.1673573158409454e-08
1840,0.0,6.497082694068013e-08
1841,0.0,2.247191943638427e-08
1842,0.0,3.4212152222323766e-08
1843,1.1813822142769936e-09,4.1939067330076796e-08
1844,0.0,2.6893951121653714e-08
1845,3.9061593959388574e-09,3.459741293454499e-08
1846,2.3418005312692003e-09,3.395610792544801e-08
1847,0.0,6.094342808182773e-08
1848,0.0,1.448139919091318e-08
1849,0.0,2.2624419893091385e-08
1850,0.0,3.2587180065490884e-08
1851,0.0,5.997977936544885e-08
1852,0.0,2.7344290387532055e-08
1853,5.971931837933653e-10,7.644072663737234e-08
1854,2.0782657816909023e-09,1.1430461910322265e-08
1855,0.0,4.139410947345823e-08
1856,0.0,2.6403665032148638e-08
1857,9.763018171682347e-10,4.9791392342513063e-08
1858,0.0,1.859596826525589e-08
1859,0.0,3.3099126106606036e-08
1860,4.577183909670879e-10,2.1512764902809067e-08
1861,4.715963730639317e-10,5.376198536355403e-08
