year,mains_NOUN in_ADJ,mains_NOUN fines_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,8.421112696055388e-10,0.0
1825,7.044354433105582e-09,0.0
1826,8.807984341885344e-10,0.0
1827,3.6869092223668076e-09,1.8434546111834038e-09
1828,9.172301251858528e-10,0.0
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,6.236482441579483e-09,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,0.0,9.334530925997342e-10
1835,0.0,0.0
1836,1.3441500135158435e-09,6.720750067579218e-10
1837,6.957890930081589e-10,2.0873671680021744e-09
1838,2.5248647617104325e-09,2.5248647617104325e-09
1839,6.9914751765765e-10,6.9914749545318955e-09
1840,3.1848443882154243e-09,1.7198159341091923e-08
1841,0.0,1.6693427085101575e-08
1842,1.341653010911159e-09,6.708265054555795e-09
1843,1.1813822142769936e-09,1.2995204023980023e-08
1844,1.6465684371524958e-09,6.586273748609983e-09
1845,2.7901139176833567e-09,3.9061593959388574e-09
1846,2.3418005312692003e-09,1.8148954339380907e-08
1847,2.6966118227278457e-09,8.629157832729106e-09
1848,8.045221711050488e-10,8.84974404868899e-09
1849,0.0,5.865590679832167e-09
1850,4.073397619208663e-09,8.82569484161877e-09
1851,6.449438760824933e-10,4.514607354622058e-09
1852,2.6042181744401205e-09,1.1718981340891332e-08
1853,1.7915795513800958e-09,1.970737528722566e-08
1854,1.558699391779328e-09,1.4028294081924741e-08
1855,5.306937111981824e-09,2.9718847827098216e-08
1856,1.5531567143511893e-09,3.468716869292621e-08
1857,4.881509085841174e-10,1.6597130780837688e-08
1858,4.893676130990343e-09,3.474509924217273e-08
1859,5.092173349652285e-09,2.9025388315062628e-08
1860,1.373155145145688e-09,2.7920821210614122e-08
1861,0.0,2.5937801240161207e-08
1862,7.680577063240435e-09,2.5300723294208183e-08
1863,9.989241656072068e-10,2.3474717281146695e-08
1864,4.794727948009836e-10,2.6371003158942585e-08
1865,3.765475486972036e-09,2.6829013677343028e-08
1866,2.919367858567057e-09,4.184427027098536e-08
1867,5.338092634588065e-09,3.2513838732484146e-08
1868,0.0,1.6301584082611953e-08
1869,1.4650557433881772e-09,4.541672637969896e-08
1870,2.2936195165357276e-09,2.2362790730312554e-08
1871,2.1242354542039266e-09,4.6733180880664804e-08
1872,1.8142017887967654e-09,6.289232601375261e-08
1873,1.1972008939764578e-09,6.225444337815134e-08
1874,2.3898436563030145e-09,3.2860349108432274e-08
1875,2.2886108563824337e-09,2.0597497041308088e-08
1876,2.418405919968336e-09,2.2974855795609983e-08
1877,1.8554447978047506e-09,2.72131899237138e-08
1878,3.6234530931267273e-09,3.140326043649111e-08
1879,1.221865053580018e-09,3.29903571127943e-08
1880,0.0,2.759673911612026e-08
1881,1.3945015142624584e-09,3.486253774553916e-08
1882,1.3310770263785798e-09,6.389169726617183e-08
1883,3.159669414998234e-09,3.159669503816076e-08
1884,2.6406787867472303e-09,3.9610181801208455e-08
1885,1.933690763067375e-09,3.867381437316908e-08
1886,1.936039106809062e-09,8.454037470073672e-08
1887,0.0,7.704131377295198e-08
1888,6.340614699951175e-10,5.7065530967292943e-08
