year,des_DET ânes_NOUN,des_DET anes_NOUN,des_DET fans_NOUN
1800,4.967779845266307e-07,3.144164484325529e-09,3.144164484325529e-09
1801,7.19117167591321e-07,4.524246866033366e-08,7.143547975374531e-09
1802,8.391900507831451e-07,1.5664880947952042e-08,2.2378401354217203e-09
1803,7.762350111573113e-07,7.801356893821776e-09,0.0
1804,6.772871756766108e-07,1.2359254952798437e-08,2.4718509461507665e-09
1805,6.567047590166908e-07,2.842877711017877e-09,2.842877666608956e-08
1806,3.890253230665053e-07,2.881669125542885e-08,2.881669125542885e-09
1807,7.288204901811923e-07,1.4234776024579787e-08,1.99286853685976e-08
1808,9.970725134422764e-07,1.1330369975581789e-08,0.0
1809,9.05871218037646e-07,2.7108366440486975e-08,4.518061036407062e-09
1810,4.703654750137787e-07,1.4040760110134443e-08,2.3401267590372754e-09
1811,7.01981491602055e-07,2.5070767684098882e-09,2.5070767684098882e-09
1812,6.881397212055163e-07,2.1337664968257286e-08,0.0
1813,6.15408737303369e-07,5.751483289628823e-09,0.0
1814,7.740825935798057e-07,6.293354282149721e-09,3.1466771410748606e-09
1815,5.718113698094385e-07,5.394447111228828e-09,5.394447111228828e-09
1816,7.30045242036681e-07,4.6352077731626196e-09,4.6352077731626196e-09
1817,4.997563678443839e-07,3.113746815941454e-09,1.556873407970727e-09
1818,5.114185341881239e-07,8.344823942962876e-09,4.768470951432846e-09
1819,8.384350280721264e-07,1.3456365355324351e-08,1.035105001712111e-09
1820,6.633363156538508e-07,1.5426425470366212e-08,5.933240565525466e-09
1821,6.557889458136401e-07,1.9722976585256902e-08,2.9584463767662328e-09
1822,5.514089025382418e-07,3.0076847679083585e-09,3.0076847679083585e-09
1823,5.860433134330378e-07,5.929612134636386e-09,9.882686891060644e-10
1824,6.83794328715237e-07,1.51580028528997e-08,2.5263338088166165e-09
1825,8.541279781226763e-07,1.1447076175841175e-08,1.4969252948304757e-08
1826,8.543744631772654e-07,8.80798411984074e-09,2.642395191543301e-09
1827,4.6547228116367023e-07,4.608636583469661e-09,4.608636583469661e-09
1828,5.631792703297833e-07,3.668920500743411e-09,1.8344602503717056e-09
1829,6.241271943707716e-07,8.573175946935407e-09,0.0
1830,7.138795705685652e-07,1.5655254204105518e-08,0.0
1831,5.113915721999263e-07,3.1182412207897414e-09,1.5591206103948707e-09
1832,7.19794375214633e-07,6.764984683549358e-09,1.3529969367098715e-09
1833,8.641386939345352e-07,1.5058717495186613e-08,1.1583628500844156e-09
1834,5.85275072406688e-07,1.2134890647885754e-08,2.8003592777992026e-09
1835,6.90509914136328e-07,1.1344631900556124e-08,9.832014313815307e-09
1836,5.786565915322228e-07,1.2097349788575684e-08,2.688300027031687e-09
1837,5.72634445639153e-07,9.74104752415883e-09,6.957890930081589e-10
1838,6.400532193140407e-07,1.7674052887883818e-08,3.1560809521380406e-09
1839,5.2575891240636e-07,1.0487212875887053e-08,0.0
1840,5.083011531681336e-07,2.5478754661634184e-09,6.369688665408546e-10
1841,6.58748267490239e-07,7.704658244733764e-09,1.926164561183441e-09
1842,5.79594114036297e-07,2.0795622113212175e-08,0.0
1843,5.381196150899825e-07,1.122313109114259e-08,5.906911071384968e-10
1844,5.422698361456924e-07,6.037417454862748e-09,5.488561272137815e-10
1845,6.32797837241128e-07,1.9530798311961917e-08,0.0
1846,5.614466964676268e-07,1.0538102390711401e-08,0.0
1847,5.150528847863711e-07,1.0247124926365814e-08,5.393223645455691e-10
1848,6.709714934771682e-07,1.769948720919956e-08,1.6090443422100975e-09
1849,4.466228189503596e-07,1.6758829435303824e-08,0.0
1850,5.322573031207867e-07,5.431196825611551e-09,1.3577992064028876e-09
1851,5.959281488276957e-07,1.0964045893402385e-08,1.9348316282474798e-09
