year,pluies_NOUN fines_ADJ
1800,1.2576657937302116e-08
1801,7.143547975374531e-09
1802,1.1189200677108602e-08
1803,3.315576790896557e-08
1804,1.4831105232815389e-08
1805,2.55858996212055e-08
1806,2.881669125542885e-08
1807,0.0
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,1.8721014072298203e-08
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,3.738464116054274e-08
1814,1.2586708564299443e-08
1815,1.8880564667256294e-08
1816,6.952811659743929e-09
1817,1.5568733857662664e-08
1818,2.2650237241350624e-08
1819,0.0
1820,2.3732962262101864e-08
1821,4.339054981983281e-08
1822,1.0025615893027862e-09
1823,9.882686669016039e-09
1824,1.6842225392110777e-09
1825,1.937197424695114e-08
1826,7.0463874735082754e-09
1827,2.7651818612639545e-09
1828,2.384798314380987e-08
1829,1.457439946506156e-08
1830,2.400472176589119e-08
1831,9.354723218280014e-09
1832,3.788391467196561e-08
1833,3.1275796175123105e-08
1834,2.42697808516823e-08
1835,1.5126175867408165e-08
1836,1.344150035720304e-08
1837,1.2524203896191466e-08
1838,1.4517972601879592e-08
1839,1.6080392128969834e-08
1840,6.3696887764308485e-09
1841,1.8619591202195807e-08
1842,1.2745703159566801e-08
1843,8.860366662588604e-09
1844,9.879410178825765e-09
1845,1.674068439427856e-09
1846,3.9810608143397985e-08
1847,6.47186837454683e-09
1848,2.654923214606697e-08
1849,1.9272654583346593e-08
1850,9.504594444820214e-09
1851,6.449438760824933e-10
1852,5.208436348880241e-09
1853,2.269334054005867e-08
1854,1.9223959313308114e-08
1855,6.368324534378189e-09
1856,1.863788057221427e-08
1857,7.322263684272912e-09
1858,1.1255455234504552e-08
1859,1.8331824946926645e-08
1860,1.4189270203246451e-08
1861,2.6880993431177558e-08
1862,3.6143891435358455e-08
1863,2.4973104473247076e-08
1864,1.1507347075223606e-08
1865,1.3179164426446732e-08
1866,1.702964524952222e-08
1867,3.34843974769683e-08
1868,1.778354707937524e-08
1869,2.4417595057002472e-08
1870,2.3509599600401998e-08
1871,1.3807530230280918e-08
1872,4.898344840853497e-08
1873,2.7535620006347017e-08
1874,2.0911132381229436e-08
1875,1.8881038954532414e-08
1876,1.5115036333668286e-08
1877,2.1028373708986692e-08
1878,1.1474268646338714e-08
1879,2.871382953628654e-08
1880,2.9522093214495726e-08
1881,3.834879080955034e-08
1882,1.1314154946262533e-08
1883,2.464542170343975e-08
1884,9.902545450302114e-09
1885,1.2246707647989297e-08
1886,2.2587123282846733e-08
1887,2.415702127223085e-08
1888,2.4094335415725254e-08
1889,4.1976417008982025e-08
1890,1.7696843102044113e-08
1891,2.932141285327816e-08
1892,2.7581453565517222e-08
1893,3.079208354961338e-08
1894,3.3398158905129094e-08
1895,2.7083764564395096e-08
1896,1.0614652268259306e-08
1897,1.4566784223291052e-08
1898,2.2633418694795182e-08
1899,3.0954439012020885e-08
1900,1.8168686111152965e-08
1901,1.0618603774048552e-08
1902,1.6203935970793282e-08
1903,2.7001101798873606e-08
1904,1.9348650681649815e-08
1905,3.6641388589941926e-08
1906,2.5206503551089554e-08
1907,8.742834012309686e-09
1908,3.094175227147389e-08
1909,2.4204327431220918e-08
1910,1.977335806202518e-08
1911,2.979409430281521e-08
1912,1.719108944087111e-08
1913,2.2802856491921375e-08
1914,1.4063162190325329e-08
1915,3.062998032987707e-08
1916,2.307367097387214e-08
1917,2.9609346086090227e-08
1918,2.412139110674616e-08
1919,4.327688785110695e-08
1920,2.3473917920568965e-08
1921,3.180553775905537e-08
