year,es_VERB aux_ADP,es_VERB faux_ADJ
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,3.1329761895904085e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,1.152667650217154e-08,2.881669125542885e-09
1807,5.124519120158766e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,3.388545621874073e-08,4.518061036407062e-09
1810,2.8081521108447305e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.400487453257938e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,4.72001566720337e-08,3.1466771410748606e-09
1815,3.506390555685357e-08,0.0
1816,4.8669683394564345e-08,0.0
1817,2.80237220096069e-08,1.556873407970727e-09
1818,2.384235386898581e-08,0.0
1819,4.140419918030602e-08,0.0
1820,7.475883023744245e-08,1.6613073583471305e-08
1821,1.4792232327920374e-08,0.0
1822,2.90742860897808e-08,0.0
1823,1.3835761869529506e-08,9.882686891060644e-10
1824,9.263223965660927e-09,0.0
1825,2.8177417732422327e-08,7.924898959288385e-09
1826,2.8185549894033102e-08,0.0
1827,1.566936447261469e-08,9.217273055917019e-10
1828,3.5771975603893225e-08,0.0
1829,1.457439946506156e-08,0.0
1830,3.965997663613052e-08,2.0873671680021744e-09
1831,3.274153215215847e-08,0.0
1832,2.570694235259907e-08,0.0
1833,4.170106393530659e-08,0.0
1834,3.453776287187793e-08,0.0
1835,1.7319470657639613e-07,0.0
1836,2.9571300075303952e-08,0.0
1837,3.75726116885744e-08,9.045257876039159e-09
1838,4.7341213615936795e-08,6.312161904276081e-10
1839,4.9639474752893875e-08,0.0
1840,9.23604872582473e-08,6.369688665408546e-10
1841,4.4301785351308354e-08,0.0
1842,8.385331540239349e-08,0.0
1843,4.1939067330076796e-08,0.0
1844,2.7442807137845193e-08,1.097712254427563e-09
1845,2.399498022498392e-08,0.0
1846,6.322861167973315e-08,5.854501328173001e-10
1847,2.588747349818732e-08,0.0
1848,1.206783295515379e-08,1.6090443422100975e-09
1849,1.005529792763582e-08,0.0
1850,6.44954596396019e-08,2.7155984128057753e-09
1851,3.611685883697646e-08,1.2898877521649865e-09
1852,3.450589147746541e-08,0.0
1853,2.7470886010405593e-08,1.7915795513800958e-09
1854,3.4291385730966795e-08,1.0391328908454511e-09
1855,3.343370380548549e-08,0.0
1856,1.1493359863834485e-07,2.0708756931497874e-09
1857,2.245494101771328e-08,4.881509085841174e-10
1858,6.753273140702731e-08,0.0
1859,6.059686086246074e-08,0.0
1860,1.4601216946630302e-07,4.577183909670879e-10
1861,8.017138242166766e-08,1.4147891747029462e-09
1862,2.981871105589562e-08,0.0
1863,1.5982786649715308e-08,1.4983863039219614e-09
1864,3.308362295229017e-08,0.0
1865,2.729969672543575e-08,4.706844358715045e-10
1866,3.2113046444237625e-08,4.865612912574591e-10
1867,5.386620927083641e-08,0.0
1868,3.013323279787983e-08,0.0
1869,3.027781758646597e-08,0.0
1870,2.8670243068518175e-08,5.734048791339319e-10
1871,1.0621176826930423e-08,1.0621177271019633e-09
1872,1.7537283625301825e-08,0.0
1873,1.0176207432266438e-08,0.0
