year,bonnes_ADJ âmes_NOUN,bonnes_ADJ ames_NOUN,bonnes_ADJ femmes_NOUN
1800,6.917161954334006e-08,1.7292904885835014e-07,2.5467733166806283e-07
1801,2.3811825400343878e-08,1.6906396638205479e-07,2.524053521746339e-07
1802,1.7902721083373763e-08,1.096541666356643e-07,2.506380951672327e-07
1803,2.7304748684287006e-08,1.2677205063482688e-07,4.3687597184316473e-07
1804,1.2359254952798437e-08,1.680858630059845e-07,3.1639690867280024e-07
1805,2.55858996212055e-08,2.8997353451742924e-07,2.8144489760961733e-07
1806,7.492339904047185e-08,1.3255677799861587e-07,3.112202762167726e-07
1807,3.4163463169534225e-08,1.7935816742919997e-07,1.6512339584551228e-07
1808,4.305540457494317e-08,1.6768947830314573e-07,1.8128591250388126e-07
1809,1.3554183553310395e-08,7.90660692473466e-08,3.6144488380074336e-07
1810,3.042164919975221e-08,2.2465216886757844e-07,1.8252988498446143e-07
1811,2.5070768572277302e-08,4.262030373070047e-08,1.2033967777824728e-07
1812,5.867858021701977e-08,1.2002436733382638e-07,3.173977791703919e-07
1813,1.7542024011163448e-07,1.1790540810352468e-07,3.30710302254289e-07
1814,1.0384034254684593e-07,2.2026739543434815e-07,1.541871768040437e-07
1815,7.282503844407984e-08,2.400528842372296e-07,3.5873074466508115e-07
1816,1.0892738089296472e-07,2.2712518088496836e-07,2.5957162463896566e-07
1817,1.292204956371279e-07,2.0550729118440358e-07,3.783202263685226e-07
1818,1.490147241156592e-07,1.6212801767778728e-07,3.755170820962661e-07
1819,1.449146935783574e-07,5.693077653745604e-08,3.1260170207936255e-07
1820,2.2190319270976033e-07,2.1003671690777992e-07,3.393813532426293e-07
1821,2.623155808123556e-07,1.853959766817681e-07,3.3726289672131315e-07
1822,2.0552512580707116e-07,1.0627152846609533e-07,2.736992996688059e-07
1823,1.4132241688002978e-07,3.4095268652833965e-07,5.050053261124177e-07
1824,5.642145595174952e-08,1.4484314192486636e-07,2.837915076270292e-07
1825,1.7522832251870568e-07,1.1799293986314296e-07,2.817741742155988e-07
1826,6.870227764466108e-08,1.990604516777239e-07,2.9682905999806053e-07
1827,9.954654700550236e-08,1.6222401200138847e-07,2.820485688337371e-07
1828,1.467568182533796e-07,2.5498997519024513e-07,1.7977710814465198e-07
1829,1.1316592463117559e-07,1.7403547758476634e-07,2.280464883597233e-07
1830,2.2961039292113128e-07,1.6803304991874768e-07,3.4232821821689186e-07
1831,1.4343909526814969e-07,2.962329155309362e-07,3.773071739487932e-07
1832,2.0024354796532862e-07,3.220132696046818e-07,4.7354892940276727e-07
1833,9.266902623039641e-08,2.1082203827127444e-07,2.7221526777143623e-07
1834,1.297499778729616e-07,1.5962048283135744e-07,3.313758418777013e-07
1835,1.6411900105595123e-07,2.58657614438107e-07,3.1235553876740596e-07
1836,1.9086930080902675e-07,2.1035948227776657e-07,2.143919228814184e-07
1837,1.8438410620547074e-07,9.741047379829837e-08,3.374577148829161e-07
1838,1.4265485503983655e-07,7.953323688525415e-08,2.695293186416592e-07
1839,1.0417298312859202e-07,1.3423633049569617e-07,2.2512549868736187e-07
1840,2.1911729675139213e-07,5.9238103478076454e-08,2.3886331906863845e-07
1841,2.2792947618199833e-07,4.751205961994742e-08,2.606742723898492e-07
1842,2.220435675326371e-07,5.433694605372352e-08,2.1801861294079572e-07
1843,2.339136813134246e-07,5.257150909043773e-08,2.563599388327731e-07
1844,2.936380383289361e-07,3.457793529282327e-08,2.8101433119376296e-07
1845,2.499942013400869e-07,4.296775651946305e-08,2.773373184439265e-07
1846,2.534999055114895e-07,3.219975752699611e-08,2.4881629290263163e-07
1847,2.092570809963945e-07,2.4269505516372192e-08,1.866055372445885e-07
1848,2.0756671403887594e-07,4.907585399172021e-08,2.8319180445102177e-07
1849,2.002680190571482e-07,3.770736700658972e-08,1.768056598905332e-07
1850,2.0231207997767342e-07,5.906426636670403e-08,2.389726594387298e-07
1851,3.2569664654147346e-07,8.255281302993467e-08,2.579775504329973e-07
1852,3.007872066973505e-07,5.14333098333708e-08,2.089885100531319e-07
1853,3.3263660270677065e-07,1.5527023000672102e-08,2.5141832038499956e-07
1854,4.307205756504118e-07,2.0782658260998232e-08,2.483527691277132e-07
1855,3.5291131439407764e-07,5.306937111981824e-08,3.200082936416493e-07
1856,3.732753555141244e-07,2.7956821302410617e-08,2.422924471612298e-07
1857,3.5098051398563257e-07,4.344543069745299e-08,3.4024117878672655e-07
1858,4.330903209393e-07,5.970284799872161e-08,4.1449436127827255e-07
1859,3.350650104039232e-07,2.1896345847594034e-08,2.673391081842169e-07
1860,4.40782798705186e-07,1.5562425625947895e-08,3.492391428272512e-07
1861,4.550904861844174e-07,5.98927405448535e-08,2.8248622874205154e-07
1862,3.795108511894796e-07,2.4848925139764333e-08,3.9487199657295413e-07
1863,4.689948980285408e-07,2.547256561236111e-08,3.3264175591796175e-07
1864,4.157029138696089e-07,2.685047606476587e-08,3.3754885575554283e-07
1865,4.0855408656170766e-07,2.8711751476340197e-08,3.4501168988398945e-07
1866,3.503241430280468e-07,1.55699617643279e-08,2.9972175374926024e-07
1867,3.4115265634682146e-07,1.067618526917613e-08,3.2125611149069755e-07
1868,3.9716587707516737e-07,2.7169307803553977e-08,2.810788337637149e-07
1869,4.2144770873164816e-07,6.836926913500463e-09,3.5259008979160456e-07
1870,3.1651950394007144e-07,1.204150246181257e-08,3.4920358560341924e-07
1871,2.74026376700931e-07,2.3366590662377007e-08,2.64467301613891e-07
1872,3.2837053254297643e-07,1.1489944773401817e-08,2.9329595019333965e-07
1873,2.94511409038023e-07,1.2570609442263958e-08,2.0771435871314026e-07
1874,2.8080663128093875e-07,5.377148226681783e-09,2.9873045015449406e-07
1875,2.969472632230463e-07,2.9179788085809122e-08,3.7819293674523635e-07
1876,3.6941150938218925e-07,2.1161052021767546e-08,2.8295350240625794e-07
1877,3.271767639034806e-07,1.2988113473610952e-08,3.166625748285412e-07
1878,2.7115507350572443e-07,2.8383717598501335e-08,2.699472536060732e-07
1879,4.0810292034620943e-07,8.553055375060126e-09,4.6736339054387344e-07
1880,3.26026594166251e-07,1.2835692730917003e-08,3.3886229289237235e-07
1881,3.6466215647124045e-07,1.2550513517339823e-08,3.0609309420448483e-07
1882,3.986575620729127e-07,1.7304001120876933e-08,3.0747878554393537e-07
1883,2.8563411547111173e-07,3.1596694705093853e-09,3.507233232724616e-07
1884,2.9773653409392864e-07,3.9610181801208455e-09,3.3404585320084834e-07
1885,2.81029713278258e-07,1.289127143921931e-08,3.4870887910543047e-07
1886,2.9750469821010483e-07,1.548831346509516e-08,3.433242909967049e-07
1887,3.421156407057424e-07,6.528924734183761e-09,2.6376855100096464e-07
1888,3.975565334712883e-07,7.608737861986015e-09,3.2083510492775247e-07
1889,3.051121666430845e-07,1.7542383046187382e-08,3.03859136074891e-07
1890,3.0805617257101403e-07,1.2453334363726754e-08,3.237866841310222e-07
1891,2.970386674405745e-07,4.461953806433883e-09,3.301846115411067e-07
1892,2.664117744188843e-07,1.1283322720601063e-08,3.460218775952484e-07
1893,2.9929904599157453e-07,4.1261390970603884e-08,3.879802399908705e-07
1894,2.898707975873549e-07,1.1342770944722247e-08,3.52886200927216e-07
1895,3.581075702641101e-07,7.824199066419624e-09,3.0694933084163267e-07
1896,3.090043207976123e-07,1.2383760461531779e-08,4.027670755801793e-07
1897,3.105638199940586e-07,1.1070755534525745e-08,3.2105192548925743e-07
1898,3.428962997986673e-07,2.4330926717830437e-08,3.1743369954817524e-07
1899,2.7914271072404517e-07,7.185851913504848e-09,4.140156200094225e-07
1900,2.507278793473233e-07,7.78657960331941e-09,2.875843430061309e-07
1901,2.3025604889426177e-07,8.383108651699445e-09,3.498550653624477e-07
