year,mauvais_ADJ acteurs_NOUN,mauvais_ADJ facteurs_NOUN
1800,1.2576657937302116e-08,0.0
1801,3.095537337571841e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,5.685755422035754e-09,0.0
1806,4.034336598124355e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,3.852325747288887e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,6.901780125190271e-08,0.0
1814,3.776012391654149e-08,0.0
1815,6.203614333344376e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,4.514932783195036e-08,0.0
1818,9.536941902865692e-09,0.0
1819,3.726378139390363e-08,0.0
1820,1.779972080839798e-08,0.0
1821,4.043210211079895e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,1.9765373338032077e-08,0.0
1824,3.03160057057994e-08,0.0
1825,5.811592274085342e-08,0.0
1826,2.906634755106552e-08,0.0
1827,1.474763688946723e-08,0.0
1828,2.384798314380987e-08,0.0
1829,5.058173968564006e-08,0.0
1830,2.7135772739939057e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,9.065079353831607e-08,0.0
1833,3.359252431778259e-08,0.0
1834,1.4935249481595747e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,2.4866775305554256e-08,0.0
1837,2.852735292435682e-08,0.0
1838,2.5879863585487328e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,1.7835128929277744e-08,0.0
1841,3.980740004294603e-08,0.0
1842,6.708265054555795e-10,0.0
1843,3.071593823733565e-08,0.0
1844,9.879410178825765e-09,0.0
1845,1.1718478631905782e-08,1.674068439427856e-09
1846,1.2294452567118697e-08,0.0
1847,1.4022381478184798e-08,0.0
1848,5.63165514222419e-09,0.0
1849,7.54147322368226e-09,5.865590679832167e-09
1850,1.425689166723032e-08,1.6972489191857676e-08
1851,5.159551008659946e-09,0.0
1852,9.114764054629632e-09,0.0
1853,2.6276499198729653e-08,3.5831591027601917e-09
1854,9.871762074453727e-09,5.195664454227256e-10
1855,1.6451505047143655e-08,0.0
1856,4.40061072026765e-08,5.177189232874468e-10
1857,1.2691923956253959e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,2.7497735644033128e-08,2.036869339860914e-09
1860,1.5562426014525954e-08,1.8308735638683515e-09
1861,2.169343282787395e-08,0.0
1862,2.1686334505943705e-08,4.066187830886747e-09
1863,1.6482248454963155e-08,0.0
1864,2.0617330065419992e-08,0.0
1865,1.4120533187167439e-08,0.0
1866,2.1408697037372804e-08,0.0
1867,2.0867089389753346e-08,0.0
1868,1.7289560005906424e-08,0.0
1869,1.5627261262807224e-08,0.0
1870,1.6628741050794815e-08,0.0
1871,1.0621177271019633e-09,0.0
1872,1.3304146229131675e-08,0.0
1873,1.1373408881354408e-08,0.0
1874,4.182226565063729e-09,0.0
1875,2.2886109007913547e-08,0.0
1876,4.836811839936672e-09,0.0
1877,1.608052180301911e-08,0.0
1878,3.8650167510922984e-08,0.0
1879,2.443730195977878e-08,3.665595160740054e-09
1880,2.4387816210946767e-08,0.0
1881,2.022027167924989e-08,0.0
1882,2.0631693686823382e-08,1.4641846846075168e-08
1883,1.2638677659992936e-08,0.0
1884,4.621187876807653e-09,0.0
1885,2.127059772760731e-08,0.0
1886,7.098810428374236e-09,0.0
1887,2.6115698048556624e-08,0.0
1888,8.876860135842435e-09,0.0
1889,1.2530273707511697e-08,0.0
1890,8.520702365899524e-09,0.0
