year,ces_DET in_ADJ,ces_DET fines_ADJ
1800,8.803660378475797e-08,4.4018302336468196e-08
1801,6.429193177837078e-08,2.3811825844433088e-09
1802,9.84649659585557e-08,8.951360541686881e-09
1803,7.996390993803004e-08,7.801356893821776e-09
1804,6.426812282356309e-08,9.887403562558461e-09
1805,5.970043304159844e-08,5.685755422035754e-09
1806,3.7461698632057505e-08,1.4408345627714425e-08
1807,5.693910143378389e-08,0.0
1808,4.7587552565175884e-08,2.2660739951163578e-09
1809,6.77709144358829e-08,2.259030518203531e-09
1810,7.956430891908894e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,8.268345652595599e-08,8.00162425207418e-09
1813,5.7514832008109806e-08,0.0
1814,9.125363931161701e-08,2.8320094713762956e-08
1815,4.0458352890127e-08,1.0788894000413052e-08
1816,6.257530316133852e-08,1.8540831092650478e-08
1817,6.850243305933645e-08,6.227493631882908e-09
1818,6.437435784434342e-08,1.4305412854298538e-08
1819,7.038714322504802e-08,6.210629899250364e-09
1820,4.153268395867826e-08,1.1866481131050932e-08
1821,4.3390549375743603e-08,1.577838126820552e-08
1822,3.60922172149003e-08,5.012807946513931e-09
1823,6.52257359234909e-08,2.9648060007048116e-08
1824,6.315834255588015e-08,2.6947560627377243e-08
1825,5.811592540538868e-08,2.905796225860513e-08
1826,3.082794464148719e-08,6.165588817275136e-09
1827,5.438191053031005e-08,3.6869092223668076e-09
1828,4.035812395386529e-08,1.1923991571904935e-08
1829,5.744027831156018e-08,9.430493552731178e-09
1830,6.262101548415444e-08,4.696576283436116e-08
1831,5.924658252887127e-08,7.795603274018958e-09
1832,4.3295900420403655e-08,2.705993873419743e-09
1833,4.054269808762001e-08,3.70676112027013e-08
1834,8.214386948424135e-08,9.334530703952737e-09
1835,4.689114518896531e-08,1.8907719834260206e-08
1836,3.696412465004073e-08,3.1587525484155776e-08
1837,4.453050017616533e-08,4.453050372887901e-08
1838,4.229148631296198e-08,2.9035944315580764e-08
1839,4.4046294167543465e-08,2.307186808270245e-08
1840,4.8409633190971135e-08,4.33138822586443e-08
1841,3.7239181072123984e-08,2.8250413564023802e-08
1842,5.836190686281384e-08,3.287049921141261e-08
1843,4.7845980732930116e-08,4.843667072984559e-08
1844,3.402908110849978e-08,2.689394951183033e-08
1845,4.9664028445306485e-08,3.794554875868883e-08
1846,4.97632610674259e-08,4.859236213405893e-08
1847,3.3977309854549276e-08,5.986478157637976e-08
1848,4.827133082141444e-08,3.378993085334514e-08
1849,5.530413993426464e-08,2.9327951622803994e-08
1850,4.820187182730251e-08,6.992665646521345e-08
1851,5.288539739467524e-08,3.224719336003545e-08
1852,5.33864739082901e-08,2.669323695414505e-08
1853,4.240071582728433e-08,5.852493178970519e-08
1854,5.4034908769651224e-08,4.728054658897918e-08
1855,3.290301009428731e-08,3.449509122788186e-08
1856,2.433278972757691e-08,6.057311452423164e-08
1857,4.5398033110544134e-08,7.66396894835708e-08
1858,4.0128143918849446e-08,5.774537714664518e-08
1859,4.582956125709359e-08,6.059686175063916e-08
1860,5.446849016266242e-08,6.17919830858682e-08
1861,3.584132501899262e-08,8.960331321361537e-08
1862,4.472806569566501e-08,4.382446805450968e-08
1863,3.2465035104678464e-08,3.995696629122136e-08
1864,5.75367340438504e-08,9.349719620743713e-08
1865,3.671338522082124e-08,6.495445492582519e-08
1866,3.795177949683648e-08,8.758102953976277e-08
1867,3.445496155052297e-08,9.026229719211187e-08
