year,quelques_DET hôtes_NOUN,quelques_DET fautes_NOUN
1800,3.144164484325529e-09,9.495376964707702e-07
1801,0.0,7.643595836270833e-07
1802,0.0,5.572222221417178e-07
1803,3.900678446910888e-09,7.508806056932826e-07
1804,0.0,1.0925581719334332e-06
1805,5.685755422035754e-09,8.585490789414507e-07
1806,2.881669125542885e-09,6.685472246914514e-07
1807,0.0,6.6903443940447e-07
1808,0.0,8.339152248737491e-07
1809,4.518061036407062e-09,5.557214990403736e-07
1810,0.0,7.839424664979333e-07
1811,2.5070767684098882e-09,8.950264280827014e-07
1812,0.0,8.481722009179293e-07
1813,0.0,9.662491891049285e-07
1814,0.0,9.37709810244769e-07
1815,1.6183340889597275e-08,7.633142793395109e-07
1816,0.0,7.949381615190987e-07
1817,0.0,7.784367221930211e-07
1818,0.0,8.452114528267884e-07
1819,1.2421260464634543e-08,7.918553341923484e-07
1820,3.5599443393152796e-09,9.89664524553291e-07
1821,2.9584463767662328e-09,9.447305853171883e-07
1822,1.0025615893027862e-09,6.897623734403169e-07
1823,7.906149512848515e-09,7.046355605666577e-07
1824,0.0,8.117952754460589e-07
1825,8.805443041381977e-10,8.72619381198092e-07
1826,2.642395191543301e-09,6.156781235944209e-07
1827,1.8434546111834038e-09,8.756409641819118e-07
1828,0.0,6.035374298107854e-07
1829,2.571952872898464e-09,6.575626283478186e-07
1830,1.0436835840010872e-09,6.564769616801414e-07
1831,7.795603274018958e-09,5.909067057885409e-07
1832,2.570694235259907e-08,5.926126824817857e-07
1833,1.1583628500844156e-09,4.807205904455714e-07
1834,7.467624740797874e-09,5.283344606255014e-07
1835,2.2689263801112247e-08,5.18071530564157e-07
1836,1.2097349788575684e-08,5.826890383531236e-07
1837,1.3915782304252389e-08,6.658701394712807e-07
1838,3.1560809521380406e-09,5.346401401595813e-07
1839,7.690622361167243e-09,5.117760029094143e-07
1840,1.2739377330817092e-09,5.764568165034234e-07
1841,5.778493683550323e-09,4.937402016125247e-07
1842,1.8783142152756227e-08,4.615286304243682e-07
1843,4.7255288571079745e-09,5.239429974324139e-07
1844,1.5367971784030487e-08,4.934216502050504e-07
1845,3.348136878855712e-09,4.6762309935388657e-07
1846,1.1709002656346001e-08,4.876799497566253e-07
1847,8.629157832729106e-09,5.053450795600156e-07
1848,8.04522137798358e-09,4.3926911530434154e-07
1849,2.0948537349241292e-08,4.868439811289704e-07
1850,1.4935791270431764e-08,3.761103855026704e-07
1851,1.1608989325395669e-08,5.088607171188642e-07
1852,1.6276363812295358e-08,5.12379912720462e-07
1853,8.360704573107114e-09,3.869811706636028e-07
1854,7.79349651480743e-09,5.273599690269748e-07
1855,1.6451505047143655e-08,4.776243542892189e-07
1856,7.248064815001953e-09,5.032227861079264e-07
1857,8.78671624349181e-09,5.159754969952246e-07
1858,1.663849857891364e-08,4.5853745689328207e-07
1859,2.2405562960514658e-08,3.9158812015216427e-07
1860,1.9224172476128842e-08,3.6525927082919907e-07
1861,7.545541969022906e-09,4.786703318160335e-07
1862,1.7168348520613108e-08,5.005928915835511e-07
1863,2.6471490999213643e-08,4.2004761802161283e-07
1864,1.5343129766698382e-08,3.725503585627621e-07
1865,1.694463946932956e-08,4.335003724875719e-07
1866,7.78498088216395e-09,3.4837789186781265e-07
1867,1.7955402498159856e-08,4.590759576927894e-07
1868,2.9639243948054173e-08,4.0259973133061067e-07
1869,1.0743741896135361e-08,3.7944943009904364e-07
1870,1.6055336615750093e-08,4.1973236619696763e-07
1871,6.37270636261178e-09,2.5278401771799963e-07
1872,1.2094679036067646e-08,3.870297167196668e-07
1873,1.2570609442263958e-08,4.2321051019200695e-07
1874,4.779687312606029e-09,3.02315212863391e-07
1875,6.293679799540541e-09,3.261270506982328e-07
1876,9.069021977836655e-09,3.55505669347167e-07
1877,4.9478527941460015e-09,3.760368203487019e-07
1878,1.69094480639842e-08,4.154892891961026e-07
1879,1.8327976469834084e-08,3.9221868597394405e-07
1880,1.4119262203848848e-08,4.1972713660243244e-07
1881,2.161477374862386e-08,3.9813019370171787e-07
1882,1.2645232194685718e-08,4.2261696364676027e-07
1883,3.5388296737437486e-08,4.038057550559415e-07
1884,1.1222884843675729e-08,3.8091791410010956e-07
1885,2.7716233308439087e-08,3.93828349487535e-07
1886,1.6133659630490627e-08,4.0979494997372967e-07
1887,4.570247291724172e-09,3.5582637991637966e-07
1888,1.0144983297877275e-08,3.633172305228527e-07
1889,3.132568371366773e-09,2.518585047184274e-07
1890,1.6385966361553983e-08,3.460715980452278e-07
1891,2.2947192590550003e-08,2.6707981248819124e-07
1892,3.1342561879199593e-09,3.2596265242545996e-07
1893,1.4164357686752282e-08,3.393287535402578e-07
1894,6.301539068331863e-09,3.3776250063510815e-07
1895,1.0833506536300774e-08,2.9852327898538533e-07
1896,8.255840344695287e-09,2.6359720273205767e-07
1897,1.4566784223291052e-08,3.041544598403334e-07
1898,6.7900258748920805e-09,3.310137746126429e-07
1899,1.5477219506010442e-08,2.9461992312462826e-07
1900,5.710158235139318e-09,2.720111904608302e-07
1901,1.3412973176585297e-08,2.950854005590031e-07
