year,seuls_ADJ feux_NOUN
2008,2.9802078582719105e-09
2009,3.337734755248789e-09
2010,9.447586046817946e-10
2011,3.059177577924288e-09
2012,2.382976926895708e-09
2013,4.183687618564136e-09
2014,7.145969149746634e-09
2015,5.319781060109108e-09
2016,4.971216327476213e-09
2017,8.049956257139002e-09
2018,3.0977600484760615e-09
2019,4.591778068885333e-09
