year,ses_DET oeufs_NOUN
1800,6.854278495893595e-07
1801,8.619880809135338e-07
1802,9.264658160645922e-07
1803,3.2453644394081493e-06
1804,7.34139717906146e-07
1805,2.3311597452391197e-07
1806,7.780506727783632e-08
1807,1.822051274302794e-07
1808,1.7448769229488903e-07
1809,1.0165637065462363e-07
1810,1.4976810946976116e-07
1811,7.521230127593981e-08
1812,5.067695596494559e-08
1813,8.339650969801937e-08
1814,1.3530711440168375e-07
1815,5.39444717784221e-08
1816,1.8309069993449612e-07
1817,2.2263290322399598e-07
1818,3.0041366372302036e-07
1819,2.3910925150971707e-07
1820,4.9839219862235495e-08
1821,5.0293590514449704e-08
1822,6.015369535816717e-08
1823,7.016707892493201e-08
1824,7.831634896149353e-08
1825,5.1952114388242876e-08
1826,9.7768624973682e-08
1827,7.558163755971847e-08
1828,6.51233389437067e-08
1829,5.3153690893203986e-08
1830,7.723258477199124e-08
1831,3.741889442743229e-08
1832,4.0589908545385356e-08
1833,2.89590715851773e-08
1834,4.947301368574131e-08
1835,4.0840674842002045e-08
1836,6.048675027514605e-08
1837,5.635891620059397e-08
1838,5.7440673995046154e-08
1839,5.663094793106893e-08
1840,3.3759350426265655e-08
1841,5.521671653241356e-08
1842,1.0062397848287219e-07
1843,4.961805377678985e-08
1844,3.293136835447186e-08
1845,4.296775690804111e-08
1846,4.332331005052481e-08
1847,5.3932236454556914e-08
1848,3.700802103656642e-08
1849,4.5248841340495005e-08
1850,3.530277759011824e-08
1851,2.3862922748918436e-08
1852,5.0131199635927715e-08
1853,6.628844229084052e-08
1854,1.922395914677466e-08
1855,3.078023524949458e-08
1856,2.226191442300518e-08
1857,2.8800904106063285e-08
1858,1.5659764096565e-08
1859,3.920973368209957e-08
1860,7.140407021211104e-08
1861,2.923897507445261e-08
1862,4.292087130153277e-08
1863,3.096664924484571e-08
1864,1.7740493851725603e-08
1865,2.400490611842443e-08
1866,3.259960479340407e-08
1867,2.426405742994575e-08
1868,2.7169306804353255e-08
1869,3.076617005604021e-08
1870,2.1789385407089412e-08
1871,1.911811864374613e-08
1872,2.3584624031514068e-08
1873,3.1725821969530443e-08
1874,3.764003819739514e-08
1875,4.1194994082616176e-08
1876,2.8416270225761764e-08
1877,3.896434142003358e-08
1878,9.058633199110488e-08
1879,2.993569458986656e-08
1880,3.016387850607316e-08
1881,3.2770783919833235e-08
1882,3.926677161203429e-08
1883,3.5388296737437486e-08
1884,3.6969503014461225e-08
1885,1.740321664556177e-08
1886,4.646494033977433e-08
1887,4.1132223627116105e-08
1888,2.4728396663675767e-08
1889,3.445825286219062e-08
1890,2.6872984115744458e-08
1891,2.42220359325529e-08
1892,4.2625884599800656e-08
1893,4.865149016985981e-08
1894,3.843939100356408e-08
1895,2.1065151400989635e-08
1896,2.6536631059226323e-08
1897,4.836172218247725e-08
1898,2.4330926717830437e-08
1899,4.69844163575317e-08
1900,3.6856476093305446e-08
1901,2.4590450786732276e-08
1902,3.0934789674308405e-08
1903,2.8081145186931167e-08
1904,3.9772227289347484e-08
1905,3.044847735056422e-08
1906,3.240836221607424e-08
1907,3.599990411329301e-08
1908,3.3397444809679655e-08
1909,3.850688656825696e-08
1910,3.420256600161764e-08
1911,3.2454281040372734e-08
1912,3.854971808436858e-08
1913,4.4014814126747126e-08
1914,3.415339328016742e-08
1915,4.712304846332671e-08
1916,2.8567400889301098e-08
1917,3.618920063619413e-08
1918,2.6418664589300533e-08
1919,4.143531701084058e-08
1920,6.284952558388568e-08
1921,3.634918815942356e-08
1922,3.762747063928984e-08
1923,4.0340601970001444e-08
1924,4.1253197746726755e-08
1925,7.258797296572084e-08
1926,3.678225690695314e-08
1927,1.4493991917774451e-07
1928,3.770593604013328e-08
1929,1.3034275525569683e-07
1930,5.461873797685257e-08
1931,7.413481917240006e-08
1932,4.38381477785299e-08
1933,5.735331098932761e-08
1934,7.66821095510295e-08
1935,5.385727686046948e-08
1936,4.9711331051582874e-08
1937,3.903246770242674e-08
1938,2.722695080503712e-08
1939,7.799965739963e-08
1940,4.3108308034334186e-08
1941,8.559357667081713e-08
1942,9.102635334379272e-08
1943,4.064529335323641e-08
1944,5.462416652335378e-08
1945,7.406913615781718e-08
1946,5.0115975369635635e-08
1947,4.8875572700168846e-08
1948,1.5111924422939182e-07
1949,7.362756315743013e-08
1950,4.1477910883713776e-08
1951,6.610068936652169e-08
1952,1.02284600345115e-07
1953,6.24881977273617e-08
1954,4.1044653453781166e-08
1955,7.790054246115119e-08
1956,3.924513802822105e-08
1957,6.272876690305296e-08
1958,7.693186110380168e-08
1959,3.100299217351221e-08
1960,4.083291771372899e-08
1961,3.265634873628187e-08
1962,3.868593267952747e-08
1963,3.620989685870768e-08
1964,4.441296730384181e-08
1965,2.3529786674636455e-08
1966,2.880318916709257e-08
1967,3.056808001167255e-08
1968,3.2338192984537883e-08
1969,2.7704722072030563e-08
1970,3.081145827366072e-08
1971,4.419021948365298e-08
1972,5.797065866230966e-08
1973,4.686223320504723e-08
1974,4.2191788784951e-08
1975,5.9399392515757654e-08
1976,6.970503108050252e-08
1977,6.81706687766237e-08
1978,5.287126392250485e-08
1979,5.500854882711792e-08
1980,7.78865623107805e-08
1981,5.503227940018007e-08
1982,5.648826939541607e-08
1983,7.01000100189475e-08
1984,6.842829797237826e-08
1985,4.7522909385477874e-08
1986,6.414099584794997e-08
1987,8.310711008263638e-08
1988,1.0613900491840411e-07
1989,6.530865059861668e-08
1990,6.810813402147176e-08
1991,8.909426851833047e-08
1992,8.871009926636475e-08
1993,6.480872372094382e-08
1994,6.962903131846332e-08
1995,9.868860217920883e-08
1996,7.526710232852452e-08
1997,6.712852496093547e-08
1998,5.531029856342684e-08
1999,5.484241394348999e-08
2000,4.108769169341997e-08
2001,3.417345140199757e-08
2002,3.154479494282825e-08
2003,2.6668306674082487e-08
2004,3.171449841632423e-08
2005,3.87322452999328e-08
2006,3.829637512664519e-08
2007,2.1170741604237264e-08
2008,4.12971665753048e-08
2009,3.099325018851573e-08
2010,1.5588516699693855e-08
2011,2.1414243683848255e-08
2012,1.838296517786553e-08
2013,2.370756352343406e-08
2014,2.2953719730489652e-08
2015,1.1969507343612129e-08
2016,1.5120782237421082e-08
2017,2.4652991342799524e-08
2018,1.7037679655995674e-08
2019,1.68365186237196e-08
