year,très_ADV in_ADJ,très_ADV fine_ADJ
1800,6.288328968651058e-09,2.3266817095191072e-07
1801,1.1905912700171939e-08,1.5239568540437176e-07
1802,4.475680270843441e-09,1.4993528907325526e-07
1803,1.5602713787643552e-08,3.3350801231790683e-07
1804,2.2246657849223084e-08,1.656140113936999e-07
1805,5.685755422035754e-09,1.7341554325867037e-07
1806,1.4408345627714425e-08,1.0085842205853623e-07
1807,1.1387820464392462e-08,1.366538526781369e-07
1808,1.1330369531492579e-08,2.8552531716741214e-07
1809,1.3554183553310395e-08,6.935223950677027e-07
1810,4.680253518074551e-09,1.8721013361755467e-07
1811,7.019815262410134e-08,1.3287507272252697e-07
1812,2.1337665412346496e-08,2.720552458868042e-07
1813,2.0130190847567064e-08,1.8692320225000003e-07
1814,1.2586708564299443e-08,1.7306724942045548e-07
1815,8.091670444798638e-09,8.631115377966125e-08
1816,0.0,5.7940098940889584e-08
1817,1.0898114077839693e-08,1.214361304846534e-07
1818,1.1921176934492905e-08,1.0490636270787945e-07
1819,1.8631889475706487e-08,2.2875821059642476e-07
1820,1.1866481131050932e-08,1.3409123766905395e-07
1821,8.875339574387908e-09,1.784929395398649e-07
1822,1.9048670196752937e-08,2.7971469762633205e-07
1823,7.906149512848515e-09,3.9431921550203697e-07
1824,1.0105335235266466e-08,3.2758129009380355e-07
1825,1.8491430608946757e-08,4.1825853713817196e-07
1826,2.2900759399924198e-08,5.135054834681796e-07
1827,2.2121454890111636e-08,5.871402777302137e-07
1828,1.7427371545863934e-08,5.989512601445313e-07
1829,4.4580517055692326e-08,7.690138659199874e-07
1830,2.1917355041978226e-08,6.262101237552997e-07
1831,2.182768810143898e-08,7.374640631496732e-07
1832,1.7588959622116818e-08,5.493167805070698e-07
1833,5.3284690437749305e-08,9.197401027449814e-07
1834,2.9870498963191494e-08,9.633236004447099e-07
1835,1.4369867074037757e-08,7.525272280872741e-07
1836,3.091545153210973e-08,8.246360607699899e-07
1837,3.1310509740478665e-08,7.994616453288472e-07
1838,1.5780404538645598e-08,5.971305085950007e-07
1839,1.8177836236255018e-08,7.061390192575345e-07
1840,2.1019971874203236e-08,6.070313247619197e-07
1841,1.1556987367100646e-08,5.207064646128856e-07
1842,5.366612043644636e-09,4.353663882739056e-07
1843,9.451057714215949e-09,4.004885738595476e-07
1844,1.701454005464953e-08,4.2207037154184945e-07
1845,5.022205318283568e-09,4.056825844145351e-07
1846,1.1123552745573306e-08,7.124928060875391e-07
1847,1.294373674909366e-08,4.961765966982057e-07
1848,1.367687652020777e-08,6.138504318187188e-07
1849,1.1731181359664333e-08,5.421481432676956e-07
1850,1.0862393651223101e-08,4.6708294121344807e-07
1851,9.674158363282004e-09,3.3795058129726385e-07
1852,1.1718981340891332e-08,4.0690909486329474e-07
1853,1.851298847554972e-08,6.467602133852779e-07
1854,7.79349651480743e-09,4.6760979444115947e-07
1855,8.491099379170919e-09,5.062818217993481e-07
1856,1.0354378687793542e-08,4.281535552763671e-07
1857,1.2203773158692144e-08,4.237149937580398e-07
1858,2.1532175153993194e-08,3.973665059220366e-07
1859,9.165912473463322e-09,4.4149143718641426e-07
1860,1.464698884401372e-08,3.597666591304005e-07
1861,1.3204698057212028e-08,4.517893330557854e-07
1862,1.0391368654438793e-08,4.124921417769656e-07
1863,4.9946209945694875e-09,2.796987530473416e-07
1864,1.0548401374599337e-08,2.5364110456393973e-07
1865,6.118897832863013e-09,1.8639103416262515e-07
1866,1.167747110120132e-08,1.425624560624783e-07
1867,7.76449837758264e-09,1.7421592701793998e-07
1868,3.951899252285784e-09,2.6082534532179125e-07
1869,5.860222973552709e-09,1.8362031539709278e-07
1870,7.454262984651905e-09,1.7890232584250043e-07
1871,1.5931766128574054e-08,2.0711296144781954e-07
1872,1.2094678591978436e-09,1.8444384863869345e-07
1873,5.9860045809045914e-09,1.9813674612123577e-07
1874,3.5847653734322193e-09,2.4854372782101564e-07
1875,6.865832347102696e-09,1.4017741989391652e-07
1876,9.673623679873344e-09,2.273301618060941e-07
1877,7.421779191219002e-09,1.6822698967189353e-07
1878,1.2078177513696886e-08,4.939974473927577e-07
1879,2.321543646210955e-08,7.618328368153016e-07
1880,2.8238524407697696e-08,1.2283758223929908e-06
1881,3.2073533162702006e-08,1.3965932339488063e-06
1882,3.660461800336634e-08,1.3596951475847163e-06
1883,2.6541224329434954e-08,1.6063759176176973e-06
1884,2.9047467542397953e-08,1.8095250879923697e-06
1885,2.5782542323327107e-08,1.4902309430908645e-06
1886,3.54940529190273e-08,1.6746738538131467e-06
1887,4.504957962225831e-08,1.6707517715985887e-06
1888,3.106901047544852e-08,1.545207851449959e-06
1889,4.009687487593894e-08,1.7072497939807363e-06
1890,4.653614382732485e-08,1.8332618765271036e-06
1891,4.461954006274027e-08,2.107954514940502e-06
1892,4.0118478983330874e-08,1.891837086986925e-06
1893,3.510297474917934e-08,2.030429868682404e-06
1894,4.537108311275517e-08,2.020903593802359e-06
1895,3.310238105846963e-08,1.9759111182793276e-06
1896,3.892039046604623e-08,1.852846480687731e-06
1897,2.9716239136057254e-08,1.8715403484748094e-06
1898,3.734514397724098e-08,1.6861897620401578e-06
1899,3.150719685152126e-08,1.6643538174321293e-06
1900,4.620037441505076e-08,1.6834585494507337e-06
1901,4.41510370485787e-08,1.7772189266906935e-06
1902,2.6515532880466708e-08,2.137937599400175e-06
1903,3.7801540564430525e-08,1.8430952195558348e-06
1904,4.407192832900364e-08,1.9891488136636326e-06
1905,3.5609238058231796e-08,1.7500134390502353e-06
1906,3.343719967574543e-08,2.0376114662212785e-06
1907,4.062846120644892e-08,1.956337655428797e-06
1908,2.6521500773313278e-08,1.7779228755898657e-06
1909,3.190570296851547e-08,2.0573677375068655e-06
1910,3.954671612405036e-08,2.0126071831327863e-06
1911,3.6710581241550244e-08,2.0004606540169334e-06
1912,4.6884790605439264e-08,1.8446560261509148e-06
1913,3.340883442115583e-08,2.064453838102054e-06
1914,2.678697441638178e-08,1.9300016447232338e-06
1915,2.473960036830647e-08,1.5703756162110949e-06
1916,3.186363883855847e-08,1.5898857554930146e-06
1917,3.180263163926611e-08,1.5462658211617963e-06
1918,5.054005569604669e-08,1.4909315950717428e-06
1919,2.8544329566670967e-08,1.7531742741994094e-06
1920,2.8017257402979112e-08,1.6787637378001818e-06
1921,2.196096815509918e-08,1.634956220186723e-06
1922,2.8036154731125862e-08,1.976548901438946e-06
1923,4.0340601970001444e-08,2.0573706933646463e-06
1924,3.609654797287476e-08,1.9595270259742392e-06
1925,2.969508017258704e-08,1.827897222028696e-06
1926,3.009457216762712e-08,1.86251975264895e-06
1927,2.564321655018631e-08,2.0035156467201887e-06
1928,2.6279895593006586e-08,1.9458548194961622e-06
1929,1.8938690837799754e-08,1.8615619410411455e-06
1930,3.886333388436469e-08,1.8181738141720416e-06
1931,2.052964109822142e-08,2.056385710602626e-06
1932,1.972716578979572e-08,1.7162634549094946e-06
1933,2.1794258842078307e-08,1.7997468830799335e-06
1934,2.995395220750652e-08,2.251338855785434e-06
1935,2.6330224223158893e-08,1.9867352420988027e-06
1936,2.66743711563322e-08,1.990878217839054e-06
1937,1.7627564963262898e-08,1.9717690520337783e-06
1938,2.463390735840676e-08,1.9240378605900332e-06
1939,3.211750509990452e-08,2.4317539555340772e-06
