year,moins_ADV in_ADJ,moins_ADV fine_ADJ
1800,1.1947824418712116e-07,2.5153315164061496e-07
1801,8.572257570449437e-08,3.4527147363405675e-07
1802,4.4756802708434407e-08,2.103569727296417e-07
1803,2.9255089017965474e-08,3.237563248603692e-07
1804,6.921182915675672e-08,3.114532205472642e-07
1805,7.675770063997334e-08,2.956592766167887e-07
1806,6.051504897186533e-08,3.8326200524352316e-07
1807,8.825561081948763e-08,3.3309373748124926e-07
1808,2.7192887941396293e-08,1.9261628381173068e-07
1809,6.551188391767937e-08,3.2530039106859476e-07
1810,4.914266327205041e-08,3.25277625279341e-07
1811,3.008491944456182e-08,1.5543875520052097e-07
1812,5.867858021701977e-08,1.9203899626063503e-07
1813,6.039057609541487e-08,1.6391727797326894e-07
1814,4.72001566720337e-08,1.2272040805783035e-07
1815,7.552225866902518e-08,1.591361922237411e-07
1816,6.257530316133852e-08,2.2248997311180574e-07
1817,4.670620157298799e-08,1.9616605584360514e-07
1818,7.27191817873063e-08,1.454383635746126e-07
1819,5.796588098405664e-08,1.1489665752151268e-07
1820,4.390598018488845e-08,1.696906792858499e-07
1821,8.185035227370463e-08,1.9032673037600034e-07
1822,4.511527151862538e-08,1.7745340130659315e-07
1823,4.941343334508019e-08,1.3143973376372742e-07
1824,9.768490816242092e-08,1.9705403531133925e-07
1825,3.78634048558979e-08,2.3950804006744875e-07
1826,6.34174881497529e-08,1.4621254251778737e-07
1827,3.7790819362726324e-08,1.7973682986394124e-07
1828,9.997808092521154e-08,1.6418418624652986e-07
1829,5.2296373287408215e-08,2.074708618238219e-07
1830,5.9489963177838945e-08,2.243919681177431e-07
1831,5.7687463472788636e-08,2.510184060611209e-07
1832,6.629685167514054e-08,1.393586899212096e-07
1833,5.09679658478035e-08,1.5637898798104288e-07
1834,3.080395316601425e-08,1.4841904771856207e-07
1835,4.310960122211327e-08,1.4596759001506143e-07
1836,4.099657502365517e-08,1.4315197915948374e-07
1837,5.0096815584765864e-08,1.7394727080954908e-07
1838,6.185918821621783e-08,1.1551256307029689e-07
1839,4.264799713382672e-08,1.775834732598014e-07
1840,4.331388153699933e-08,8.72647376581881e-08
1841,3.852328944731198e-08,1.573034325019762e-07
1842,4.494537630961304e-08,1.2209042665745073e-07
1843,3.189732128427991e-08,1.4235655498850974e-07
1844,3.073594367908328e-08,1.3886059946344176e-07
1845,3.57134588568897e-08,1.3057733383448067e-07
1846,3.337065779263071e-08,1.9554033769964008e-07
