year,ses_DET oies_NOUN,ses_DET fois_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,5.714838380299625e-08,7.143547975374531e-09
1802,4.475680270843441e-09,6.713520406265161e-09
1803,0.0,1.950339223455444e-09
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,5.685755422035754e-09
1806,1.729001475325731e-08,0.0
1807,2.562259604488304e-08,0.0
1808,6.798221985349073e-09,0.0
1809,5.421673421324158e-08,2.259030518203531e-09
1810,4.680253518074551e-09,7.020380277111826e-09
1811,2.757784400841956e-08,5.0141535368197765e-09
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,0.0,1.1502966579257645e-08
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,1.0788894222457657e-08,2.6972236000233352e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,1.556873407970727e-09,1.71256075987003e-08
1818,3.5763532135746345e-09,7.152706427149269e-09
1819,0.0,8.280840013696888e-09
1820,1.6613073583471305e-08,1.542642635854463e-08
1821,9.861488403650753e-09,1.2819934447350079e-08
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,3.261286707356703e-08,1.581229902569703e-08
1824,1.9368560089105813e-08,1.0947446504872005e-08
1825,7.044354433105582e-09,4.4027217427355936e-09
1826,3.5231937367541377e-09,8.80798456392995e-09
1827,2.8573547083965423e-08,1.198245475064752e-08
1828,1.3758452155343548e-08,6.420610709767516e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,7.305785310052215e-09,1.2524202785968441e-08
1831,1.091384405071949e-08,1.091384405071949e-08
1832,1.7588959622116818e-08,1.2176972319366541e-08
1833,8.108539617524002e-09,5.791814139399776e-09
1834,6.534171426153534e-09,4.667265685043276e-09
1835,2.0420337421001022e-08,8.31939672707449e-09
1836,1.68018754465038e-08,1.0753200108126748e-08
1837,9.74104708006962e-09,9.045257876039159e-09
1838,8.2058102535143e-09,1.4517972601879592e-08
1839,7.690622583211848e-09,1.957613093850341e-08
1840,8.280594876453051e-09,1.7835128929277744e-08
1841,2.5682194149112547e-09,1.6051371787284552e-08
1842,4.695785538189057e-09,1.3416529665022381e-08
1843,7.088293507706567e-09,1.4767278067040479e-08
1844,1.0977122322231025e-08,6.037417232818143e-09
1845,1.339254718235594e-08,2.7901139176833567e-09
1846,1.5807152919933287e-08,1.1123552745573306e-08
1847,7.011190739092399e-09,2.6966118227278457e-09
1848,1.045878850192139e-08,3.218088684420195e-09
1849,1.5920887719289567e-08,3.3517659758786067e-09
1850,8.146795238417326e-09,6.788996032014438e-09
1851,1.870337307252612e-08,5.159551008659946e-09
1852,1.3672145193766028e-08,5.859490670445666e-09
1853,1.2541057081705276e-08,8.360704129017904e-09
1854,2.0782657927931325e-08,5.715230788627679e-09
1855,1.3798036491152743e-08,9.021793090369101e-09
1856,2.174419400091665e-08,5.177189343896771e-09
1857,1.4644527368545823e-08,6.8341128311999455e-09
1858,7.34051397444091e-09,4.404308473482388e-09
1859,2.6479302084325695e-08,5.601390462572908e-09
1860,2.380135608048839e-08,4.57718396518203e-09
1861,2.5466203590340797e-08,1.886385547766878e-09
1862,1.3553958982948089e-08,4.066187830886747e-09
1863,2.2975255475898848e-08,4.9946209945694875e-09
1864,1.821996631345968e-08,5.274200631788517e-09
1865,2.7299698113214532e-08,8.001635798393636e-09
1866,7.784980660119345e-09,5.352174259343201e-09
1867,5.338092634588065e-09,4.367530337390235e-09
1868,1.1361710683388537e-08,7.409810987013543e-09
1869,1.9534076356464425e-08,2.9301114867763545e-09
1870,7.454262984651905e-09,2.8670243956696595e-09
1871,2.230447138096281e-08,1.0621177271019633e-09
1872,3.205089793567595e-08,4.23313739617015e-09
1873,8.979006871356887e-09,4.190203295451056e-09
1874,3.226288780577846e-08,2.3898436563030145e-09
1875,3.2612703648737806e-08,1.2015206607429718e-08
1876,5.441413541973361e-09,3.02300739996042e-09
1877,2.22653372405901e-08,1.8554447978047506e-09
1878,1.509772218355465e-08,3.623453259660181e-09
1879,7.94212251520321e-09,6.720257683667796e-09
1880,1.3477476912271413e-08,7.059631101924424e-09
1881,2.6495528548942104e-08,3.4862537301449947e-09
1882,1.5972924316542958e-08,1.9966155395678697e-09
1883,1.7062215640351042e-08,3.159669414998234e-09
1884,1.8484752395409032e-08,1.9805090900604227e-09
1885,1.933690724209569e-08,5.156508553483263e-09
1886,3.033128009866104e-08,2.5813855497602844e-09
1887,1.828098916689669e-08,2.6115698492645834e-09
1888,2.9800888867725916e-08,1.9021844099853524e-09
1889,1.50363277384713e-08,1.8795409673089125e-09
1890,2.3595790488162294e-08,2.621754646714436e-09
1891,1.5298128430707436e-08,7.011642266796514e-09
1892,2.570090096298827e-08,3.761107425503951e-09
1893,1.539604177480669e-08,3.695050043717174e-09
1894,1.5753848003896564e-08,1.1342770278588432e-08
1895,1.865770427045277e-08,1.8055843487019274e-09
1896,1.1794058174530164e-08,6.486731818355906e-09
1897,1.5149455578900017e-08,4.078699600285063e-09
1898,1.4711722506888236e-08,1.6975064687230201e-09
1899,3.8693048765026106e-08,2.2110313580014918e-09
1900,2.855079306307573e-08,4.671947717582725e-09
1901,7.824234593556412e-09,3.353243460679778e-09
1902,2.160524809058373e-08,6.383369166584885e-09
1903,1.7820727560291516e-08,7.020286574288548e-09
1904,2.0961038238453966e-08,1.6123875568041512e-09
1905,7.225062881310862e-09,4.1286072338664326e-09
1906,3.806696469155213e-08,3.0865106026567446e-09
1907,4.525702124169584e-08,4.1142746431965804e-09
1908,2.1610112144188065e-08,2.4556945366072114e-09
1909,2.2003934396774838e-08,1.1001967115120692e-09
1910,2.672075316567657e-08,6.947395991829808e-09
1911,3.724261865567513e-08,7.980561100850991e-09
1912,1.8753916364300238e-08,4.167536982180309e-09
1913,2.227255713194154e-08,4.772690687104841e-09
1914,3.281404303834279e-08,3.3483718020477227e-09
1915,7.068456930880984e-09,2.3561523843085297e-09
1916,2.966614687238689e-08,2.197492410260793e-09
1917,1.315970976634162e-08,6.57985488317081e-09
1918,1.9526840588923733e-08,2.2972752589112133e-09
1919,1.012863304339362e-08,0.0
1920,1.2872793941909322e-08,7.572231730534895e-09
1921,1.7417319808643583e-08,3.0290990271630847e-09
1922,2.7298360905092522e-08,5.90234855435412e-09
1923,2.7601466001669905e-08,2.1231896241147297e-09
