year,pointes_NOUN fines_ADJ
1800,5.973912209356058e-08
1801,3.809892135109294e-08
1802,3.3567602031325805e-08
1803,4.095712213825209e-08
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,0.0
1807,9.394951661079176e-08
1808,1.5862518409903714e-08
1809,1.581321384946932e-08
1810,1.4040760554223652e-08
1811,2.0056614147279106e-08
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,0.0
1815,2.697223555614414e-09
1816,7.184571870766376e-08
1817,2.0239355080775567e-08
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,3.155676253641104e-08
1822,1.9048670196752937e-08
1823,7.906149512848515e-09
1824,6.736890156844311e-09
1825,1.937197424695114e-08
1826,7.0463874735082754e-09
1827,9.217273055917019e-10
1828,2.4765213879618386e-08
1829,1.8860987438529264e-08
1830,4.174734336004349e-09
1831,1.2472964883158966e-08
1832,5.411987746839486e-09
1833,3.4750886612755494e-09
1834,2.5203233278148218e-08
1835,1.1344631900556124e-08
1836,9.409050427677812e-09
1837,2.0177884252348122e-08
1838,1.5780404538645598e-08
1839,1.11863602825224e-08
1840,7.64362617644565e-09
1841,2.5682194149112547e-09
1842,1.0733224087289273e-08
1843,1.7130041385371442e-08
1844,3.2931368743049916e-09
1845,2.511102614732863e-08
1846,9.952652035849496e-09
1847,1.3483059113639229e-08
1848,3.218088684420195e-09
1849,1.3407063903514427e-08
1850,1.2899092460827433e-08
1851,1.5478653248024443e-08
1852,3.2552726736412296e-08
1853,1.3138249599364826e-08
1854,8.832629738719788e-09
1855,1.1675261646360013e-08
1856,4.814786080942213e-08
1857,1.0739319655783675e-08
1858,1.468102794888182e-08
1859,1.3748867822016564e-08
1860,2.0597327482496652e-08
1861,6.6023493339173456e-09
1862,1.807194577319038e-08
1863,2.447364266799923e-08
1864,1.7740493518658695e-08
1865,1.9298061815220535e-08
1866,3.1139922029854716e-08
1867,1.552899675516528e-08
1868,1.8277534152844055e-08
1869,1.8557372638561276e-08
1870,3.899153000475053e-08
1871,3.292564798584863e-08
1872,1.7537283625301825e-08
1873,3.412022664406322e-08
1874,2.7483201492373155e-08
1875,1.94531928343622e-08
1876,4.413590959373437e-08
1877,8.658742522982266e-08
1878,8.998242151392333e-08
1879,7.636656818021947e-08
1880,5.776061584583658e-08
1881,5.229380534155226e-08
1882,4.9249848643739824e-08
1883,4.3603439081607576e-08
1884,4.687204935294176e-08
1885,2.8360796378024133e-08
1886,3.4203360144147155e-08
1887,3.525619263200497e-08
1888,4.057993407968752e-08
1889,3.1952197054874176e-08
1890,3.8015443237782165e-08
1891,5.290602800300803e-08
1892,3.761107336686109e-08
1893,4.1261390970603884e-08
1894,4.222031435574536e-08
1895,3.972285589348701e-08
1896,4.1279204054944785e-08
1897,3.612562338162206e-08
1898,5.8846890027552945e-08
1899,2.266307141951529e-08
1900,4.152842336679896e-08
1901,4.750427962108006e-08
1902,4.17374117489544e-08
1903,5.400220137730116e-08
1904,4.783416507336824e-08
1905,5.315581896869759e-08
1906,5.14418445618503e-08
1907,4.4228454398886896e-08
1908,2.8486056180554442e-08
1909,3.850688656825696e-08
1910,1.8170112525695004e-08
1911,3.77746552926439e-08
1912,3.542406545875565e-08
1913,2.863614512182977e-08
1914,2.678697441638178e-08
1915,4.005459075528961e-08
1916,4.0653610255958483e-08
1917,5.263883906536648e-08
1918,1.9526840588923733e-08
1919,1.6574126959767455e-08
1920,2.4231141537711665e-08
1921,3.559191341651058e-08
1922,4.721878710256533e-08
1923,3.3971033985835675e-08
1924,6.703644572780831e-08
1925,5.609070630185897e-08
1926,7.356451359186167e-08
1927,2.5643217327342427e-08
1928,2.399468712610542e-08
1929,1.3368487650211591e-08
1930,3.7812974085227324e-08
1931,2.5091784650044247e-08
1932,2.301502632917618e-08
1933,3.097078660196928e-08
1934,2.2765002327673756e-08
1935,2.8723881939640705e-08
1936,2.3036957230715416e-08
1937,2.895957251780601e-08
1938,1.6854778905894818e-08
1939,2.4470480752825097e-08
1940,1.2678914806940611e-08
1941,3.5418031174572207e-08
1942,2.1239483061208375e-08
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,1.9606536838523425e-08
1946,3.480275978517966e-08
1947,2.6225916327504706e-08
1948,2.9354097819123126e-08
1949,2.3560819073509265e-08
1950,2.6588404367089424e-08
1951,2.7719645245838365e-08
1952,1.370824520563474e-08
1953,1.939288907237824e-08
1954,1.07497895029951e-08
1955,2.9095383879962355e-08
1956,2.5291311489539225e-08
1957,1.3252556385623393e-08
1958,1.7371711180658167e-08
1959,1.2401196514133517e-08
1960,1.9378332827280076e-08
1961,9.72742331128984e-09
1962,1.1415521694591035e-08
1963,1.875155397623729e-08
1964,2.1293889318485526e-08
1965,1.4227312661319047e-08
1966,1.38476865529924e-08
1967,1.5284040200125304e-08
1968,1.5270813474854705e-08
1969,1.3625273298512042e-08
1970,1.885477268759317e-08
1971,8.735275613958038e-09
1972,9.747279428040656e-09
1973,3.3079223804577396e-09
1974,1.125114318378806e-08
1975,8.567220266542108e-09
1976,9.141642998145016e-09
1977,1.23412418062685e-08
1978,1.0099005187669263e-08
1979,9.94835469558808e-09
1980,3.97960553399912e-09
1981,1.3283654176632353e-08
1982,9.932003663948308e-09
1983,1.1999100379966876e-08
1984,1.333771937339634e-08
1985,6.617113967877231e-09
1986,5.395036861699509e-09
1987,1.1610552075325131e-08
1988,4.197587610832443e-09
1989,1.1525056353711705e-08
1990,8.717841559757744e-09
1991,1.1722930404189924e-08
1992,6.060938417817852e-09
1993,9.970573700002205e-09
1994,1.0022360497075056e-08
1995,5.422450655157007e-09
1996,6.939519625603907e-09
1997,1.198723642570343e-08
1998,9.059445860160054e-09
1999,9.140402212892695e-09
2000,5.743440834038438e-09
2001,4.381211921034023e-09
2002,5.6955880012310445e-09
2003,8.750537738855257e-09
2004,3.0833537945085254e-09
2005,7.656374201303606e-09
2006,7.000412693969338e-09
2007,2.7961355453243186e-09
2008,8.089135583588813e-09
2009,6.675469510497578e-09
2010,5.196172381261022e-09
2011,1.3001504761689375e-08
2012,9.19148224198807e-09
2013,5.578249862026041e-09
2014,8.228691908418462e-09
2015,9.087958829923082e-09
2016,7.45682449121432e-09
2017,1.0565567976072998e-08
2018,7.486253394972664e-09
2019,9.693753078021672e-09
