year,ces_DET oies_NOUN,ces_DET foies_NOUN
1800,1.6978488659447066e-07,2.2009151834367913e-08
1801,1.2620267497709392e-07,2.6193008650921e-08
1802,8.727576528144709e-08,4.475680270843441e-09
1803,7.411289004721766e-08,7.216254971353919e-08
1804,1.1617699158250616e-07,3.707776308203847e-08
1805,2.2743021688143017e-08,7.107194099909009e-08
1806,2.305335300434308e-08,5.76333825108577e-09
1807,6.547996900252429e-08,8.540865792383556e-09
1808,1.3823051503436545e-07,4.5321479902327155e-09
1809,3.6144488291256494e-08,1.8072244145628247e-08
1810,1.6380887757350138e-08,9.360507036149102e-09
1811,5.515568934910675e-08,3.259199621297171e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,1.8880564667256294e-08,1.8880564667256294e-08
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,4.203558356952186e-08,1.8682481339737933e-08
1818,2.2650237241350624e-07,2.2650237241350624e-08
1819,3.1053151161586356e-09,1.3456364911235141e-08
1820,1.1866481131050932e-08,7.119888678630559e-09
1821,1.9722976807301507e-08,1.4792232327920374e-08
1822,4.0102463572111446e-08,7.017931125119503e-09
1823,1.2847493069401139e-08,7.906149512848515e-09
1824,4.210556348027694e-09,1.6842225392110777e-08
1825,6.516027784009282e-08,7.924898959288385e-09
1826,2.906634755106552e-08,1.7615968683770689e-09
1827,1.474763688946723e-08,1.2904182611350734e-08
1828,1.3024667566696735e-07,1.1923991571904935e-08
1829,6.858540846366168e-09,9.430493719264632e-09
1830,6.992679768558219e-08,9.39315203396518e-09
1831,4.365537531469954e-08,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,8.108540172635514e-09,2.3167257001688313e-09
1834,4.387229601832132e-08,1.4935249481595747e-08
1835,6.882410019670715e-08,3.025235173481633e-09
1836,2.9571300075303952e-08,1.0753200108126748e-08
1837,2.435261814426326e-08,1.5307360268224102e-08
1838,5.680945602826171e-08,1.1361891427696946e-08
1839,5.523265411699896e-08,6.292327547896548e-09
1840,1.9109066218270243e-08,6.369688665408546e-10
1841,2.6966304744746594e-08,5.778493683550323e-09
1842,9.391571076378114e-09,6.708265054555795e-09
1843,1.063243981747064e-08,2.126487963494128e-08
1844,1.756339607084101e-08,4.9397050894128824e-09
1845,2.2320911785556063e-08,4.464182357111213e-09
1846,2.3418005756781213e-08,6.439951683034906e-09
1847,4.314578827546711e-08,2.0494249852731627e-08
1848,4.1835152453373325e-08,2.252662012480755e-08
1849,1.256912218750017e-08,8.379414717651912e-09
1850,2.4440385715251978e-08,6.788996032014438e-09
