year,les_DET îles_NOUN,les_DET iles_NOUN,les_DET fils_NOUN
1800,1.8465677726453578e-05,1.3016840654245243e-06,7.1152443918975905e-06
1801,1.7735047549649607e-05,1.776362196892478e-06,9.312805442363015e-06
1802,1.946249471984629e-05,1.4322177150916104e-06,7.917478455965465e-06
1803,2.0076791088285972e-05,1.2930749153650112e-06,7.062178507766248e-06
1804,2.2081043880461948e-05,1.5696252999575222e-06,9.548759820843244e-06
1805,1.2394947134453105e-05,9.324638874375069e-07,1.0552761898097174e-05
1806,1.2587130754582176e-05,9.653591570568665e-07,7.77186187406187e-06
1807,1.6791341977295815e-05,1.5601314018454104e-06,9.693882009997878e-06
1808,1.982588059945556e-05,1.2259460362429309e-06,7.342079808125845e-06
1809,1.7371945205013617e-05,1.2447258184167254e-06,8.08732909263199e-06
1810,1.1915925824723672e-05,1.2355869429825361e-06,8.665489403369975e-06
1811,1.6220787074416876e-05,1.7975740078668423e-06,8.132957134421304e-06
1812,1.4306904859040515e-05,9.415245187938126e-07,8.257676455514229e-06
1813,1.7734697848936776e-05,1.4234921295042113e-06,7.47692838842795e-06
1814,1.1123503782073385e-05,1.0446967912969285e-06,9.232350762999886e-06
1815,1.7143553122878075e-05,1.1544116735873189e-06,8.07009307379758e-06
1816,1.8726239318311855e-05,9.919344758912985e-07,9.339944037733972e-06
1817,1.6057592688412115e-05,1.0804701418010154e-06,7.005930187986564e-06
1818,1.4238653989195882e-05,9.250833867824326e-07,9.644232779493223e-06
1819,1.261482447034723e-05,7.701181243824351e-07,8.336735891845137e-06
1820,1.7993146002481808e-05,1.1427421213738853e-06,1.0131601122509437e-05
1821,1.2167103932370082e-05,8.332957381895767e-07,8.816170447900618e-06
1822,1.2964123982328601e-05,1.1990636892278417e-06,8.646091146147228e-06
1823,1.3094560358695162e-05,1.305502955517568e-06,8.57718374192018e-06
1824,1.1698610023813671e-05,1.0374810957003433e-06,1.0228283901625446e-05
1825,1.5953702131810132e-05,1.7276279447031584e-06,9.344336421079902e-06
1826,1.8236931737192208e-05,1.7334113504574589e-06,1.00543145293841e-05
1827,1.584817891853163e-05,1.2931834527663e-06,8.889137777856604e-06
1828,1.4728881751580047e-05,1.4629820253020398e-06,8.940242262056586e-06
1829,1.460097655581194e-05,2.082424478189182e-06,8.821797802482934e-06
1830,1.4773341490581515e-05,1.3463518362399896e-06,1.0166521995813582e-05
1831,1.2505706195042876e-05,1.0025145353864673e-06,1.0394656907664057e-05
1832,1.2643756292618491e-05,1.5789474296923345e-06,9.849817535823036e-06
1833,2.4092788180496427e-05,3.2874338788957402e-06,8.86147622125577e-06
1834,1.696270896900387e-05,1.6662138371259516e-06,9.762985467176577e-06
1835,1.3907006064073357e-05,1.8983350216217332e-06,1.0045293421967472e-05
1836,1.3791650758321339e-05,1.582064548699691e-06,9.545481194805916e-06
1837,1.3495525081452797e-05,1.9983063177519966e-06,9.686775705119999e-06
1838,1.1000835513641505e-05,2.006636307783083e-06,1.1113823823905022e-05
1839,1.3762719277110591e-05,2.2260856979983146e-06,1.2486075657847095e-05
1840,1.247885734301235e-05,2.1440371433811833e-06,1.1161605224074833e-05
1841,1.1915896095615608e-05,1.8542543935851086e-06,1.1562123905406452e-05
1842,1.1824659054582298e-05,1.5522925451705305e-06,1.063461292361012e-05
1843,1.2501977380452445e-05,2.031977416550035e-06,1.095082279434223e-05
1844,1.1029263987438753e-05,1.69706311581308e-06,1.2015558063183107e-05
1845,9.930015494319377e-06,1.697505346953676e-06,1.0675533802739778e-05
1846,1.1536880606399791e-05,1.7926482769325958e-06,1.1317921906339734e-05
1847,1.1509139653753664e-05,2.0273127852021844e-06,1.2633626234048734e-05
1848,1.2083922740657727e-05,1.8849954379618339e-06,1.002354190760002e-05
1849,1.0589904945845774e-05,2.047929022808148e-06,1.0839611515933711e-05
1850,8.287327432299207e-06,1.8045151213286204e-06,1.1483586465743656e-05
1851,9.187870489313354e-06,1.46402260980949e-06,1.2618971688915792e-05
1852,8.387536070131318e-06,1.8815476305888978e-06,1.24143076405403e-05
1853,1.1822036242392642e-05,1.894893941312148e-06,1.268796659559257e-05
1854,9.806297384784557e-06,1.5638949619756204e-06,1.1674138800543687e-05
1855,1.088134393967266e-05,1.675400088885226e-06,1.33761348379835e-05
1856,8.754109671826882e-06,1.7731873018789202e-06,1.280111837687059e-05
1857,9.036649885274528e-06,1.5933246153565506e-06,1.2201331987427011e-05
1858,7.913074114185292e-06,1.379527233780209e-06,1.222684954171882e-05
1859,9.18424365181636e-06,1.737958751135693e-06,1.3106744667368275e-05
1860,8.61471767166222e-06,1.2376705669225885e-06,1.2903538955555405e-05
1861,8.548155790322198e-06,1.5661715284664979e-06,1.7459440577738405e-05
1862,9.031906586187688e-06,1.3391311188826194e-06,1.231422358216605e-05
1863,9.370408406539354e-06,1.584793196229839e-06,1.2056015687988975e-05
1864,1.0455383346652525e-05,1.8023382288845369e-06,1.2606298554374007e-05
1865,9.191525407459267e-06,1.3503936031611374e-06,1.2810618109426741e-05
1866,9.141513885424501e-06,1.5088265854501515e-06,1.2506571380299647e-05
1867,8.949555194703862e-06,1.4306088687021656e-06,1.4307543743541373e-05
1868,8.377038625440036e-06,1.3851406670539745e-06,1.2462314732175628e-05
1869,8.775195908583555e-06,1.1398133601403515e-06,1.1393738855502988e-05
1870,8.246709114700934e-06,1.3733046682062877e-06,1.3022598544409902e-05
1871,6.097617671230182e-06,9.028000729216501e-07,1.1647183022489571e-05
1872,8.044775313464925e-06,1.195558960276344e-06,1.2419420656328839e-05
1873,9.447112518046197e-06,1.5952701986066131e-06,1.1551192955039369e-05
1874,8.277223400909861e-06,1.118446856906985e-06,1.1944438874422758e-05
1875,8.224122723277105e-06,1.1174142482417437e-06,1.0645473608406064e-05
1876,9.849563014086016e-06,1.4177904859025148e-06,1.218332440089398e-05
1877,9.836331400947529e-06,1.3810694170501847e-06,1.1624980345459335e-05
1878,1.0681939954793052e-05,1.5605004684005053e-06,1.1233913028263487e-05
1879,8.900064699446375e-06,1.467459910031721e-06,1.2017042841705461e-05
1880,1.1099023481619952e-05,1.5678798668261607e-06,1.2135505357946386e-05
1881,1.2162842153884412e-05,1.9369625974263727e-06,1.3744206803778525e-05
1882,9.88990188943717e-06,1.4442185900520599e-06,1.3443878302155099e-05
1883,8.734590096537431e-06,1.4155319227882046e-06,1.2703135425340406e-05
1884,1.1316628558688535e-05,1.6174157337900397e-06,1.3668813650724587e-05
1885,1.031301752618674e-05,1.6713533455003926e-06,1.3653790361445317e-05
1886,8.60246723277669e-06,2.545246125862377e-06,1.4375736427041375e-05
1887,9.043866725733096e-06,1.4833716974749223e-06,1.304609688901337e-05
1888,7.5668895078706555e-06,1.6339764279393876e-06,1.278838600171639e-05
1889,8.635864276129723e-06,1.6571286636235527e-06,1.326329472561838e-05
1890,8.30571872256769e-06,1.6890654102041935e-06,1.3346041626505212e-05
1891,7.579584973882447e-06,1.7503608304991758e-06,1.4414661315242938e-05
1892,8.013666217721038e-06,1.827898174155962e-06,1.2478100934742997e-05
1893,9.755547296208533e-06,1.9509863804501038e-06,1.270234998429487e-05
1894,7.733249105967843e-06,1.595549704802579e-06,1.1307482324696139e-05
1895,7.829615697119152e-06,2.5470776279234997e-06,1.1438376844807863e-05
