year,derniers_ADJ fils_NOUN
1800,1.5720821977538435e-08
1801,4.286128785224719e-08
1802,6.937304419807333e-08
1803,2.145373123596528e-08
1804,4.2021465418429216e-08
1805,8.528632911009026e-09
1806,0.0
1807,8.540865792383556e-09
1808,1.8128591960930862e-08
1809,5.1957702140725814e-08
1810,7.020380277111826e-09
1811,2.2563691359778204e-08
1812,3.200649700829672e-08
1813,1.1502966579257645e-08
1814,6.922689976818219e-08
1815,1.6183340889597275e-08
1816,4.4034472068688046e-08
1817,6.227493631882908e-09
1818,5.126106117359086e-08
1819,7.24573512300708e-09
1820,4.865257352548724e-08
1821,2.2681422962023134e-08
1822,1.5038423839541792e-08
1823,4.644862983127496e-08
1824,2.6947560627377243e-08
1825,2.905796137042671e-08
1826,2.906634755106552e-08
1827,4.424290978022327e-08
1828,2.5682442839070063e-08
1829,7.715858174606183e-09
1830,2.400472176589119e-08
1831,2.9623292263636358e-08
1832,6.900284432731496e-08
1833,5.09679658478035e-08
1834,4.29388435918554e-08
1835,3.554651328840919e-08
1836,5.712637474175608e-08
1837,2.365682938432201e-08
1838,4.670999942391063e-08
1839,6.292327725532232e-08
1840,5.350538501147639e-08
1841,2.118781061710706e-08
1842,3.6224630406422875e-08
1843,4.7255287682901326e-08
1844,4.8848196598783034e-08
1845,4.910600637231255e-08
1846,3.6297908678761814e-08
1847,3.235934187273415e-08
1848,2.172209789819135e-08
1849,5.9493846293889874e-08
1850,3.8018377779280854e-08
1851,2.4507867735223954e-08
1852,4.166749079104193e-08
1853,3.3442816516071616e-08
1854,4.9878380536938494e-08
1855,2.9188154115900034e-08
1856,4.40061072026765e-08
1857,6.150701636897793e-08
1858,2.838332058274773e-08
1859,3.6154432336843456e-08
1860,3.982150076353719e-08
1861,2.263662679524714e-08
1862,5.2860439581081664e-08
1863,5.4441368746438457e-08
1864,5.897515364949868e-08
1865,6.024760779155258e-08
1866,3.6978658357611494e-08
1867,4.464586567110018e-08
1868,3.556709415875048e-08
1869,3.076617005604021e-08
1870,6.192772872282148e-08
1871,1.911811864374613e-08
1872,5.1402384571019866e-08
1873,4.19020302899753e-08
1874,3.823749850084823e-08
1875,3.032409523484603e-08
1876,3.567148709748835e-08
1877,4.2056747417973384e-08
1878,3.4422804162659304e-08
1879,2.932476128592043e-08
1880,2.5671385017744797e-08
1881,5.159655458442103e-08
1882,6.455723422504889e-08
1883,3.2860562271253e-08
