year,seules_ADJ âmes_NOUN,seules_ADJ ames_NOUN,seules_ADJ femmes_NOUN
1800,0.0,0.0,2.829747991484055e-08
1801,0.0,2.3811825844433088e-09,1.1191558257905854e-07
1802,0.0,4.475680270843441e-09,3.1329761895904085e-08
1803,5.851017448321727e-09,1.950339223455444e-09,2.145373123596528e-08
1804,0.0,3.460591457837836e-08,5.19088700912107e-08
1805,5.685755422035754e-09,6.254330742194725e-08,1.1371510844071508e-08
1806,0.0,1.152667650217154e-08,1.152667650217154e-08
1807,0.0,0.0,2.2775640928784924e-08
1808,0.0,6.798221985349073e-09,3.6257183921861724e-08
1809,0.0,4.518061036407062e-09,3.6144488291256494e-08
1810,0.0,0.0,2.8081521108447305e-08
1811,5.0141535368197765e-09,7.521229861140455e-09,3.008491944456182e-08
1812,0.0,0.0,2.6672083208723052e-08
1813,5.751483289628823e-09,2.8757416448144113e-09,5.7514832008109806e-08
1814,6.293354282149721e-09,0.0,2.5173417128598885e-08
1815,0.0,0.0,3.776112933451259e-08
1816,6.952811659743929e-09,0.0,1.3905623319487859e-08
1817,7.784366928831332e-09,0.0,6.85024303948012e-08
1818,1.1921177378582115e-09,9.536941902865692e-09,3.337929754820834e-08
1819,3.1053151161586356e-09,4.140420006848444e-09,2.2772310259711048e-08
1820,0.0,0.0,2.8479554714522237e-08
1821,1.2819934447350079e-08,9.86148829262845e-10,1.577838126820552e-08
1822,1.1028177482330648e-08,0.0,2.2056354964661296e-08
1823,1.2847492847356534e-08,0.0,4.644862983127496e-08
1824,1.6842225392110777e-09,0.0,2.5263338088166165e-08
1825,7.044354433105582e-09,0.0,2.905796137042671e-08
1826,1.7615968683770689e-09,6.1655889282974385e-09,4.932471142637951e-08
1827,0.0,0.0,1.3825909306319772e-08
1828,0.0,0.0,4.035812395386529e-08
1829,2.571952872898464e-09,1.714635211591542e-09,1.2859763920403111e-08
1830,4.174734336004349e-09,1.0436835840010872e-09,1.5655253093882493e-08
1831,0.0,0.0,1.7150327380477393e-08
1832,5.411987746839486e-09,0.0,1.6235963684607668e-08
1833,3.4750886612755494e-09,1.1583628500844156e-09,1.2741991461950875e-08
1834,1.8669061851994684e-09,0.0,2.6136685704614138e-08
1835,0.0,0.0,4.0840674842002045e-08
1836,6.720750067579218e-10,0.0,2.419469957715137e-08
1837,0.0,1.3915781860163179e-09,2.2961039292113128e-08
1838,2.5248647617104325e-09,6.312161904276081e-10,2.5248647617104325e-08
1839,6.9914751765765e-10,0.0,1.3283802502428443e-08
1840,6.3696887764308485e-09,6.369688665408546e-10,2.8026629905752998e-08
