year,deux_DET ânes_NOUN,deux_DET anes_NOUN,deux_DET fans_NOUN
1800,4.087413785214267e-08,0.0,0.0
1801,5.2386017301842e-08,0.0,0.0
1802,1.2308120744819462e-07,4.475680270843441e-09,4.475680270843441e-09
1803,1.1702035251914822e-07,1.755305278905439e-08,3.900678446910888e-09
1804,2.4718509461507665e-09,2.4718509461507665e-09,0.0
1805,1.7910130090115217e-07,0.0,2.842877711017877e-09
1806,3.1698361269150155e-08,2.881669125542885e-09,0.0
1807,6.54799698907027e-08,0.0,5.693910232196231e-09
1808,1.2916621727754318e-07,0.0,0.0
1809,9.713831161661801e-08,2.259030518203531e-09,2.259030518203531e-09
1810,4.212228121858175e-08,0.0,2.3401267590372754e-09
1811,7.019814773912003e-08,2.5070767684098882e-09,0.0
1812,4.5342540389015085e-08,5.3344164641089264e-09,0.0
1813,8.052076805320496e-08,2.8757416448144113e-09,1.4378708002027452e-08
1814,4.09068032780624e-08,0.0,3.1466771410748606e-09
1815,1.24072281337817e-07,0.0,0.0
1816,6.952811659743929e-09,0.0,4.6352077731626196e-09
1817,4.670620379343404e-08,1.556873407970727e-09,0.0
1818,1.0013789086826819e-07,5.960588467246453e-09,0.0
1819,6.83169290027763e-08,0.0,0.0
1820,1.044250339532482e-07,3.5599443393152796e-09,3.5599443393152796e-09
1821,5.1279739565757154e-08,0.0,1.97229765852569e-09
1822,6.215881853677274e-08,0.0,1.0025615893027862e-09
1823,2.569498569471307e-08,0.0,9.882686891060644e-10
1824,6.484256775962649e-08,0.0,8.421112696055388e-10
1825,6.427973353595462e-08,8.805443041381977e-10,2.641632912414593e-09
1826,1.426893518896577e-07,0.0,0.0
1827,3.410390991831491e-08,0.0,0.0
1828,3.485474309172787e-08,0.0,0.0
1829,8.830371589496622e-08,8.57317605795771e-10,0.0
1830,3.131050907434485e-08,1.0436835840010872e-09,0.0
1831,6.080570358335535e-08,1.5591206103948707e-09,0.0
1832,1.0418076201723636e-07,1.3529969367098715e-09,0.0
1833,1.401619093011064e-07,4.6334514003376626e-09,0.0
1834,9.054494998217422e-08,0.0,1.8669061851994684e-09
1835,1.0285799589837552e-07,7.563087933704082e-10,7.563087933704082e-10
1836,6.787957484988283e-08,2.0162250202737653e-09,0.0
1837,7.792837530828933e-08,1.3915781860163179e-09,1.3915781860163179e-09
1838,7.763959075646198e-08,6.312161904276081e-10,1.2624323808552163e-09
1839,5.8029242744339626e-08,6.9914751765765e-10,0.0
1840,6.051204382018227e-08,0.0,6.369688665408546e-10
1841,5.200644181968528e-08,6.420548537278137e-10,0.0
1842,4.9641160515534466e-08,0.0,0.0
1843,5.434358302247588e-08,5.31621990873532e-09,5.906911071384968e-10
1844,3.567564954565228e-08,0.0,0.0
1845,5.6918326940547104e-08,3.3481367123222583e-09,0.0
1846,7.142491753597824e-08,5.269051195355701e-09,0.0
1847,3.829188699455699e-08,1.6179670936367074e-09,5.393223645455691e-10
1848,5.309846384804473e-08,0.0,0.0
1849,2.011059541118243e-08,1.6758829879393033e-09,0.0
1850,5.023857241326368e-08,0.0,6.788996032014438e-10
1851,3.418202498828293e-08,0.0,0.0
1852,3.906327439295865e-08,6.510545436100301e-10,0.0
1853,6.389967244224692e-08,0.0,0.0
1854,3.896748346221557e-08,0.0,1.558699391779328e-09
1855,8.650307137259006e-08,3.714855978387277e-09,0.0
1856,4.7630141608578924e-08,2.588594560926083e-09,5.177189232874468e-10
1857,3.075350663017673e-08,0.0,4.881509085841174e-10
1858,5.2851700349521025e-08,4.893676019968041e-10,9.787352039936081e-10
1859,3.0553039875869104e-08,5.092173349652285e-10,0.0
1860,5.126446067649226e-08,0.0,0.0
1861,4.5744847021467194e-08,0.0,0.0
1862,6.460720403111964e-08,1.355395878865906e-09,4.517986262886353e-10
1863,3.296449735401552e-08,1.9978483312144135e-09,0.0
1864,4.219360705270958e-08,4.794727948009836e-10,9.589455896019672e-10
1865,5.318734097592426e-08,2.3534221793575227e-09,0.0
1866,5.3521742815476614e-08,1.9462451650298362e-09,3.8924903300596725e-09
1867,7.376273636339192e-08,1.94112459439566e-09,9.7056229719783e-10
1868,7.508608490525148e-08,4.44588676984381e-09,9.87974813071446e-10
1869,4.248661533701181e-08,0.0,1.4650557433881772e-09
1870,3.4404294080303544e-08,4.013834153937523e-09,0.0
1871,2.1242354097950056e-08,0.0,1.0621177271019633e-09
1872,4.958818244915619e-08,3.023669647994609e-09,1.2094678591978436e-09
1873,5.088103804951061e-08,0.0,0.0
1874,4.7796871516236905e-08,2.987304570378768e-09,0.0
1875,6.007603658986227e-08,5.721527140956084e-10,0.0
1876,9.069022510743707e-08,1.813804439976252e-09,4.232210359944588e-09
1877,5.999271568413178e-08,6.184815992682502e-10,6.184815992682502e-10
1878,3.804625903214287e-08,4.8312708278430705e-09,0.0
1879,7.086817055412808e-08,1.221865053580018e-09,6.10932526790009e-10
1880,6.67456026004487e-08,6.417846254436199e-10,0.0
1881,7.739483187663154e-08,6.972507571312292e-10,0.0
