year,certains_DET acteurs_NOUN,certains_DET facteurs_NOUN
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,1.950339267864365e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-08,2.5935023018064385e-08
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,2.039466551195801e-08,9.064295980465431e-09
1809,1.3554183553310395e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,3.008491944456182e-08,1.2535384286138651e-08
1812,2.1337665856435706e-08,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,3.1466772298927026e-08,0.0
1815,1.6183340889597275e-08,1.0788894222457657e-08
1816,3.7081662185300956e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,2.98029441125891e-08,0.0
1819,1.449147024601416e-08,1.035105001712111e-09
1820,1.3053129244156025e-08,0.0
1821,1.3806083276612924e-08,9.86148829262845e-10
1822,1.4035862250239006e-08,0.0
1823,3.360113542960619e-08,0.0
1824,3.9579231447817165e-08,0.0
1825,5.371320099811783e-08,0.0
1826,3.082794464148719e-08,0.0
1827,7.373818444733615e-09,1.1060727445055818e-08
1828,2.109629271274116e-08,0.0
1829,4.4580517055692326e-08,1.628903412154159e-08
1830,1.669893667788358e-08,0.0
1831,2.8064171431196883e-08,0.0
1832,1.488296597074168e-08,6.764984572527055e-09
1833,2.3167256557599103e-08,2.3167257001688313e-09
1834,1.0267983796552471e-08,9.334530925997342e-10
1835,2.0420337421001022e-08,1.1344631900556124e-08
1836,8.736974699274924e-09,2.688300027031687e-09
1837,6.957891041103892e-09,6.262101948095733e-09
1838,2.0830134062066463e-08,0.0
1839,6.292327547896548e-09,0.0
1840,2.8663599493938818e-08,6.369688665408546e-10
1841,1.6693427085101575e-08,6.420548537278137e-10
1842,1.0733224087289273e-08,2.0124795163667386e-09
1843,1.6539350777833306e-08,3.5441467538532834e-09
1844,2.0307676651398765e-08,5.488561161115513e-09
1845,1.5066614622583074e-08,5.580227946389016e-10
1846,2.6930706553685013e-08,5.854501328173001e-10
1847,1.0786447290911383e-08,1.9954928376364478e-08
1848,1.609044275596716e-08,5.631655086713039e-09
1849,1.1731181359664333e-08,4.0221190600320256e-08
1850,1.0862393651223101e-08,2.1724786414267783e-08
1851,1.0319102017319892e-08,3.2247193804124663e-09
1852,1.7578472011337e-08,4.557381805270211e-09
1853,1.2541057081705276e-08,3.4040009921909586e-08
1854,2.1302223984775992e-08,7.793496792363186e-09
1855,1.2736649068756378e-08,5.306937111981824e-10
1856,2.6403665032148638e-08,6.212627023938211e-09
1857,5.857810736475955e-09,3.4170564155999728e-09
1858,2.202154147923352e-08,5.3830435664536935e-09
1859,4.124660479831732e-08,2.5460866748261424e-09
1860,2.6089947757768073e-08,1.0069804545764782e-08
1861,2.782418562219391e-08,8.488734604128467e-09
1862,1.0391368682194368e-08,1.2198563159593334e-08
1863,8.490855407661257e-09,3.995696662428827e-09
1864,3.787835112234461e-08,8.63051052846231e-09
1865,2.306353774628178e-08,4.706844247692743e-09
1866,2.1895258051074507e-08,1.216403244796993e-08
1867,2.426405742994575e-08,6.79393608038481e-09
