year,graines_NOUN fines_ADJ
1800,3.144164395507687e-08
1801,2.3811825400343878e-08
1802,1.7902721083373763e-08
1803,5.851017448321727e-09
1804,2.4718509905596875e-08
1805,2.842877755426798e-08
1806,8.645007376628655e-09
1807,1.9928686256776018e-08
1808,5.4385775882792586e-08
1809,1.9427662323323602e-07
1810,3.042164919975221e-08
1811,1.504245972228091e-08
1812,2.9339290108509886e-08
1813,0.0
1814,6.293354282149721e-09
1815,4.5852800667489646e-08
1816,4.6352077731626196e-09
1817,1.2454987263765815e-08
1818,0.0
1819,1.6561680027393777e-08
1820,2.7292905713238724e-08
1821,1.6764529986446064e-08
1822,2.4061478143266868e-08
1823,4.4472091786929013e-08
1824,4.5474010335055937e-08
1825,1.937197424695114e-08
1826,2.8185549894033102e-08
1827,2.7651818612639545e-08
1828,2.659967357487858e-08
1829,5.315369283609428e-08
1830,1.982998831806526e-08
1831,4.677361786775691e-08
1832,1.0823975493678972e-08
1833,5.21263281427764e-08
1834,3.827157613045529e-08
1835,1.9664028627630614e-08
1836,1.747394939854985e-08
1837,3.826839956033723e-08
1838,1.5149188570262595e-08
1839,2.23727205650448e-08
1840,2.1019973317493168e-08
1841,1.219904177673925e-08
1842,2.2808102073668124e-08
1843,4.252975926988256e-08
1844,3.1284798751585186e-08
1845,3.6829504446167505e-08
1846,4.976326195560432e-08
1847,3.343798482546845e-08
1848,1.609044403272364e-08
1849,2.8490010350878947e-08
1850,1.629359136501307e-08
1851,1.805842941848823e-08
1852,2.4740073101270355e-08
1853,2.030456869306363e-08
1854,1.7145692865483397e-08
1855,2.7596072982305486e-08
1856,1.346069211649592e-08
1857,1.3180074809326925e-08
1858,3.9149409047922745e-08
1859,2.3933214521321133e-08
1860,9.15436793036406e-09
1861,3.8670901147952463e-08
1862,2.3041730301542884e-08
1863,3.49623441309177e-08
1864,1.582260189536555e-08
1865,1.8827376990770972e-08
1866,3.2113046444237625e-08
1867,1.4073153309368536e-08
1868,1.2843672791973404e-08
1869,2.9301114423674335e-08
1870,1.3188312664169644e-08
1871,1.0621176826930423e-08
1872,1.69325495846806e-08
1873,9.57760748487857e-09
1874,1.1949218059470468e-08
1875,1.6592428764283795e-08
1876,1.0278225381910033e-08
1877,2.288381928394756e-08
1878,1.509772218355465e-08
1879,1.649517855639715e-08
1880,5.134277003548959e-09
1881,9.064259565150223e-09
1882,2.1962770935246567e-08
