year,leurs_DET oeufs_NOUN
1800,6.697070347172485e-07
1801,1.050101520405633e-06
1802,9.60033418095918e-07
1803,4.40191568773507e-06
1804,1.1741291841005363e-06
1805,3.7810272224270136e-07
1806,1.3832012424330742e-07
1807,3.046241943138739e-07
1808,1.3596443526608937e-07
1809,9.713831361501946e-08
1810,2.1529165650235882e-07
1811,4.512738271955641e-08
1812,6.13457871168066e-08
1813,7.476928232108548e-08
1814,1.541871768040437e-07
1815,9.170560133497929e-08
1816,2.410307988753857e-07
1817,3.3005717270384594e-07
1818,2.873003861481038e-07
1819,3.1363681074481065e-07
1820,4.2719332071783356e-08
1821,3.944595405869222e-08
1822,3.709477880420309e-08
1823,9.882686669016039e-08
1824,6.315834522041541e-08
1825,1.2415675021415495e-07
1826,5.901349608983253e-08
1827,1.0415518819639757e-07
1828,9.997808075867809e-08
1829,5.915491319008481e-08
1830,8.453836830568662e-08
1831,6.704218602493484e-08
1832,4.329590330698352e-08
1833,5.096796640291501e-08
1834,6.627516802026889e-08
1835,1.096647750387092e-07
1836,8.736975087852983e-08
1837,8.140732621342295e-08
1838,8.07956750392691e-08
1839,6.571986876924285e-08
1840,2.802663096046487e-08
1841,5.393260860131477e-08
1842,1.4154439176294886e-07
1843,3.780423196708682e-08
1844,7.080243868973213e-08
1845,7.868121487675239e-08
1846,6.732676283149885e-08
1847,9.114547694366593e-08
1848,6.597081636527946e-08
1849,1.1144621780978525e-07
1850,2.9192682049483665e-08
1851,3.5471913850670944e-08
1852,6.445440137170522e-08
1853,5.912212475145395e-08
1854,3.1693552504652445e-08
1855,3.02495415382964e-08
1856,2.1744195222161977e-08
1857,3.1241656484048974e-08
1858,2.4468380044329052e-08
1859,3.208069188076479e-08
1860,1.4463901010230984e-07
1861,3.159695793897299e-08
1862,1.8975542942500923e-08
1863,1.1487628293060936e-08
1864,2.685047595374357e-08
1865,1.3649848362717876e-08
1866,2.5301186923343266e-08
1867,1.9896527092555516e-08
1868,2.2723421366777075e-08
1869,1.465055732285947e-08
1870,2.9243647947652107e-08
1871,2.6552942955504477e-08
1872,2.4794092001734214e-08
1873,2.7535620006347017e-08
1874,4.421210775262807e-08
1875,2.1741803024610817e-08
1876,1.753344314181504e-08
1877,3.030559980743419e-08
1878,8.273551443949145e-08
1879,1.649517855639715e-08
1880,2.4387814878679137e-08
1881,1.6734017838082593e-08
1882,3.926677294430192e-08
1883,1.8326083761621703e-08
1884,2.1125430293977843e-08
1885,1.418039830003437e-08
