year,aux_ADP eaux_NOUN,aux_ADP faux_ADJ
1800,3.361111790667337e-06,4.1188554433801983e-07
1801,2.771696440362348e-06,4.3337523192299443e-07
1802,3.0389869323244056e-06,3.0210841828193225e-07
1803,3.5242629508047685e-06,2.3209036736915323e-07
1804,3.8115940714789076e-06,3.5347467886026607e-07
1805,3.5933974196211693e-06,4.179030308470999e-07
1806,3.942123427691513e-06,3.688536569512735e-07
1807,2.7359237684265736e-06,5.551562760608419e-07
1808,2.984419516849357e-06,4.373522890510628e-07
1809,3.535382673724996e-06,4.3147482298167006e-07
1810,3.3908437382379475e-06,6.622558874624929e-07
1811,2.9458152894790146e-06,5.064294965606564e-07
1812,3.7740995573187774e-06,4.1875169820571045e-07
1813,3.3847480125359652e-06,2.473137876712883e-07
1814,3.2379308390062533e-06,7.520558176210557e-07
1815,3.1935125974769107e-06,2.9399738066260284e-07
1816,2.6374332460221694e-06,3.5459339642329724e-07
1817,2.7930308359458422e-06,3.5963776401359837e-07
1818,3.6979491540023446e-06,3.7551708409466755e-07
1819,2.961435393800116e-06,4.15077105131445e-07
1820,2.535867004382908e-06,3.7854076140320103e-07
1821,3.0827011983092234e-06,3.56985887961514e-07
1822,3.5129758657603816e-06,5.193269032588432e-07
1823,2.967770878825604e-06,5.722075835379314e-07
1824,2.752019703677888e-06,4.842139942340395e-07
1825,3.0484444017986334e-06,5.873230346509217e-07
1826,2.805343047640463e-06,4.826775290567298e-07
1827,3.2039241801840035e-06,4.544115586035957e-07
1828,3.0020940897657056e-06,4.127535456754927e-07
1829,3.2749532152820393e-06,3.8579293537566173e-07
1830,3.222894797261233e-06,4.1121132676735783e-07
1831,4.0007034911582195e-06,4.2875817340970457e-07
1832,3.7302125157623323e-06,4.627249544641998e-07
1833,4.814155886379012e-06,4.158522497466066e-07
1834,3.110265744510343e-06,4.5552509853052925e-07
1835,3.806502121506128e-06,4.583231287824674e-07
1836,2.7373615081316416e-06,6.438478312165152e-07
1837,3.3655317466241286e-06,6.811775317139279e-07
1838,3.2791682169630576e-06,5.712506747634905e-07
1839,2.9154452469981607e-06,3.055274665486607e-07
1840,2.9867470612288116e-06,4.0829703484845936e-07
1841,3.1569836771438986e-06,4.083468914117816e-07
1842,2.960357287307147e-06,4.266456534729457e-07
1843,2.984171503683797e-06,4.595576927890477e-07
1844,3.0132201809252024e-06,4.4731775450390643e-07
1845,3.1840780287950565e-06,4.92176091215768e-07
1846,3.3522874929303725e-06,5.473958708535065e-07
1847,2.8972396854953786e-06,5.41479642457432e-07
1848,2.8616852807417104e-06,4.416826766551196e-07
1849,3.248699144364764e-06,4.31539860734631e-07
1850,2.825580084575563e-06,5.023857303498858e-07
1851,3.3221058104437873e-06,6.881550977944073e-07
1852,3.4011089322660837e-06,5.22796807622683e-07
1853,3.696625697102718e-06,4.556584032311406e-07
1854,3.664502229661082e-06,5.019011632967363e-07
1855,3.744044054343476e-06,5.598818901830782e-07
1856,3.5986641719887302e-06,4.5145090488141193e-07
1857,4.2073725019520225e-06,5.662550790486165e-07
1858,3.873833929191051e-06,4.668566919718842e-07
1859,4.611981612612226e-06,4.4098220164379143e-07
1860,4.119007746439252e-06,3.474082488352792e-07
1861,3.6874119793139926e-06,4.2349353113202426e-07
1862,3.82718618041622e-06,3.8990221939982916e-07
1863,3.674542448095508e-06,5.174427135656856e-07
1864,3.6171427453268734e-06,4.881032911185912e-07
1865,3.7061691671169683e-06,4.165557370150452e-07
1866,3.5197844674428325e-06,3.7027313060100653e-07
1867,3.5323615446003487e-06,4.5179675112194673e-07
1868,3.5329979581888438e-06,3.482611197203056e-07
1869,3.425300214132676e-06,3.804261488049576e-07
1870,3.923236146619047e-06,3.6411208936826256e-07
1871,3.2256515467565805e-06,3.430640338475399e-07
1872,3.2159749991933495e-06,4.190805991122204e-07
1873,4.123159801139309e-06,3.6155467020293486e-07
1874,3.550112662509264e-06,3.333831930518727e-07
1875,3.733296491503779e-06,3.4672454773954087e-07
1876,4.018786015080877e-06,3.9057256273622443e-07
1877,3.7486169475187125e-06,3.8469554297648756e-07
