year,deux_DET arts_NOUN,deux_DET phares_NOUN
1800,1.3834323731032327e-07,9.432493897065797e-09
1801,3.333655484993869e-08,4.7623651688866175e-09
1802,1.096541666356643e-07,0.0
1803,1.3847407842604298e-07,0.0
1804,1.3347995775347954e-07,2.9662212241987618e-08
1805,7.675770063997334e-08,0.0
1806,9.797675204481493e-08,0.0
1807,2.1921555060089304e-07,2.8469551160981155e-09
1808,1.0423940155490641e-07,0.0
1809,6.551188591608081e-08,0.0
1810,1.2168659324629516e-07,1.4040760554223652e-08
1811,1.2535384108502967e-07,0.0
1812,1.0135391326215881e-07,0.0
1813,7.189353823378042e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,2.1577788444915313e-08
1816,4.4034472068688046e-08,6.952811659743929e-09
1817,7.161617721074265e-08,1.401186100480345e-08
1818,1.2517236314124602e-07,0.0
1819,7.866798057420965e-08,2.4842520929269085e-08
1820,1.1273156985680544e-07,3.5599443393152796e-09
1821,1.065040748926549e-07,0.0
1822,9.323822780515911e-08,2.0051231786055723e-09
1823,1.1365089847004128e-07,0.0
1824,1.271587990459011e-07,1.3473780313688621e-08
1825,6.42797326477762e-08,1.0566531649658373e-08
1826,6.253669226907732e-08,3.258954039964124e-08
1827,6.54426368096317e-08,1.3825909916942436e-08
1828,5.503380623439469e-08,1.0089530988466322e-08
1829,8.401712392469562e-08,3.4292703121607815e-08
1830,4.383470941782264e-08,4.0703660886265425e-08
1831,5.3010101197514814e-08,2.494592932222872e-08
1832,8.38858085216998e-08,2.5706942574643676e-08
1833,6.370995575544214e-08,2.20088942626262e-08
1834,7.187588568768888e-08,6.720862621989454e-08
1835,8.470658485748572e-08,2.4958190181223472e-08
1836,6.183090306421946e-08,1.5457724877876444e-08
1837,8.34946876082654e-08,2.0177884252348122e-08
1838,6.185918977053007e-08,3.471689069556305e-08
1839,6.292327392465324e-08,4.9639472088358616e-08
1840,5.4142353878017246e-08,3.184844388215424e-08
1841,5.3290552415319326e-08,3.852328989140119e-08
1842,1.0599058697380315e-07,1.7441488697755858e-08
1843,8.033399012674636e-08,1.949280670210385e-08
1844,8.342613450063041e-08,3.787107338837359e-08
1845,9.98860830714321e-08,2.287893474672842e-08
1846,7.610852037487348e-08,2.2832554513740888e-08
1847,5.3932236454556914e-08,3.074137477909744e-08
1848,6.194820856286753e-08,2.8962798603870965e-08
1849,3.351765842651844e-08,1.256912263158938e-08
1850,6.85688590351674e-08,2.511928531845342e-08
1851,5.224045551699419e-08,2.8377529659451284e-08
1852,1.3346618432663604e-07,3.059956377171602e-08
1853,6.987159983928848e-08,2.926246556178569e-08
1854,6.910233790735631e-08,3.740878407043624e-08
1855,7.164365101175463e-08,6.209116421018734e-08
1856,1.1545132083679022e-07,5.073645548137051e-08
1857,7.712784366731285e-08,3.124165814938351e-08
1858,9.493731573106956e-08,2.300027723833864e-08
1859,9.827894476011068e-08,2.036869339860914e-08
1860,7.872756668803049e-08,1.9681891227918413e-08
1861,1.0563758534587464e-07,3.489813193979785e-08
1862,7.861296347222435e-08,1.53611532938136e-08
1863,1.243660608385433e-07,2.6471489888990618e-08
1864,1.0404559547261272e-07,4.8426750942631713e-08
1865,7.719224726088214e-08,2.5416960536261968e-08
1866,8.174229337853944e-08,5.79007946033272e-08
1867,7.667442503134225e-08,4.076361648230886e-08
1868,7.26161495379074e-08,4.445886814252731e-08
1869,7.47178409143956e-08,1.123209392162039e-08
1870,6.422134646300037e-08,4.587239033071455e-08
1871,3.186353225714811e-08,2.0180236370848093e-08
1872,7.982487915114689e-08,2.2375155728227014e-08
1873,7.721946104766175e-08,2.8732821011345777e-08
1874,5.01867165603187e-08,1.0754296120296658e-08
1875,7.380770256082414e-08,2.6891177951071654e-08
1876,7.980739469282128e-08,2.1161051577678336e-08
1877,6.494056881134469e-08,1.9172929466293454e-08
1878,9.239805764948983e-08,4.5293164330217905e-08
1879,7.270097057698877e-08,3.9710612576016047e-08
1880,7.508880250917116e-08,4.620849458625287e-08
1881,7.809208313336313e-08,7.460583106855267e-08
1882,8.785108107645101e-08,3.527353964472013e-08
1883,8.847074745021999e-08,3.981183649415243e-08
1884,8.978307697304899e-08,6.46966284989503e-08
1885,6.767917792860345e-08,3.996293984620536e-08
1886,7.163344711846875e-08,3.226731992711507e-08
1887,4.635536360320103e-08,2.938016152587153e-08
1888,8.115986549483978e-08,2.5996520269799817e-08
1889,8.95914575860246e-08,3.696430717070598e-08
1890,7.078737507271171e-08,2.6872983838188702e-08
1891,4.716922674674606e-08,3.82453193559229e-08
1892,7.208788876944539e-08,4.576013967749759e-08
