year,plus_ADV in_ADJ,plus_ADV fine_ADJ
1800,3.898763907272951e-07,2.0091210899408907e-06
1801,3.5717738455787185e-07,2.2025938051228877e-06
1802,3.871463434279576e-07,2.105807652696967e-06
1803,3.959188745739084e-07,2.761680434559821e-06
1804,2.966221188671625e-07,1.668499407969648e-06
1805,4.5201755938251154e-07,1.91041385733115e-06
1806,2.852852389878535e-07,1.39472786031547e-06
1807,3.1031811431603273e-07,1.6426930642410298e-06
1808,3.308468023988098e-07,1.5363981447080732e-06
1809,2.981920204092603e-07,1.9585795598686673e-06
1810,3.205973655440175e-07,1.8159383898819215e-06
1811,3.509907458010275e-07,1.1858472817039e-06
1812,3.7607637182190956e-07,1.4669644770037849e-06
1813,2.8469841595324397e-07,1.2049357565047103e-06
1814,3.304010931515222e-07,1.0352567869631457e-06
1815,3.3985017466875433e-07,1.073495013770298e-06
1816,3.337349596677086e-07,1.8656711517905933e-06
1817,3.3161404644488357e-07,1.3871741657567327e-06
1818,3.2425603535557457e-07,1.2982162616026471e-06
1819,3.7884842640778515e-07,1.2286695891816635e-06
1820,3.370080605691328e-07,1.0561168437561719e-06
1821,3.1458148441743106e-07,1.160697138402611e-06
1822,3.248299549341027e-07,1.1729970310625504e-06
1823,3.300817468243622e-07,1.0969782806569128e-06
1824,3.957922842801054e-07,1.1528503591762274e-06
1825,3.5926208852288255e-07,1.3252191592982854e-06
1826,2.395771616647835e-07,1.0314149676560191e-06
1827,3.96342727526644e-07,1.0516909014768316e-06
1828,3.0452039823103405e-07,1.0309667004548828e-06
1829,2.9834652082172397e-07,1.3374154832490603e-06
1830,2.776198471110547e-07,1.30982289192616e-06
1831,2.47900175054383e-07,1.0602020665828604e-06
1832,2.9360032272052194e-07,1.0404546628706157e-06
1833,2.884323464513727e-07,1.1479376098577632e-06
1834,2.623003183543915e-07,1.0930735925285262e-06
1835,2.639517617808451e-07,1.0316051657355274e-06
1836,2.540443517773383e-07,1.0464208344274084e-06
1837,1.864714818111679e-07,1.0033278385890299e-06
1838,2.0262039868157444e-07,1.0396130392109626e-06
1839,2.4260418740595924e-07,9.83001427812269e-07
1840,2.1147366169316228e-07,8.586340527472203e-07
1841,2.1252016324524448e-07,9.939009260051535e-07
1842,2.0661455835124798e-07,8.814660077405279e-07
1843,2.2091847995397984e-07,9.273850309909903e-07
1844,2.3930127213134256e-07,1.0098952998305322e-06
1845,1.9698204312135204e-07,8.744217439016211e-07
1846,1.8500223575301789e-07,9.888252634482342e-07
1847,1.5748213400001987e-07,8.079048825493373e-07
1848,1.946943655184441e-07,9.477271305513568e-07
1849,1.9691624686402065e-07,8.488347589263867e-07
1850,2.450827594202565e-07,8.520190135641315e-07
1851,2.4120902253343957e-07,8.352023428415123e-07
1852,2.1289483242981078e-07,1.0247598538626335e-06
1853,2.1319796417174075e-07,1.2176768677818472e-06
1854,2.0834615099829534e-07,9.986066515921266e-07
1855,1.990101452520321e-07,1.1441755987107172e-06
1856,2.0398125855081162e-07,1.0618415444696438e-06
1857,2.1576269659817626e-07,1.1398324204492383e-06
1858,2.0651312127029087e-07,9.366495987706003e-07
1859,2.0165006731076573e-07,1.0815775794981164e-06
1860,1.780524598871125e-07,1.1996799003100023e-06
1861,1.9854206811942277e-07,1.2407700751282391e-06
1862,1.5903312089449173e-07,1.097418817153084e-06
1863,2.0877514828043786e-07,1.1133009820696316e-06
1864,1.6637706323763268e-07,1.1047053476431756e-06
1865,1.807428304800851e-07,1.1560009625100065e-06
1866,1.7710830491068918e-07,1.126389406636008e-06
1867,1.727600817957864e-07,1.1418665053497534e-06
1868,2.1043862830083526e-07,1.2823912811654736e-06
1869,1.8215526154108375e-07,1.1393250360924867e-06
1870,2.4885773086680274e-07,1.2936013717990136e-06
1871,1.8268424639700243e-07,9.59092290031549e-07
1872,1.8867699225211254e-07,1.2191436553621315e-06
1873,2.0951016210801754e-07,1.1349465012244764e-06
1874,2.0134433498242288e-07,1.361015961265366e-06
1875,1.5505338524235412e-07,1.3422702522802865e-06
1876,1.7352061831843457e-07,1.2950563359481748e-06
1877,1.595682590505021e-07,1.2227380921103759e-06
1878,1.4554203175976e-07,1.2488835636759177e-06
1879,1.392926094467839e-07,1.3568811709774309e-06
1880,1.4375976320479822e-07,1.2790767414117e-06
1881,1.4084464794450469e-07,1.0458761607878841e-06
1882,1.35104315290846e-07,1.2205975963297533e-06
1883,1.3586578972990537e-07,1.1153633749927394e-06
1884,1.4919835678028903e-07,1.1519961162775871e-06
1885,1.23756208836312e-07,1.1054265769416816e-06
1886,1.1809839151055712e-07,1.2029256595269544e-06
1887,1.3841319912444305e-07,1.1588841744014644e-06
1888,1.4583413587843097e-07,1.122288836086227e-06
1889,1.1026640578393199e-07,1.142760993388947e-06
1890,1.1601264304772485e-07,1.128665303440357e-06
1891,9.880041318410804e-08,1.2640077784453752e-06
1892,9.402768341715273e-08,1.1145415328428498e-06
1893,1.0592476229476233e-07,1.2747922255584854e-06
1894,1.0838647312993999e-07,1.082604399016418e-06
1895,1.053257534522345e-07,1.1983061085629743e-06
1896,1.0260830407560206e-07,1.0437740911584115e-06
1897,1.1653427378632841e-07,1.223027197738702e-06
1898,9.788954002942774e-08,1.1446851431173855e-06
1899,1.16079149847792e-07,1.2365193242658279e-06
1900,9.499627395825883e-08,1.222492983288248e-06
1901,1.0227392266415336e-07,1.3340319355847896e-06
1902,8.592996891820803e-08,1.2678352732109488e-06
1903,9.666394618079721e-08,1.4186379075908917e-06
1904,9.728071859171905e-08,1.1915543609575252e-06
1905,1.0063480004873782e-07,1.318057911703363e-06
1906,9.46529965517584e-08,1.2608396673385869e-06
1907,1.0799971050801105e-07,1.182339701699675e-06
1908,8.202020040926072e-08,1.040723304868152e-06
1909,1.0176819387197611e-07,1.224518996423285e-06
1910,8.9247315315788e-08,1.1901423704330227e-06
1911,8.672209617088811e-08,1.29763930090121e-06
1912,1.1512820918824218e-07,1.2908946018796996e-06
1913,1.219687675302339e-07,1.4259738918553921e-06
1914,1.0915692172375202e-07,1.3708233836950967e-06
1915,8.364340686739524e-08,1.1238846582273254e-06
1916,1.2086208300843282e-07,1.1723622037607129e-06
1917,8.444146715191891e-08,1.1317349617456784e-06
1918,1.297960494639483e-07,1.1486375797176152e-06
1919,9.852397653276057e-08,1.4668102039649966e-06
1920,7.117898093156327e-08,1.4394812524187728e-06
1921,8.102839643697735e-08,1.5365104673037422e-06
1922,1.0181550891275037e-07,1.5309216223613475e-06
1923,6.688047449188161e-08,1.5053414017529576e-06
1924,7.734974616369072e-08,1.5534407111772452e-06
1925,9.788378463326808e-08,1.5771387325003161e-06
1926,7.57937428375044e-08,1.6518577012902824e-06
1927,6.243566019747959e-08,1.5876496490818681e-06
1928,6.627104198742018e-08,1.3825509768139455e-06
1929,5.904415445456834e-08,1.5184374433374614e-06
1930,7.352522146675255e-08,1.5566340607620077e-06
1931,6.386999729102172e-08,1.5043665371194948e-06
1932,6.24693612394367e-08,1.3502149158739485e-06
1933,4.7029715233293246e-08,1.3994207392897806e-06
1934,5.152079296522061e-08,1.4833195791652543e-06
1935,4.188899538348778e-08,1.2830000741814729e-06
1936,6.547345776652946e-08,1.528926532046171e-06
1937,5.791914503561202e-08,1.4630879832111532e-06
1938,5.4453899167583586e-08,1.4326561768029933e-06
1939,8.717609034647467e-08,1.8490507045498816e-06
1940,5.325144059042941e-08,3.6084190924157156e-06
1941,3.836953510472085e-08,2.4615530946903164e-06
1942,6.068423630267716e-08,2.3848904220358236e-06
1943,5.516146828199453e-08,2.0090387806703802e-06
1944,9.639558129492798e-08,1.9311248706799233e-06
1945,7.84261473540937e-08,1.6556630271225004e-06
1946,6.682130049284751e-08,1.5689084875702974e-06
1947,4.4107220986688844e-08,1.4173915587889496e-06
1948,6.631851334759631e-08,1.5731621942904894e-06
1949,5.3011845579931105e-08,1.684598601059406e-06
1950,2.7651939404904624e-08,1.8026937596005155e-06
1951,4.904244832459881e-08,1.7175518678413937e-06
1952,6.115985939914026e-08,2.031983740380383e-06
1953,6.141081598798337e-08,1.9532949409040157e-06
1954,4.202190595492539e-08,1.8978265643454506e-06
1955,4.035811329572425e-08,1.6415427808169625e-06
1956,5.319896345667985e-08,1.8401608485874021e-06
1957,4.8592706747285774e-08,1.9322228581586387e-06
1958,4.1361218450219894e-08,1.9729300220205914e-06
1959,5.348016074435691e-08,2.408157342870254e-06
