year,plus_ADV été_VERB,plus_ADV eté_VERB,plus_ADV fêté_VERB
1800,1.4683248537039617e-06,3.144164484325529e-09,2.5153315874604232e-08
1801,1.4930014913261402e-06,0.0,7.143547975374531e-09
1802,1.1524876981638954e-06,2.2378401354217203e-09,6.713520406265161e-09
1803,1.3164790289010853e-06,0.0,0.0
1804,1.421314323124534e-06,0.0,0.0
1805,1.6232831967499806e-06,0.0,2.842877711017877e-09
1806,1.2218276879139012e-06,0.0,2.881669125542885e-08
1807,1.71956094163761e-06,0.0,0.0
1808,1.370974814562942e-06,1.3596443970698147e-08,2.2660739951163578e-09
1809,1.4728879023095942e-06,0.0,4.518061036407062e-09
1810,1.5912861499600695e-06,0.0,1.4040760554223652e-08
1811,1.01035197985766e-06,2.5070767684098882e-09,1.0028307073639553e-08
1812,1.72835098055657e-06,0.0,0.0
1813,1.653551407798659e-06,2.8757416448144113e-09,5.751483289628823e-09
1814,1.7149390032500378e-06,3.1466771410748606e-09,3.1466771410748606e-09
1815,1.6695813656042446e-06,0.0,0.0
1816,1.4253264453145675e-06,6.952811659743929e-09,9.270415546325239e-09
1817,1.245498765456432e-06,1.556873407970727e-09,2.3353100786493997e-08
1818,1.6558515198994428e-06,9.536941902865692e-09,4.768470951432846e-09
1819,1.4160236787574831e-06,4.140420006848444e-09,1.5526575580793178e-08
1820,1.6470676200697199e-06,0.0,2.0173018810965004e-08
1821,1.5916442634988925e-06,9.86148829262845e-10,8.875339574387908e-09
1822,1.7284162368014222e-06,1.0025615893027862e-09,0.0
1823,1.5328047311413684e-06,9.882686891060644e-10,1.9765373782121287e-09
1824,1.5267477238012361e-06,0.0,1.0105335235266466e-08
1825,1.5717715768914786e-06,3.522177216552791e-09,0.0
1826,1.4189662351782317e-06,1.7615968683770689e-09,1.8496766784892316e-08
1827,1.7098041098506656e-06,6.452091305675367e-09,1.8434546111834038e-09
1828,1.573049644321145e-06,3.668920500743411e-09,5.503380862137419e-09
1829,1.6614815194770927e-06,8.57317605795771e-10,1.8860987438529264e-08
1830,1.5550884882031824e-06,2.0873671680021744e-09,5.218417697960831e-09
