year,vos_DET iles_NOUN,vos_DET fils_NOUN
1800,0.0,3.58434737890434e-07
1801,0.0,2.905042713052808e-07
1802,4.475680270843441e-09,4.1623826518844e-07
1803,0.0,2.3404070415011802e-07
1804,0.0,2.570724930706092e-07
1805,0.0,8.47177531682064e-07
1806,2.881669125542885e-09,3.544452953363475e-07
1807,0.0,4.498189021262533e-07
1808,0.0,2.2887347128630608e-07
1809,0.0,2.2590305803760202e-07
1810,2.3401267590372754e-09,3.299578663629177e-07
1811,0.0,2.4820060140484657e-07
1812,0.0,1.2002436999836164e-07
1813,2.8757416448144113e-09,2.530652616350437e-07
1814,0.0,9.062430113004893e-07
1815,0.0,4.5583077934452376e-07
1816,0.0,2.5261881297922173e-07
1817,0.0,4.2191268789792957e-07
1818,0.0,3.111427329116623e-07
1819,3.1053151161586356e-09,3.6642716771950745e-07
1820,0.0,4.1888677682067055e-07
1821,9.86148829262845e-10,6.863595682915502e-07
1822,3.0076847679083585e-09,5.193269174696979e-07
1823,9.882686891060644e-10,3.518236475485992e-07
1824,8.421112696055388e-10,4.2526620092075973e-07
1825,1.7610886082763955e-09,4.5876358001351036e-07
1826,8.807984341885344e-10,4.025248827588257e-07
1827,0.0,3.382739102164578e-07
1828,1.8344602503717056e-09,4.3660153181690475e-07
1829,1.714635211591542e-09,3.437843645315297e-07
1830,2.0873671680021744e-09,3.819881815303461e-07
1831,1.5591206103948707e-09,4.3967200369365855e-07
1832,1.3529969367098715e-09,4.74901932889793e-07
1833,0.0,5.004127494601107e-07
1834,1.8669061851994684e-09,4.788614358375298e-07
1835,7.563087933704082e-10,4.61348363955949e-07
1836,3.36037508930076e-09,3.4611864130340564e-07
1837,2.0873671680021744e-09,4.4043448355068904e-07
1838,1.2624323808552163e-09,4.753057805118033e-07
1839,4.1948851059459e-09,3.607601186672582e-07
1840,4.4587821212971335e-09,4.019273642796861e-07
1841,1.926164561183441e-09,4.667738942032429e-07
1842,4.024959032733477e-09,4.1054583377331255e-07
1843,4.1348376944583265e-09,4.406555653702071e-07
1844,1.6465683816413446e-09,4.0834894932118004e-07
1845,5.5802281129224696e-09,4.3581581010698756e-07
1846,5.854501328173001e-10,4.115714489216771e-07
1847,4.314578916364553e-09,3.710537752610321e-07
1848,0.0,3.8858421902432383e-07
1849,8.379414939696517e-10,3.041727509867087e-07
1850,7.467895635215882e-09,3.66605782176066e-07
1851,0.0,3.424651922045996e-07
1852,1.3021090872200602e-09,4.668060995527412e-07
1853,1.7915795513800958e-09,3.672738202453729e-07
1854,4.67609800880453e-09,3.751269836982374e-07
1855,4.2455496895854594e-09,5.030976275577359e-07
1856,3.106313539724681e-09,4.0692707869993683e-07
1857,0.0,4.0467709006009045e-07
1858,1.4681028059904122e-09,4.7028226113354776e-07
1859,2.036869339860914e-09,4.7357212018539485e-07
1860,9.154367819341758e-10,5.616204532543634e-07
1861,3.301174722469824e-09,5.503529880712676e-07
1862,4.0661876643532935e-09,4.2469070749007187e-07
1863,3.496234690647526e-09,4.015675081348036e-07
1864,2.397363974004918e-09,4.540607285719034e-07
1865,5.648213119435752e-09,4.6597758895927655e-07
1866,9.731225825149181e-10,5.045640492085113e-07
1867,4.85281148598915e-10,4.032686220512005e-07
1868,4.93987406535723e-10,4.0506968090880946e-07
1869,9.767038289254515e-10,4.219360647539361e-07
1870,1.1468097582678638e-09,4.2259940613575964e-07
1871,0.0,6.372706096158254e-07
1872,0.0,5.956629038905703e-07
1873,5.986004469882289e-10,3.956748884093031e-07
1874,0.0,3.0410761020505106e-07
1875,3.4329162845736505e-09,3.7018279464007264e-07
1876,1.813804439976252e-09,4.2745325679049984e-07
1877,3.710889595609501e-09,3.6985198903494165e-07
1878,2.4156354694326865e-09,3.61741399501625e-07
1879,1.221865053580018e-09,5.30900342354812e-07
1880,0.0,3.0548947549391414e-07
1881,2.789003084036068e-09,3.381666129342875e-07
1882,1.3310770263785798e-09,2.8817816399850926e-07
1883,1.8958017378167824e-09,2.8437025179073316e-07
1884,6.601696966868076e-10,2.8717380651244184e-07
1885,1.2891271383708158e-09,3.0810139328707464e-07
1886,1.2906927748801422e-09,3.646207034080362e-07
1887,2.6115699047757346e-09,3.205702059361215e-07
1888,0.0,3.309801002160384e-07
1889,1.2530273485467092e-09,3.7340214653625026e-07
1890,1.9663159434024635e-09,3.4148352945351235e-07
1891,3.187110020341777e-09,2.8110311411921884e-07
1892,3.1342561879199593e-09,2.5512844281649905e-07
1893,1.2316833108982905e-09,2.8205548296966754e-07
1894,5.671385583383426e-09,2.407187977837566e-07
1895,1.8055843487019274e-09,2.353278194533459e-07
1896,4.1279202278587945e-09,2.341120506343941e-07
1897,0.0,2.8143027286375855e-07
1898,0.0,2.9593196515520503e-07
1899,2.2110313580014918e-09,3.554232961278103e-07
1900,1.038210628578895e-09,2.2061976068243894e-07
1901,2.235495566438317e-09,2.5205211962031626e-07
1902,4.910283846193408e-10,2.469872679711216e-07
1903,2.1600881083827517e-09,3.018723120362665e-07
1904,5.374625189347171e-10,2.54757238415948e-07
1905,5.160759042333041e-10,2.1004289818549182e-07
1906,0.0,3.1893943130967273e-07
1907,2.057137349353866e-09,2.4428505795981437e-07
1908,4.911389073214423e-10,2.735643835904966e-07
1909,1.1001967115120692e-09,2.8220045855675835e-07
1910,0.0,2.8056789780350755e-07
1911,0.0,2.8144780550576343e-07
1912,2.0837684910901544e-09,2.688061213618198e-07
1913,5.30298971401777e-10,3.1817937262701435e-07
1914,0.0,3.348371766520586e-07
1915,0.0,5.478054205809713e-07
1916,2.197492410260793e-09,5.065219887967487e-07
1917,1.0966424435210342e-09,5.417413611041866e-07
1918,0.0,5.766160704467893e-07
1919,9.207848372660976e-10,4.4658065334601815e-07
1920,3.786115865267448e-09,3.536232124901062e-07
1921,3.0290989716519334e-09,3.248708555503299e-07
1922,2.951174193910333e-09,2.626545061445995e-07
1923,0.0,2.4204362070179286e-07
1924,5.156649773851996e-09,3.210014614118961e-07
1925,1.0998177923937646e-09,2.837529784471826e-07
1926,1.1146138456652466e-09,2.418711986251765e-07
1927,0.0,2.7873061192451587e-07
1928,0.0,2.045261364713724e-07
