year,ils_PRON eurent_VERB,ils_PRON furent_VERB
1800,4.137720452490612e-06,1.668922550379648e-05
1801,4.2480297679503565e-06,1.771123652360984e-05
1802,4.3458855998324e-06,1.753795322656515e-05
1803,5.1625480637085275e-06,1.8773965166474227e-05
1804,4.24663994635921e-06,1.4937395008018939e-05
1805,4.602618901117239e-06,1.7765142729331274e-05
1806,4.0545083948018146e-06,1.694709590083221e-05
1807,4.429862087818037e-06,1.951018384716008e-05
1808,5.064675406174501e-06,1.989839574889629e-05
1809,5.301944497659861e-06,2.2423136215365957e-05
1810,4.743436988974281e-06,1.6177296402020147e-05
1811,5.665993398906721e-06,2.081625825667288e-05
1812,4.3155429807484325e-06,1.7931641423274414e-05
1813,3.603304378430039e-06,1.542547784083581e-05
1814,5.154256996320328e-06,2.0953723378625e-05
1815,4.757902274832304e-06,1.979492435566499e-05
1816,4.065077177983767e-06,1.577361240379105e-05
1817,4.796726898348425e-06,1.9440678443061188e-05
1818,5.511160338755872e-06,2.2366512439475628e-05
1819,5.929081339672848e-06,2.362316581638879e-05
1820,5.7540564739611e-06,2.4018945168791106e-05
1821,5.337037350727769e-06,2.178895783799817e-05
1822,4.989749072592531e-06,2.330153620277997e-05
1823,5.807066827401286e-06,2.592129976619617e-05
1824,8.504481684212806e-06,3.144106676700176e-05
1825,7.138572868825577e-06,2.83376775769284e-05
1826,7.0851427835805225e-06,3.1004105039755814e-05
1827,4.961658191859897e-06,2.2769429506297456e-05
1828,4.873243597103283e-06,2.184200093324762e-05
1829,4.842987209485727e-06,2.0384440176712815e-05
1830,4.858347097069782e-06,2.0133699308644282e-05
1831,4.203389266876911e-06,1.8296280131835374e-05
1832,3.768096405565302e-06,1.7800027990233502e-05
1833,4.546574245978263e-06,1.843534505496791e-05
1834,4.259346610524517e-06,1.835915577430569e-05
1835,6.061058911654982e-06,2.282539935549721e-05
1836,6.356485641845211e-06,2.559060021667392e-05
1837,5.1050046749878675e-06,2.2473291437563603e-05
1838,6.2660832327310345e-06,2.703625204958371e-05
1839,4.557742613542359e-06,2.052277613984188e-05
1840,5.511054496309953e-06,2.3204776425700402e-05
1841,4.109151177544845e-06,1.8221516938865534e-05
1842,4.629373734132969e-06,2.028176777457702e-05
1843,4.424276426107099e-06,1.766343575582141e-05
1844,4.709185589035769e-06,1.9998121160824667e-05
1845,4.188519255876599e-06,1.6439351838926086e-05
1846,4.2796405068656895e-06,1.7256142882615677e-05
1847,4.252017561157118e-06,1.711647428237484e-05
1848,3.6396582459019555e-06,1.625858863008034e-05
1849,3.771574711208814e-06,1.4529905229210272e-05
1850,4.560168690659339e-06,1.7622197447053622e-05
1851,3.7922699789305625e-06,1.7341895727440715e-05
1852,3.6693434708467976e-06,1.4377888874150813e-05
1853,4.182143868547428e-06,1.5901463257250725e-05
1854,4.0276789832205395e-06,1.6454149772471283e-05
1855,3.466491250492254e-06,1.539224081170687e-05
1856,3.7570862900793145e-06,1.5159845588641474e-05
1857,4.078988922628923e-06,1.5898587207630044e-05
1858,3.626703346526483e-06,1.4950669537938666e-05
1859,3.900604724549339e-06,1.5153289041336393e-05
1860,3.6054478300684423e-06,1.4585654071197496e-05
1861,3.5577229482441908e-06,1.3617816875921562e-05
1862,3.559721449164499e-06,1.3715702607441926e-05
1863,3.6136081007498433e-06,1.36887570079125e-05
1864,3.66988473388119e-06,1.2778908740074257e-05
1865,3.5776724303104857e-06,1.3487462638295256e-05
1866,3.6331530850475247e-06,1.3783308304482489e-05
1867,3.6454320593293232e-06,1.2838597740483237e-05
1868,3.3591144301681197e-06,1.2175307574580074e-05
1869,3.3080958132813976e-06,1.2091104963474208e-05
1870,3.4163463737968414e-06,1.2858603895438137e-05
1871,3.0323460009640257e-06,1.2256838090252131e-05
1872,3.3804627150857414e-06,1.2795565453416202e-05
1873,2.9247617021610495e-06,1.1077699809902697e-05
1874,3.2017930493566382e-06,1.1600301604630658e-05
1875,3.1262424045053194e-06,1.1657612049020827e-05
1876,3.130021809738537e-06,1.082115750250523e-05
1877,3.320627683933708e-06,1.1744347375497455e-05
1878,3.317271477953909e-06,1.2512992043411941e-05
1879,3.588006791233056e-06,1.2816753496736055e-05
1880,3.019596647391154e-06,1.0880816489589051e-05
1881,2.941003629075567e-06,1.1338692047502263e-05
1882,3.0900952765477996e-06,1.1260246310484945e-05
1883,2.7811409495370754e-06,1.0727709650382167e-05
1884,2.9641619221365545e-06,1.0992486068062135e-05
1885,2.981751038078073e-06,1.0381341326137772e-05
1886,2.796285855310998e-06,1.1081888487751712e-05
1887,2.6481318400328746e-06,9.27825499275059e-06
1888,2.7867001790582435e-06,1.0204585578321712e-05
1889,2.7290935236123914e-06,1.0357524161008769e-05
1890,2.5267159458053357e-06,9.040465329235303e-06
1891,2.376309282681177e-06,8.168563113031269e-06
1892,2.483584580659226e-06,9.240413874067599e-06
1893,2.5963883558688394e-06,9.338006975667668e-06
1894,2.675633709259273e-06,9.309263987233862e-06
1895,2.8016649480377964e-06,9.797100801733905e-06
1896,2.7739623646994005e-06,9.272488341593998e-06
1897,2.454211710301024e-06,9.095499763134285e-06
1898,2.8365332696012047e-06,8.776108643360203e-06
1899,2.4641944946779404e-06,8.978998266684357e-06
1900,2.5716476557136048e-06,9.084343219001312e-06
1901,2.631737174851878e-06,8.939188091972028e-06
1902,2.3426964048667287e-06,7.57902296300017e-06
1903,2.4938217393355444e-06,8.885522447599215e-06
1904,2.32989998494304e-06,8.569302281102864e-06
1905,2.43433004243343e-06,8.3671386619244e-06
1906,2.4650931891301298e-06,8.362386324733961e-06
