year,ses_DET oeufs_NOUN,ses_DET feux_NOUN
1800,6.854278495893595e-07,2.1506084308953177e-06
1801,8.619880809135338e-07,2.3383213516581236e-06
1802,9.264658160645922e-07,1.978250566025963e-06
1803,3.2453644394081493e-06,2.2799465142497866e-06
1804,7.34139717906146e-07,2.47926645613461e-06
1805,2.3311597452391197e-07,2.442031870941719e-06
1806,7.780506727783632e-08,2.1036185664513596e-06
1807,1.822051274302794e-07,1.7053261061050762e-06
1808,1.7448769229488903e-07,2.0485309661921747e-06
1809,1.0165637065462363e-07,1.6762006840309596e-06
1810,1.4976810946976116e-07,2.3728886446860997e-06
1811,7.521230127593981e-08,2.5321474481643236e-06
1812,5.067695596494559e-08,1.643000295814545e-06
1813,8.339650969801937e-08,1.8117171975973179e-06
1814,1.3530711440168375e-07,1.189443984195293e-06
1815,5.39444717784221e-08,9.844866184494094e-07
1816,1.8309069993449612e-07,8.528782124983536e-07
1817,2.2263290322399598e-07,1.533520324059623e-06
1818,3.0041366372302036e-07,1.7297628005508159e-06
1819,2.3910925150971707e-07,1.433620436586125e-06
1820,4.9839219862235495e-08,1.4607638476604734e-06
1821,5.0293590514449704e-08,1.2977718260032134e-06
1822,6.015369535816717e-08,1.4867988369360319e-06
1823,7.016707892493201e-08,1.315385663502866e-06
1824,7.831634896149353e-08,1.911592605097212e-06
1825,5.1952114388242876e-08,1.9882690551753512e-06
1826,9.7768624973682e-08,1.5722252619809751e-06
1827,7.558163755971847e-08,1.0516908766078359e-06
1828,6.51233389437067e-08,1.3070528872560772e-06
1829,5.3153690893203986e-08,1.2456825135842564e-06
1830,7.723258477199124e-08,1.2294593147998967e-06
1831,3.741889442743229e-08,1.0383742932162932e-06
1832,4.0589908545385356e-08,1.3151130069388728e-06
1833,2.89590715851773e-08,1.5823236445555722e-06
1834,4.947301368574131e-08,1.3124349997895024e-06
1835,4.0840674842002045e-08,9.726131224851997e-07
1836,6.048675027514605e-08,9.610672826454447e-07
1837,5.635891620059397e-08,9.288784141858741e-07
1838,5.7440673995046154e-08,1.1494447242910155e-06
1839,5.663094793106893e-08,7.613716732635112e-07
1840,3.3759350426265655e-08,1.0204241736033737e-06
