year,trois_DET os_NOUN,trois_DET fosses_NOUN
1800,1.1004575384276905e-07,3.772997558826319e-08
1801,6.667310969987739e-08,4.7623651688866175e-09
1802,6.937304419807333e-08,4.4756802708434407e-08
1803,1.5212645632090016e-07,4.095712213825209e-08
1804,1.829169640199524e-07,1.4831105232815389e-08
1805,3.9800288575975173e-07,5.685755510853596e-08
1806,5.76333825108577e-09,0.0
1807,8.825561081948763e-08,1.4234775136401367e-08
1808,6.571614763473121e-08,0.0
1809,6.325285539787728e-08,1.581321384946932e-08
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,2.2563691359778204e-08,1.2535384286138651e-08
1812,1.6803411284627146e-07,0.0
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,3.776012391654149e-08,0.0
1815,6.74305908887618e-08,1.3486118000116676e-08
1816,8.1116134253989e-08,1.1588019432906549e-08
1817,1.0431051578052575e-07,7.628679554727569e-08
1818,1.0729059818359588e-07,5.960588467246453e-09
1819,9.937007838800582e-08,2.173720581311045e-08
1820,8.42520151422832e-08,2.3732962262101864e-09
1821,2.6626018723163725e-08,6.903041693817613e-09
1822,9.42407893944619e-08,1.9048670196752937e-08
1823,6.621399961659336e-08,8.894418535021487e-09
1824,1.1621135520556436e-07,2.105278085196005e-08
1825,1.4264818393172618e-07,1.7610886970942374e-08
1826,3.611273668990833e-08,7.0463874735082754e-09
1827,7.742509333663605e-08,4.608636583469661e-09
1828,1.5134297370877903e-07,7.337841001486822e-09
1829,1.1659519572049248e-07,5.143905745796928e-09
1830,3.965997530386289e-08,7.305785310052215e-09
1831,1.2784789227282545e-07,1.4032085715598441e-08
1832,2.7059938512152826e-08,2.841293600397421e-08
1833,8.571884890784531e-08,2.6642345218874652e-08
1834,8.774459114846422e-08,1.4001796166951408e-08
1835,2.1479169731719594e-07,2.7983425354705105e-08
1836,1.3575915458474697e-07,1.949017514046858e-08
1837,1.5655253982060913e-07,5.0792603012439486e-08
1838,7.953323777343257e-08,1.009945904684173e-08
1839,8.809258578157397e-08,6.9914749545318955e-09
1840,5.095751021144679e-08,1.4013314952876499e-08
1841,1.0979138354016982e-07,1.3483152372373297e-08
1842,5.634942823462552e-08,1.0733224087289273e-08
1843,5.139012526633735e-08,1.4176586349279319e-08
1844,3.8419929682120824e-08,1.3172547497219966e-08
1845,8.314539368114993e-08,1.674068350610014e-08
1846,4.8592360579746696e-08,1.3465353276842507e-08
1847,3.829188877091383e-08,1.0247124926365814e-08
1848,6.59708183636809e-08,1.3676876742252375e-08
1849,9.971503645012092e-08,1.1731181359664333e-08
1850,3.1229380859087996e-08,7.467895635215882e-09
1851,3.740674348051698e-08,3.611685728266423e-08
1852,6.250123618656289e-08,7.812654523320361e-09
1853,7.942669588700824e-08,2.6276499198729653e-08
1854,1.0183502574534486e-07,1.9223959313308114e-08
1855,5.890700194299825e-08,1.2205955357558196e-08
1856,3.054541686253742e-08,1.0872097000458325e-08
1857,3.7099467942169895e-08,1.8549734193129552e-08
1858,3.229826006645453e-08,9.297984604472731e-09
1859,3.56452136696106e-08,2.2405561850291633e-08
1860,2.746310379109218e-08,4.119465657481669e-09
1861,2.6409396891580172e-08,8.960331421281609e-09
1862,3.569209305887e-08,1.2650361869148696e-08
1863,1.3485476402230745e-08,8.490855130105501e-09
1864,8.198984446927682e-08,3.3563097190381086e-08
1865,5.459939567131755e-08,1.7886009118228685e-08
1866,7.29841911351059e-08,1.0704348740731007e-08
1867,7.715970085087065e-08,1.455843445796745e-08
1868,5.532658997609019e-08,2.81572816174247e-08
1869,8.399653106394567e-08,1.123209392162039e-08
1870,3.555110428266062e-08,5.734048791339319e-09
1871,1.4869647824156118e-07,6.37270636261178e-09
1872,4.898344840853497e-08,1.9351485747165498e-08
1873,5.327543917132971e-08,1.795801407578068e-08
1874,1.0097089209182286e-07,1.852128866941527e-08
1875,4.005068898749187e-08,1.4303817685856757e-08
1876,7.678438684877165e-08,3.627608879952504e-09
1877,6.308512334740612e-08,1.4843558715504912e-08
1878,4.7104892875182713e-08,2.294853729267743e-08
1879,5.8649523682063887e-08,2.1382638326628012e-08
1880,3.273101611966922e-08,3.5298153511220676e-08
1881,4.462404801230946e-08,1.5339516323820135e-08
1882,2.7952617109860967e-08,1.2645231528551903e-08
1883,3.222862687835004e-08,2.5909288936531993e-08
1884,5.017289517184054e-08,1.1883054540362536e-08
1885,7.348024411157894e-08,9.66845359329227e-09
1886,4.71102867272144e-08,1.548831352060631e-08
1887,2.1545451256432813e-08,1.697520390919749e-08
1888,7.228300535899734e-08,2.15580902018786e-08
1889,5.012109455249103e-08,1.628935564212952e-08
1890,4.5225265588033636e-08,7.209825292342487e-09
1891,4.270727416155751e-08,2.5496880495801122e-08
1892,2.5700900740943666e-08,1.3790727004803216e-08
1893,5.5425747658155444e-08,1.4780199342201428e-08
1894,4.537108355684438e-08,1.1972924873759894e-08
1895,5.7176835710492924e-08,2.106515117894503e-08
1896,5.779088296797852e-08,1.2383760683576384e-08
1897,3.321226815788947e-08,1.4566783557157237e-08
1898,4.1305989850748404e-08,2.8857609968291342e-08
1899,2.984892333302014e-08,1.1055156790007459e-08
1900,1.1939421895590385e-08,1.453494835601532e-08
1901,2.626707229502756e-08,6.706486921359556e-09
1902,2.4551419786078554e-08,1.6694965854213706e-08
1903,4.6981915247101824e-08,1.4580594731583574e-08
1904,3.547252624969133e-08,8.061937784020756e-09
1905,1.806265698123255e-08,1.5482277238021425e-08
1906,2.9836270065697335e-08,1.080278771992127e-08
1907,6.068555080673832e-08,2.7257069046271454e-08
1908,3.290630568031361e-08,2.062783388545597e-08
1909,4.7308458483996674e-08,1.8153246017504898e-08
1910,1.870452770447173e-08,1.870452726038252e-08
1911,3.2454281484461944e-08,2.4473721715878582e-08
1912,1.771203250733322e-08,1.1981668990301841e-08
1913,2.0681659718135847e-08,2.7045247430468322e-08
1914,2.4108278040557707e-08,8.036092680185902e-09
1915,3.65203614016707e-08,7.068456930880984e-09
1916,1.3184954461564757e-08,8.789969863087777e-09
1917,2.52227767560953e-08,3.2899273305631027e-09
1918,1.6080926812378493e-08,1.378365155346728e-08
1919,1.4732557396257562e-08,1.1970202606903513e-08
1920,2.953170330499688e-08,3.028892647805037e-08
1921,4.7708307637783776e-08,7.572747540152136e-09
1922,1.9920425309294387e-08,1.6969252114584776e-08
1923,3.1847843473542525e-08,1.4862327368803108e-08
1924,1.4180787211159895e-08,3.867487219366694e-09
1925,1.6497267107951075e-08,6.598906976407193e-09
1926,4.346994098014534e-08,6.687683296036084e-09
1927,1.895368229032357e-08,1.1149224876660924e-08
