year,ces_DET humeurs_NOUN,ces_DET fumeurs_NOUN
1800,4.276063734209856e-07,2.2009151834367913e-08
1801,8.096020991388286e-07,0.0
1802,7.877197276684456e-07,0.0
1803,4.973364928773094e-07,0.0
1804,4.177428181151299e-07,0.0
1805,5.117180021940726e-07,1.1371510844071508e-08
1806,5.042920925291128e-07,2.881669125542885e-09
1807,1.395008073501458e-07,2.8469551160981155e-09
1808,2.4246991081611213e-07,0.0
1809,1.4909601997459276e-07,0.0
1810,2.7379483213962885e-07,2.3401267590372754e-09
1811,1.027901510575191e-07,0.0
1812,3.6007310733054965e-07,2.1337665412346496e-08
1813,2.7894694198948855e-07,0.0
1814,6.041620270735848e-07,0.0
1815,9.817893555919e-07,0.0
1816,6.46611511001538e-07,2.3176038865813098e-09
1817,3.3005716382206174e-07,0.0
1818,1.22907343325096e-06,1.1921177378582115e-09
1819,5.144471799667372e-07,1.035105001712111e-09
1820,6.028172556682421e-07,1.7799721696576398e-08
1821,5.088528234331591e-07,9.86148829262845e-10
1822,1.73443154949382e-07,5.012807946513931e-09
1823,3.2415212203318333e-07,9.882686891060644e-10
1824,4.2610831485490053e-07,1.6842225392110777e-09
1825,1.5673688835704525e-07,0.0
1826,1.3828535116999774e-07,8.807984341885344e-10
1827,1.4747637422374282e-07,0.0
1828,1.751909479708047e-07,0.0
1829,2.3576234564615106e-07,8.57317605795771e-10
1830,1.8264462831041328e-07,1.0436835840010872e-09
1831,3.0246939530798045e-07,1.091384405071949e-08
1832,1.813015853002753e-07,2.841293600397421e-08
1833,1.575373413942316e-07,0.0
1834,1.969586067573914e-07,3.733812370398937e-09
1835,1.9134611761728593e-07,1.2100940693926532e-08
1836,1.9355760016992463e-07,4.704525213838906e-09
1837,3.186714181424577e-07,1.3915781860163179e-09
1838,2.4869917680803155e-07,3.787297142565649e-09
1839,1.594056375786579e-07,2.7965900706306e-09
1840,8.471685664090955e-08,3.1848443882154243e-09
1841,1.9967906084161768e-07,1.926164561183441e-09
1842,2.2606852567719216e-07,3.3541325272778977e-09
1843,1.772073350281289e-07,2.953455480181333e-09
1844,1.4599572928375437e-07,6.586273748609983e-09
1845,1.216489717847935e-07,9.486387508861327e-09
1846,1.4753343791085172e-07,2.9272506640865004e-09
1847,5.55502026600152e-08,0.0
1848,1.5849086310026905e-07,6.43617736884039e-09
1849,1.6675036107471897e-07,0.0
1850,9.436704839771437e-08,6.788996032014438e-10
1851,1.457573119978406e-07,1.2898877521649865e-09
1852,1.5169570133366506e-07,5.859490892490271e-09
1853,2.048372573781876e-07,4.180352064508952e-09
1854,2.353635935037346e-07,5.7152309551611324e-09
1855,2.0803192768426015e-07,2.1227748447927297e-09
1856,1.563511080604485e-07,8.801221973442352e-09
1857,1.1959697099328537e-07,1.3180074809326925e-08
1858,1.228312691559097e-07,8.808616946964776e-09
1859,1.9248415306094557e-07,5.092173349652285e-09
1860,1.5196250369164943e-07,1.2816115363412095e-08
1861,1.3770614026853423e-07,1.1318312787000906e-08
1862,1.2334102539313108e-07,1.8071945329101169e-09
1863,1.493391650342346e-07,3.496234635136375e-09
1864,1.7788440942467787e-07,3.835782358407869e-09
1865,1.4732422393137767e-07,3.2947911621228343e-09
1866,1.2796561854599986e-07,1.80027684426598e-08
1867,3.2416780726407524e-07,2.426405742994575e-09
1868,2.064867388185121e-07,4.44588676984381e-09
1869,1.4162205985712717e-07,7.325278716940886e-09
1870,2.3624281553225046e-07,9.17447806614291e-09
1871,2.389764812704698e-07,4.248470908407853e-09
1872,2.062142723247007e-07,7.861540751719076e-09
1873,1.8975634397122576e-07,7.781805755335824e-09
1874,2.467513660064924e-07,3.5847653734322193e-09
1875,9.268874023860008e-08,5.721527251978387e-09
1876,1.4026753980544981e-07,1.2696631079833764e-08
1877,1.1380061515353646e-07,8.040260901509555e-09
1878,9.179415094706656e-08,4.831270938865373e-09
1879,1.0691319118905085e-07,9.16398767980553e-09
1880,9.241698428752443e-08,8.343200130767059e-09
1881,9.343159890207176e-08,1.2550513517339823e-08
1882,1.0848277920416649e-07,6.655385131892899e-09
1883,9.605395456802057e-08,7.58320695126713e-09
1884,6.799748142327644e-08,8.582206056928499e-09
1885,5.9299847254834503e-08,1.160214413431504e-08
1886,8.195899336982393e-08,9.034849313138693e-09
1887,6.52892468977484e-08,8.4876022321545e-09
1888,6.023583942749156e-08,8.242798887891922e-09
1889,4.636201111907212e-08,5.012109394186837e-09
1890,7.668632306945256e-08,3.9326319978272295e-09
1891,6.310477962401251e-08,6.3742202627281586e-09
1892,1.0154989737998221e-07,6.268512375839919e-09
1893,9.97663467394716e-08,1.847524977449666e-08
1894,6.049477807579251e-08,6.301539290376468e-09
1895,7.463081619363265e-08,3.0093072478365457e-09
1896,1.2029939266966494e-07,8.845543630897623e-09
1897,1.0080214707386403e-07,5.826713334045053e-09
1898,5.375437051036158e-08,7.355861253444118e-09
1899,7.462230477983667e-08,3.8693048765026106e-09
1900,7.630848353201714e-08,3.1146317747143826e-09
1901,7.321247652569696e-08,3.353243294146324e-09
1902,3.388095920486833e-08,4.419255628107521e-09
1903,3.510143331553195e-08,8.100329962346109e-09
1904,6.01958012325099e-08,1.1286712897629059e-08
1905,4.5414678073729675e-08,3.6125313851442797e-09
1906,7.150416764245549e-08,6.173021205313489e-09
1907,5.1942717682607054e-08,5.65712765521198e-09
1908,6.090122361968042e-08,4.4202499438483756e-09
1909,5.611003039973639e-08,6.0510818578052294e-09
1910,4.275320364399704e-08,3.206490406526541e-09
1911,6.810078656549479e-08,2.128149656499545e-09
1912,6.668059260306336e-08,6.251305251225858e-09
1913,7.15903594183942e-08,1.2727175757731857e-08
1914,6.094036830717187e-08,4.68772043404897e-09
1915,1.7671142660269368e-08,3.534228465440492e-09
