year,livraisons_NOUN in_ADJ
1800,4.087413785214267e-08
1801,0.0
1802,6.265952379180817e-08
1803,2.145373123596528e-08
1804,8.157108055684148e-08
1805,4.8328921309348516e-08
1806,4.034336598124355e-08
1807,5.693910232196231e-09
1808,4.078933102391602e-08
1809,4.518061036407062e-09
1810,1.5444836520828176e-07
1811,2.5070768572277302e-08
1812,3.7340914360584065e-08
1813,3.4508900625951355e-08
1814,6.922689976818219e-08
1815,3.506390555685357e-08
1816,8.57513455798653e-08
1817,2.490997452753163e-08
1818,1.3113295338484932e-08
1819,4.2439304182018134e-08
1820,1.1510486785937246e-07
1821,1.1833785862336299e-07
1822,1.1228689800191205e-07
1823,8.103803139647425e-08
1824,7.410579350164426e-08
1825,4.0505039322624725e-08
1826,5.725189922145546e-08
1827,1.9540618723112857e-07
1828,1.5592911495332373e-07
1829,8.830371589496622e-08
1830,8.349468605395316e-08
1831,9.198811312671751e-08
1832,1.3800568865462992e-07
1833,7.52935847003755e-08
1834,1.1108091779732376e-07
1835,1.0588323107185715e-07
1836,9.812295154176809e-08
1837,1.0506415015765214e-07
1838,8.837026643782053e-08
1839,1.1256275067594856e-07
1840,5.2868414701645605e-08
1841,5.072233477676491e-08
1842,7.379091471193533e-08
1843,7.974330173965427e-08
1844,8.78169785778482e-08
1845,1.9530798117672887e-07
1846,8.781751859032738e-08
1847,8.790954719728461e-08
1848,8.447482713336285e-08
1849,7.792856138166826e-08
1850,6.245876704724651e-08
1851,1.2640900592941762e-07
1852,1.7318050993253564e-07
1853,9.853687288341462e-08
1854,8.988499811124484e-08
1855,1.0295457997244739e-07
1856,1.1493359863834485e-07
1857,1.4644527746021652e-07
1858,1.2919304026581813e-07
1859,9.114989985015143e-08
1860,1.2495712287119431e-07
1861,9.573406600793533e-08
1862,1.856892311025149e-07
1863,1.5932840935484194e-07
1864,1.1123768750564977e-07
1865,9.884373458612927e-08
1866,6.617233339056838e-08
1867,8.73506067478047e-08
1868,1.0324336585654237e-07
1869,7.520619804690654e-08
1870,9.518520904805428e-08
1871,1.0833600727622184e-07
1872,9.736216433076095e-08
1873,8.200826329129995e-08
1874,5.2576561049288983e-08
1875,6.636971505713518e-08
1876,5.139112602137175e-08
1877,4.886004623116946e-08
1878,5.7371342288004e-08
1879,8.308682142299517e-08
1880,5.968597105443507e-08
1881,8.0881088715401e-08
1882,6.788492612486152e-08
1883,8.02556030521373e-08
1884,6.073561298336472e-08
1885,4.7053141827291256e-08
1886,5.2273056327933887e-08
1887,4.1785117588233334e-08
1888,4.3116178405355754e-08
1889,4.1349901724885285e-08
1890,5.440140837809082e-08
1891,5.928024648937935e-08
1892,4.3879587741102455e-08
1893,4.92673315477532e-08
1894,7.498831422481089e-08
1895,4.754705318354979e-08
1896,4.304831291435107e-08
1897,1.6897470089816125e-08
1898,6.67685909894189e-08
1899,3.15071986278781e-08
1900,3.841379481173135e-08
1901,3.1855812265835226e-08
1902,2.7006561986731015e-08
1903,3.456140929003482e-08
1904,2.4723275870996986e-08
1905,1.651442893546573e-08
1906,3.0865106026567446e-08
1907,2.262851062084792e-08
1908,6.532147467375182e-08
1909,2.475442606453271e-08
1910,3.259931868893062e-08
1911,8.51259862599818e-09
1912,3.6986889995205274e-08
1913,1.3787773589513108e-08
1914,1.875088173619588e-08
1915,4.7123048574349014e-08
1916,3.076489463182952e-08
1917,3.618920063619413e-08
1918,3.9053681177847466e-08
1919,1.9336480860943084e-08
1920,1.4387239843927091e-08
1921,2.499006690470651e-08
1922,1.1066903560230656e-08
1923,1.2739137744688378e-08
1924,1.2891624656674594e-08
1925,2.0896537833436923e-08
1926,1.89484357093761e-08
1927,7.804457524684949e-09
1928,2.2852082892654835e-08
1929,7.798284684668033e-09
1930,1.3654684494213143e-08
1931,9.124285327288817e-09
1932,1.2055489939655217e-08
1933,5.735331320977366e-09
1934,1.5576054224197833e-08
1935,6.702239119249498e-08
1936,9.699771652549316e-09
1937,2.5182236296217297e-09
1938,9.075650453382877e-09
1939,1.5294050470515685e-09
1940,0.0
1941,8.854508237732261e-09
1942,0.0
1943,5.806470415592457e-09
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,8.344609447874518e-09
1948,3.370285384107774e-08
1949,7.853606653895895e-09
1950,7.444753258312176e-09
1951,2.0256663901818683e-08
1952,8.435843135146115e-09
1953,8.619061908632375e-09
1954,1.9545072227344917e-09
1955,6.569925492527773e-09
1956,5.232684952005684e-09
1957,3.534015036166238e-08
1958,4.9633461784992505e-09
1959,2.40273188012452e-08
1960,1.6610000486139143e-08
1961,5.55852741612739e-09
1962,1.9025869768540815e-09
1963,3.2330267352165265e-09
1964,6.083968440151466e-09
1965,1.4774516721161035e-08
1966,1.3293779410616935e-08
1967,8.381570104631919e-09
1968,1.1228539403829174e-08
1969,8.175164073476182e-09
1970,9.657322941336588e-09
1971,8.221436087474387e-09
1972,7.69522046084603e-09
1973,1.543697081274331e-08
1974,6.18812873165453e-09
1975,3.998036124386317e-09
1976,3.9994687561772935e-09
1977,7.052138428775834e-09
1978,8.910887139279566e-09
1979,5.266775904289034e-09
1980,5.685150683554241e-10
1981,9.488323904349727e-09
1982,7.449002747961231e-09
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
1985,2.4062232206745193e-09
1986,1.7983456945813714e-09
1987,0.0
1988,1.798966087207532e-09
1989,1.0976244357863152e-09
1990,1.089730194969718e-09
1991,2.9307325455363298e-09
1992,1.1019888335184191e-09
1993,1.661762283333701e-09
1994,1.0549853213248639e-09
1995,3.253470381991974e-09
1996,1.6014276571496566e-09
1997,0.0
1998,3.337690568372409e-09
1999,4.570201106446348e-09
2000,4.418031274155965e-09
2001,0.0
2002,5.6955880012310445e-09
2003,4.1669229178253886e-10
2004,5.726228824443069e-09
2005,1.8014998381943315e-09
2006,8.235779835885637e-10
2007,7.988958938831558e-10
2008,4.257439678578834e-10
2009,4.76819250749827e-10
2010,4.723793023408973e-10
2011,7.64794394481072e-10
2012,1.7021263287730903e-09
2013,2.789125042035323e-10
2014,0.0
2015,4.433150790905671e-10
2016,1.86420612280358e-09
2017,0.0
2018,2.5814667070633845e-10
2019,2.55098775436835e-10
