year,pas_ADV in_ADJ,pas_ADV fine_ADJ
1800,1.9179402954705438e-07,1.5720821977538435e-08
1801,1.1191558257905854e-07,4.0480102825313224e-08
1802,7.832440473976021e-08,3.1329761895904085e-08
1803,7.606323038089613e-08,1.755305234496518e-08
1804,7.662737999680758e-08,8.157108055684148e-08
1805,9.950071699904584e-08,1.1371510844071508e-08
1806,1.7290014397985942e-07,2.881669125542885e-09
1807,1.2811298688575334e-07,5.693910232196231e-09
1808,1.654234011994049e-07,4.5321479902327155e-09
1809,9.487928309681593e-08,3.162642769893864e-08
1810,7.020380365929668e-08,4.212228077449254e-08
1811,7.771937760026049e-08,0.0
1812,8.535066342574282e-08,0.0
1813,1.6104152678053651e-07,2.5881675469463516e-08
1814,7.866692897096073e-08,3.1466771410748606e-09
1815,9.979726911524267e-08,5.394447111228828e-09
1816,1.0197457100957763e-07,9.270415546325239e-09
1817,1.0898114055635233e-07,6.227493631882908e-09
1818,1.0848271614349869e-07,2.2650237241350624e-08
1819,1.1282644862831148e-07,1.449147024601416e-08
1820,1.4595771347103437e-07,2.254631326081835e-08
1821,1.5285306176338054e-07,1.0847637454958203e-08
1822,1.5439448475262907e-07,3.8097340393505874e-08
1823,1.3045146829426812e-07,1.8777104315859106e-08
1824,1.0021123841852386e-07,1.6000115010683658e-08
1825,1.0390422744421812e-07,1.6730341556581152e-08
1826,9.776862697208344e-08,4.403992281964975e-09
1827,1.115290046982409e-07,8.295545583791863e-09
1828,1.2199160437376122e-07,5.503380862137419e-09
1829,1.0716470200122785e-07,2.571952872898464e-09
1830,1.4402833414806082e-07,2.817945699007396e-08
1831,1.216114071667107e-07,1.5591206103948707e-09
1832,1.312406965325863e-07,0.0
1833,1.0888610546544442e-07,1.50587169400751e-08
1834,1.0454674281845655e-07,1.8669061851994684e-09
1835,1.0512692227848675e-07,1.663879345414898e-08
1836,1.1492482343555821e-07,4.704525213838906e-09
1837,8.140732177253085e-08,1.2524203896191466e-08
1838,1.1488134532555705e-07,1.3886756633496589e-08
1839,8.040196775027653e-08,6.292327547896548e-09
1840,1.1274349276391149e-07,5.732719632334238e-09
1841,2.1958275908673386e-07,1.733548060656176e-08
1842,9.056157779241403e-08,1.1404051036834062e-08
1843,1.216823619643037e-07,5.906911071384968e-10
1844,1.108689389184292e-07,4.390849017710252e-09
1845,1.3392546804880112e-07,7.812318791877715e-09
1846,1.1591912851827146e-07,2.9272506640865004e-09
1847,1.1703295399456692e-07,5.3932236454556914e-09
1848,1.0941501216166216e-07,0.0
1849,9.46873868201692e-08,1.256912263158938e-08
1850,1.5071570658165e-07,6.788996032014438e-09
1851,1.7220001780060556e-07,7.094382858952031e-09
1852,1.4192988828654052e-07,6.510545436100301e-09
1853,9.017617230711039e-08,1.7915795513800958e-09
1854,9.248282850649048e-08,3.63696517347023e-09
1855,1.3214273053563375e-07,1.1144567935161831e-08
1856,9.784887566866018e-08,6.73034605824796e-09
1857,1.137391620886774e-07,5.857811125054013e-09
1858,1.0668213690223638e-07,5.3830437884982985e-09
1859,1.303596377510985e-07,5.092173349652285e-09
1860,9.703629899604493e-08,5.034902272882391e-09
1861,1.169559027403011e-07,3.772770984511453e-09
1862,1.206302329137543e-07,9.035972858839614e-09
1863,8.940371287735616e-08,1.7980635647063536e-08
1864,1.0116875870380682e-07,4.794727948009836e-10
1865,1.0119715199152779e-07,7.530950973944073e-09
1866,1.3331779769032437e-07,4.379051787850585e-09
1867,7.861554252031056e-08,8.73506067478047e-09
1868,1.0917121784359551e-07,6.421836395986702e-09
1869,1.1915786757299429e-07,6.348574999037737e-09
1870,1.3073631066617963e-07,2.8670243956696595e-09
1871,1.0939812256083314e-07,4.248470908407853e-09
1872,8.042961496812495e-08,2.4189357183956872e-09
1873,1.1612848993536318e-07,5.9860045809045914e-09
1874,1.1172519265301162e-07,1.1949218281515073e-09
1875,1.035596426390839e-07,1.716458086775674e-09
1876,1.1185127135604489e-07,1.813804439976252e-09
1877,1.3668443443748401e-07,1.4843558382438005e-08
1878,1.0930750704574166e-07,7.850815109122777e-09
1879,9.102894438228759e-08,4.887460214320072e-09
1880,1.1423766466123197e-07,1.0268554007097919e-08
1881,1.0389036475544344e-07,6.972507571312292e-10
1882,7.786800892972678e-08,6.655385131892899e-09
1883,1.2828257922592456e-07,8.21514056781325e-09
1884,9.704494630113913e-08,3.9610181801208455e-09
1885,1.1731057014685575e-07,6.445635691854079e-10
1886,1.064821546492567e-07,6.453463874400711e-10
1887,9.793387079071181e-08,5.223139698529167e-09
1888,1.0588826881985369e-07,6.340614699951175e-10
1889,7.330209683686917e-08,0.0
1890,1.0093755520301784e-07,3.9326319978272295e-09
1891,9.68881437302116e-08,4.461953917456185e-09
1892,8.023695841075096e-08,1.8805537127519756e-09
1893,1.0469307909488634e-07,8.005941687372342e-09
1894,9.452308802337939e-08,7.561847148451761e-09
1895,7.703826554461557e-08,3.0093072478365457e-09
1896,6.958494225273171e-08,1.1794058174530164e-08
1897,7.866063356232189e-08,2.9133566670225264e-09
1898,8.034864151795773e-08,2.8291773368493978e-09
1899,6.246163763989898e-08,2.7637891975018647e-09
1900,8.046132649042192e-08,7.786579381274805e-09
1901,7.600684881481357e-08,5.029864968975062e-09
1902,7.610940144786582e-08,8.838511256215043e-09
1903,8.69435439199151e-08,7.560307935250421e-09
1904,8.653146466031103e-08,4.299700151477737e-09
1905,9.444188719953672e-08,2.580379465655369e-09
1906,8.230695414113143e-08,9.259531807970234e-09
1907,7.662836765121028e-08,1.028568674676933e-09
1908,9.626322849953795e-08,5.893666887857307e-09
1909,9.076622831116765e-08,6.0510818578052294e-09
1910,6.62674679574593e-08,6.947395991829808e-09
1911,8.140172269577306e-08,6.384448969498635e-09
1912,9.63742934345646e-08,1.1460726589973547e-08
1913,6.946916641936696e-08,1.590896969716482e-09
1914,1.0848724940615284e-07,4.68772043404897e-09
1915,8.835571208010151e-08,1.5314990164938536e-08
1916,9.778841558727436e-08,2.197492321442951e-08
1917,8.005489604556715e-08,3.070598708632133e-08
1918,7.466144325007917e-08,1.033773866510046e-08
1919,8.194984957299312e-08,1.1970202606903513e-08
1920,6.209229752585088e-08,1.2872794385998532e-08
1921,7.572747762196741e-08,2.2718242842501013e-09
1922,7.968170478989123e-08,8.115729421831475e-09
1923,1.0934426342146253e-07,9.554353752605493e-09
1924,6.703644572780831e-08,2.578324886925998e-09
1925,7.91868828287079e-08,9.898360353588487e-09
1926,1.2929520210036571e-07,6.687683296036084e-09
1927,9.588333682586381e-08,8.919379901328739e-09
1928,7.426926629250374e-08,4.570416489713125e-09
1929,8.689517017046455e-08,1.4482528065684619e-08
1930,7.877702756786675e-08,3.1510811737689437e-09
1931,8.668071416195744e-08,5.7026783295555106e-09
1932,6.24693612394367e-08,4.383814644626227e-09
1933,5.276504566609219e-08,0.0
1934,7.06913212411564e-08,4.7926320689839486e-09
1935,9.694310421082264e-08,9.574627313213568e-09
1936,1.0063513400382362e-07,8.487299751891442e-09
1937,1.0324716726017868e-07,8.813782592653752e-09
1938,7.130867629712156e-08,5.186085783037697e-09
1939,9.635251529971356e-08,6.117620188206274e-09
1940,7.353770570261986e-08,1.5214697057785997e-08
1941,6.198155233505531e-08,0.0
1942,7.58552971547033e-08,3.034211770724937e-09
1943,5.2258233296242906e-08,8.709705845433291e-09
1944,5.7837350908584995e-08,0.0
1945,5.8819608739213436e-08,1.089252066321933e-08
1946,1.238978342144037e-07,4.1763312808029696e-09
1947,9.298279479708071e-08,4.7683483828109274e-09
1948,8.697510622823756e-08,6.523132700664291e-09
1949,6.97007607186606e-08,2.945102384188658e-09
1950,7.444752725405124e-08,6.381216888229346e-09
1951,6.396840745992449e-08,1.5992101864981123e-08
1952,7.592258555177978e-08,1.0544804140977249e-08
1953,7.97263197682696e-08,1.508335856215126e-08
1954,8.502106396690579e-08,8.795282724349818e-09
1955,6.006789021739678e-08,4.6928039232341234e-09
1956,4.971050771018781e-08,8.72114114258693e-09
1957,7.156380377182359e-08,4.417518795207798e-09
1958,6.783239570040678e-08,8.272243334772611e-09
1959,7.285702707804376e-08,2.325224457422337e-09
1960,5.259833457671448e-08,6.920833350854139e-10
1961,6.322824930293791e-08,5.55852741612739e-09
1962,5.834600003140622e-08,6.976152100435229e-09
1963,4.9142006020019835e-08,1.3578711488548834e-08
1964,6.38816644027429e-08,7.909158661334459e-09
1965,6.347570291609372e-08,5.47204326295514e-09
1966,5.649856404943421e-08,1.1078149508847446e-09
1967,6.064312429998608e-08,1.232583901611406e-08
1968,4.177016776907294e-08,1.392338955241712e-08
1969,4.6325929758950224e-08,5.450109252791435e-09
1970,6.116304263059646e-08,5.058597540852361e-09
1971,6.063309143655715e-08,4.624557625731995e-09
1972,4.104117579117883e-08,4.104117490300041e-09
1973,4.2451670623222526e-08,4.410563025913916e-09
1974,4.894247496167736e-08,2.812785782069227e-09
1975,4.6262989883416594e-08,6.8537762132336866e-09
1976,3.370981005446083e-08,2.285410749536254e-09
1977,4.9364967225074e-08,8.22749424145286e-09
1978,5.405938097169383e-08,1.7821774056514528e-09
1979,6.554210330023125e-08,7.607565244427406e-09
1980,4.8892296433677984e-08,8.527726080842513e-09
1981,4.364629191400127e-08,6.325549417596221e-09
