year,sois_VERB utile_ADJ
1800,4.087413785214267e-08
1801,2.3811825844433088e-09
1802,1.5664880947952042e-08
1803,1.5602713787643552e-08
1804,7.4155526164076946e-09
1805,5.685755422035754e-09
1806,1.729001475325731e-08
1807,1.9928686256776018e-08
1808,0.0
1809,1.8072244145628247e-08
1810,1.1700633351097167e-08
1811,1.504245972228091e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,4.768470951432846e-09
1819,5.175524897538253e-09
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,8.894418535021487e-09
1824,3.115811608722652e-08
1825,2.8177417732422327e-08
1826,6.1655889282974385e-09
1827,1.1982455028203276e-08
1828,4.586150570418113e-09
1829,1.5431716349212365e-08
1830,7.305785310052215e-09
1831,1.4032085715598441e-08
1832,1.3529969367098715e-09
1833,3.4750886612755494e-09
1834,6.534171426153534e-09
1835,1.5126175867408165e-09
1836,8.736974699274924e-09
1837,2.435261770017405e-08
1838,5.049729523420865e-09
1839,9.788065469251706e-09
1840,1.592422194107712e-08
1841,1.4767261191650505e-08
1842,1.9453969102301016e-08
1843,4.13483786099178e-09
1844,5.488561161115513e-09
1845,2.2320911785556063e-09
1846,1.3465353276842507e-08
1847,5.9325460100012606e-09
1848,4.02261068899179e-09
1849,2.4300303991253713e-08
1850,6.788996032014438e-09
1851,5.159551008659946e-09
1852,2.6042181744401205e-09
1853,1.7318601441829173e-08
1854,3.117398783558656e-09
1855,2.653468555990912e-09
1856,5.177189232874468e-10
1857,2.9289055625270066e-09
1858,5.872411001917044e-09
1859,1.3748867822016564e-08
1860,5.950338888283113e-09
1861,7.545541969022906e-09
1862,9.939570055905733e-09
1863,3.496234635136375e-09
1864,1.6302075023233442e-08
1865,8.47231973466478e-09
1866,4.865612801552288e-09
1867,1.0190904120577216e-08
1868,1.975949626142892e-09
1869,7.325278605918584e-09
1870,3.4404292748035914e-09
1871,2.0180236148803488e-08
1872,1.269941218851045e-08
1873,4.788803575905831e-09
1874,4.182226565063729e-09
1875,5.149374260327022e-09
1876,6.650616057868319e-09
1877,2.4739263970730008e-09
1878,6.6429977074733415e-09
1879,6.720257683667796e-09
1880,6.417846254436199e-09
1881,2.7890030285249168e-09
1882,6.655385131892899e-09
1883,5.055471263837319e-09
1884,5.281357573494461e-09
1885,8.379326565943757e-09
1886,1.936039106809062e-09
1887,6.528924567650307e-09
1888,7.60873763994141e-09
1889,5.012109283164534e-09
1890,1.3108772733971819e-08
1891,1.466070642663908e-08
1892,1.2537024751679837e-09
1893,9.853466487186324e-09
1894,8.192000855444803e-09
1895,6.018614495673091e-10
1896,2.948514543632541e-09
1897,1.7480140668268973e-09
1898,3.960848538042683e-09
1899,4.4220627160029835e-09
1900,0.0
1901,0.0
1902,6.383369222096036e-09
1903,3.7801539676252105e-09
1904,3.2247751136083025e-09
1905,5.160759042333041e-10
1906,6.6874399351490865e-09
1907,3.0857059130084963e-09
1908,1.4734167219643268e-09
1909,3.850688656825696e-09
1910,6.94739610285211e-09
1911,1.0108710868372839e-08
1912,8.856015920599702e-09
1913,3.181793939432964e-09
1914,0.0
1915,0.0
1916,0.0
1917,1.2063066989753679e-08
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,3.028892692213958e-09
1921,1.1359121643295111e-08
1922,3.6889677978990676e-09
1923,1.0615948120573648e-09
1924,1.1602462102189293e-08
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,7.804457524684949e-09
1928,1.2568645679778001e-08
1929,4.4561625500705304e-09
1930,6.302162347537887e-09
1931,0.0
1932,5.4797681947604815e-09
1933,3.4411986593596566e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,0.0
1937,2.5182236296217297e-09
1938,1.0372171566075394e-08
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,0.0
1945,8.714016175304096e-09
1946,8.352662561605939e-09
1947,8.344609447874518e-09
1948,5.435944139264848e-09
1949,9.817008539414473e-09
1950,6.381216888229346e-09
1951,7.462981344019681e-09
1952,8.435843024123812e-09
1953,1.0773827385790469e-09
1954,3.9090144454689835e-09
1955,7.508486277174597e-09
1956,6.976913269340912e-09
1957,4.417518795207798e-09
1958,1.6544486891589827e-09
1959,2.325224457422337e-09
1960,2.7683333403416555e-09
1961,3.47407969059077e-09
1962,6.976152100435229e-09
1963,6.466053470433053e-09
1964,6.6923653285755336e-09
1965,1.0944086747954884e-09
1966,1.1078149952936656e-08
1967,3.944268467392931e-09
1968,4.042274071025531e-09
1969,7.72098829315837e-09
1970,2.7592350626548523e-09
1971,4.624557625731995e-09
1972,2.565073486948677e-09
1973,5.513203726881244e-09
1974,2.8127858375803783e-09
1975,2.8557400888473694e-09
1976,5.713526984862938e-09
1977,1.7630346071939584e-09
1978,3.5643548113029055e-09
1979,3.511183899185255e-09
1980,5.116635559687666e-09
1981,1.2651099057237047e-09
1982,2.483000915987077e-09
1983,2.5261264191556165e-09
1984,2.8995041922996734e-09
1985,1.8046674155058895e-09
1986,3.5966913891627428e-09
1987,7.332980112018106e-09
1988,6.596209356501959e-09
1989,1.6464366536794728e-09
1990,1.089730194969718e-09
1991,2.344586080837985e-09
1992,2.2039776670368383e-09
1993,7.75489034099408e-09
1994,3.1649559639745917e-09
1995,1.084490158786977e-08
1996,3.736664311304594e-09
1997,4.315404922294874e-09
1998,4.7681290027412615e-09
1999,5.484241505371301e-09
2000,3.97622823555821e-09
2001,4.381211921034023e-09
2002,1.752488598683044e-09
2003,4.166923084358842e-09
2004,3.9643121285681815e-09
2005,1.3511248786457486e-09
2006,4.941467846020231e-09
2007,3.994479413904628e-09
2008,4.257439734089985e-09
2009,2.860915504498962e-09
2010,3.30665506087513e-09
2011,6.500752380844688e-09
2012,1.2936160587173617e-08
2013,1.1714325509615264e-08
2014,1.2559582152071869e-08
2015,1.0639561565106703e-08
2016,1.0356700663738394e-08
2017,9.810884549210641e-09
2018,1.1100306451794495e-08
2019,1.1479445283235634e-08
