year,toiles_NOUN fines_ADJ
1800,1.980823611802407e-07
1801,2.5954890503498973e-07
1802,1.2979472785445978e-07
1803,3.6861410990240984e-07
1804,2.125791809248767e-07
1805,1.9331568523739406e-07
1806,1.498467980809437e-07
1807,1.366538526781369e-07
1808,2.4473599102847743e-07
1809,1.8298147441697665e-07
1810,2.667744607443012e-07
1811,1.1281845502253418e-07
1812,3.5207148663118915e-07
1813,1.6391727797326894e-07
1814,7.866692897096073e-08
1815,4.855002422310406e-08
1816,7.879853569647821e-08
1817,5.293369653713853e-08
1818,8.821671326764147e-08
1819,2.30828421710072e-07
1820,1.1391821885808895e-07
1821,6.705811805840511e-08
1822,1.383534993237845e-07
1823,8.795591099897138e-08
1824,3.705289675082213e-08
1825,4.6668848341369085e-08
1826,8.807984386294265e-08
1827,1.382590966159114e-07
1828,1.1373653530100114e-07
1829,1.5260253471982566e-07
1830,7.514521493945381e-08
1831,7.016043013230444e-08
1832,7.982682170837307e-08
1833,1.0077756940063409e-07
1834,1.1854854164994322e-07
1835,7.109302657681837e-08
1836,6.653542916623678e-08
1837,9.184415716845251e-08
1838,6.312161660027016e-08
1839,1.3353717254194208e-07
1840,9.618230051300358e-08
1841,1.8812207525087388e-07
1842,8.720744570922534e-08
1843,7.265500556741245e-08
1844,1.0153838303494922e-07
1845,6.863680046542697e-08
1846,7.025401771443285e-08
1847,8.521293182184309e-08
1848,9.97607472186246e-08
1849,6.116972883773997e-08
1850,7.943125446274735e-08
1851,1.0835057340230492e-07
1852,2.018269071868417e-07
1853,9.495371910972494e-08
1854,9.092412511790826e-08
1855,1.268357969763656e-07
1856,7.45515271738384e-08
1857,8.347380497930601e-08
1858,7.144767266709096e-08
1859,7.892868425507515e-08
1860,5.4926206916050546e-08
1861,1.2072867061618808e-07
1862,5.466763400296948e-08
1863,1.0238972869558438e-07
1864,2.828889478223573e-08
1865,6.542513336649236e-08
1866,4.2330832616954694e-08
1867,6.64835191344082e-08
1868,1.0373735470636802e-07
1869,4.5905079737451615e-08
1870,7.798306089767948e-08
1871,3.717412155879174e-08
1872,5.563552085696699e-08
1873,5.5669840959282624e-08
1874,4.5407028526067705e-08
1875,3.3757011408397375e-08
1876,7.617978337037812e-08
1877,5.3807898581226254e-08
1878,4.9520527178881224e-08
1879,4.82636690612992e-08
1880,6.931274043608937e-08
1881,7.321133188575857e-08
1882,4.45910792734594e-08
1883,7.899173892766953e-08
1884,3.630933420595284e-08
1885,5.9299846921767596e-08
1886,5.937186853266496e-08
1887,5.941321390423582e-08
1888,3.4239320712003973e-08
1889,5.200063668553412e-08
1890,4.915789997284037e-08
1891,1.1983533809711844e-07
1892,2.883515626272981e-08
1893,3.079208354961338e-08
1894,2.9617234886814003e-08
1895,2.5880042997528108e-08
1896,3.2433658314623415e-08
1897,4.603103542777376e-08
1898,5.6583548513344795e-08
1899,4.8089930260175606e-08
1900,6.64454813392723e-08
1901,6.371162131202368e-08
1902,5.4504149471501506e-08
1903,5.2922158655377416e-08
1904,6.610788716443494e-08
1905,5.418796950040772e-08
1906,5.0927425832014706e-08
1907,3.908561002630151e-08
1908,4.0764530417902733e-08
1909,4.125737562699072e-08
1910,5.504475242279483e-08
1911,6.171633670781773e-08
1912,5.938740166300249e-08
1913,4.9848102090521706e-08
1914,2.7456648787893556e-08
1915,2.0027295377644805e-08
1916,1.4283700666695154e-08
1917,3.070598708632133e-08
1918,1.378365155346728e-08
1919,3.038589824200244e-08
1920,4.391894581345923e-08
1921,5.755288157160976e-08
1922,2.3609393551282665e-08
1923,5.4141335859014816e-08
1924,4.383152285569736e-08
1925,8.13865170812278e-08
1926,4.9043008987226244e-08
1927,1.0034302277972529e-07
1928,4.913197670930458e-08
1929,3.230717737778832e-08
1930,2.520864939015155e-08
1931,5.018357018826691e-08
1932,5.698959171240858e-08
1933,2.982372171445036e-08
1934,3.71428985346256e-08
1935,2.992070946561398e-08
1936,2.909931406946953e-08
1937,2.6441348666139675e-08
1938,4.1488687485546905e-08
1939,4.5882153187903896e-08
