year,dix_DET oies_NOUN,dix_DET fois_NOUN
1800,0.0,4.059116193388945e-06
1801,7.143547975374531e-09,3.8051296940011525e-06
1802,3.1329761895904085e-08,3.177732935455424e-06
1803,1.950339267864365e-08,3.6061771950812727e-06
1804,0.0,3.2603713719936422e-06
1805,2.842877755426798e-08,3.286366663246554e-06
1806,0.0,2.9594741590699414e-06
1807,2.8469551160981155e-09,2.97791504522138e-06
1808,0.0,2.8325924077421405e-06
1809,1.581321384946932e-08,3.140052497130341e-06
1810,0.0,2.808152117950158e-06
1811,2.5070767684098882e-09,3.214072464174933e-06
1812,0.0,3.2433253078778534e-06
1813,0.0,3.065540639113351e-06
1814,0.0,2.8288628186601272e-06
1815,0.0,2.926487454146809e-06
1816,0.0,2.6490211837426614e-06
1817,0.0,2.9876401299588906e-06
1818,1.668964877410417e-08,3.296205434821786e-06
1819,0.0,2.9086449444548634e-06
1820,0.0,3.2371759530747113e-06
1821,0.0,2.900263673666359e-06
1822,6.015369535816717e-09,3.0999203630699412e-06
1823,1.9765373782121287e-09,3.099210651669182e-06
1824,0.0,2.969284324194632e-06
1825,1.7610886082763955e-09,3.2060619261642387e-06
1826,8.807984341885344e-10,3.132119140047962e-06
1827,9.217273055917019e-10,3.3080792860573638e-06
1828,1.8344602503717056e-09,3.0791416101294544e-06
1829,0.0,3.186649585984469e-06
1830,4.174734336004349e-09,3.5119951604656308e-06
1831,3.1182412207897414e-09,4.017853704851859e-06
1832,0.0,3.693681669858506e-06
1833,1.1583628500844156e-09,3.600191732289204e-06
1834,0.0,3.6656702349091574e-06
1835,5.294161553592858e-09,3.846586615452452e-06
1836,1.3441500135158435e-09,3.0969216879839223e-06
1837,2.7831562610103333e-09,3.7120348110875057e-06
1838,6.312161904276081e-10,2.9774467478205224e-06
1839,7.690622361167243e-09,3.094426837435549e-06
1840,5.095750932326837e-09,3.446638473292296e-06
1841,0.0,3.18651830610861e-06
1842,0.0,3.4453649888632754e-06
1843,5.906911071384968e-10,3.604987824701311e-06
1844,6.586273748609983e-09,3.103232458556704e-06
1845,1.0602433153650281e-08,3.3040530027506065e-06
1846,1.1709002656346001e-09,3.339992922235524e-06
1847,0.0,3.343259265875531e-06
1848,2.413566457803995e-09,4.041919467567823e-06
1849,0.0,3.6006346419981128e-06
1850,0.0,3.7251221911560606e-06
1851,0.0,3.838706014391846e-06
1852,0.0,3.5293666229563314e-06
1853,0.0,3.417736515132219e-06
1854,1.558699391779328e-09,3.3704274855494987e-06
1855,0.0,3.3667210104226797e-06
1856,0.0,3.4329941769328798e-06
1857,4.881509085841174e-10,3.5996248755054694e-06
1858,0.0,3.594894465663856e-06
1859,1.5276520048956854e-09,3.570631925242651e-06
1860,9.154367819341758e-10,3.773430364617525e-06
1861,0.0,4.002910074518695e-06
1862,0.0,3.510023574904153e-06
1863,2.9967726078439227e-09,3.70251243708708e-06
1864,4.794727948009836e-10,3.4699445379260396e-06
1865,1.4120533631256649e-09,3.7480600809658426e-06
1866,0.0,3.604932643952452e-06
1867,9.7056229719783e-10,3.846338486823697e-06
1868,3.951899252285784e-09,3.9390553965290565e-06
1869,3.906815315701806e-09,3.7056143042946132e-06
1870,0.0,3.731145518770518e-06
1871,4.248470908407853e-09,4.059413981849502e-06
