year,très_ADV utile_ADJ,très_ADV futile_ADJ
1800,3.3956976608351397e-07,0.0
1801,5.857709197698568e-07,0.0
1802,2.842056971985585e-07,0.0
1803,3.0620324764640827e-07,0.0
1804,3.336998872782715e-07,0.0
1805,4.150601569108403e-07,0.0
1806,3.198652791525092e-07,2.881669125542885e-08
1807,2.8469551693888207e-07,0.0
1808,4.894719722869922e-07,4.5321479902327155e-09
1809,1.3802676903651445e-06,0.0
1810,4.095221837197016e-07,0.0
1811,7.270522814906144e-07,0.0
1812,1.0162062835661345e-06,5.3344164641089264e-09
1813,9.921308219418279e-07,0.0
1814,3.996279929197044e-07,0.0
1815,5.933891884524201e-07,0.0
1816,6.303882855718257e-07,0.0
1817,4.094576979696285e-07,0.0
1818,4.327387443936459e-07,0.0
1819,9.947359421724755e-07,1.7596784473994376e-08
1820,5.945107091065438e-07,1.1866481131050932e-09
1821,8.135727966873674e-07,0.0
1822,7.46908369819721e-07,0.0
1823,6.196444595207851e-07,1.1859224713361982e-08
1824,7.899003877653854e-07,0.0
1825,8.514863623076963e-07,7.044354433105582e-09
1826,9.239575530228805e-07,8.807984341885344e-10
1827,1.1595329851843417e-06,7.373818444733615e-09
1828,1.0685730558179785e-06,1.8344602503717056e-09
1829,1.2225349337313673e-06,8.573175946935407e-09
1830,1.0092420552609838e-06,0.0
1831,1.2083185276789976e-06,3.1182412207897414e-09
1832,1.3773508469316909e-06,2.0294953273491956e-08
1833,1.4792293617782448e-06,1.1583628500844156e-09
1834,1.3059009233984398e-06,1.8669061851994684e-09
1835,1.2653045544652741e-06,0.0
1836,1.766885164733445e-06,4.032449929525228e-09
1837,1.1480519788165111e-06,0.0
1838,1.1526008103501795e-06,1.2624323808552163e-08
1839,1.067598259574254e-06,1.3982950353153e-09
1840,9.159612130993366e-07,1.2739377330817092e-09
1841,9.62440241281115e-07,2.5682194149112547e-09
1842,7.774879469124585e-07,0.0
1843,7.442707837812534e-07,5.906911071384968e-10
1844,7.26685536744931e-07,0.0
1845,5.691832258847285e-07,2.7901139176833567e-09
1846,1.0157560095258589e-06,5.854501328173001e-10
1847,7.992757593555666e-07,0.0
1848,6.886709574827066e-07,0.0
1849,7.139261508637418e-07,3.3517659758786067e-09
1850,7.216702506696038e-07,1.3577992064028876e-09
1851,6.301101429517786e-07,0.0
1852,8.359540215607808e-07,0.0
1853,1.0379217201261781e-06,0.0
1854,5.725622240770889e-07,5.195664454227256e-10
1855,7.626068772026429e-07,0.0
1856,6.932256657599112e-07,5.177189232874468e-10
1857,6.546103854532248e-07,0.0
1858,5.847943111980669e-07,1.468102750479261e-09
1859,5.555561228831607e-07,2.036869339860914e-09
1860,5.872526762651376e-07,5.950338888283113e-09
1861,5.211139750826987e-07,0.0
1862,7.617324870867748e-07,1.8071945051545413e-09
1863,4.879744682217968e-07,1.4983863039219614e-09
1864,3.2795938120777635e-07,0.0
1865,2.7911587907603064e-07,0.0
1866,3.0312768828366643e-07,5.352174259343201e-09
1867,3.581374876659993e-07,1.94112459439566e-09
1868,3.788883382593866e-07,0.0
1869,4.6686442800591976e-07,0.0
1870,3.5035039225306264e-07,0.0
1871,3.451882548688445e-07,0.0
1872,4.245232219091122e-07,1.2094678591978436e-09
1873,3.2025124596657406e-07,2.3944017879529156e-09
1874,3.764003672079852e-07,5.974609140757536e-10
1875,2.5403579684279975e-07,8.58229043387837e-09
1876,4.4135907728559687e-07,1.209202959984168e-09
1877,3.463496951461309e-07,0.0
