year,louanges_NOUN in_ADJ,louanges_NOUN fines_ADJ
1800,0.0,1.2576657937302116e-08
1801,0.0,1.4287095950749062e-08
1802,0.0,2.2378401354217203e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,4.943701981119375e-08
1805,0.0,5.685755422035754e-09
1806,0.0,8.645007376628655e-09
1807,0.0,1.4234775136401367e-08
1808,0.0,0.0
1809,0.0,2.0331274441787173e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,1.504245972228091e-08
1812,0.0,8.00162425207418e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,7.784366928831332e-09
1818,0.0,7.152706427149269e-09
1819,0.0,1.0351049795076506e-08
1820,0.0,1.779972080839798e-08
1821,2.9584463767662328e-09,4.930744257336528e-09
1822,0.0,1.804610860745015e-08
1823,0.0,3.9530747564242574e-09
1824,0.0,4.210556348027694e-09
1825,8.805443041381977e-10,5.283265824829186e-09
1826,3.5231937367541377e-09,1.6735169694470642e-08
1827,0.0,9.217273166939322e-09
1828,1.8344602503717056e-09,2.109629271274116e-08
1829,8.57317605795771e-10,1.457439946506156e-08
1830,0.0,3.1310507520032616e-09
1831,0.0,6.236482441579483e-09
1832,1.3529969367098715e-09,8.117981842303834e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,1.213489042584115e-08
1835,0.0,6.050470346963266e-09
1836,0.0,2.016224964762614e-09
1837,6.957890930081589e-10,6.957890930081589e-10
1838,6.312161904276081e-10,8.837027110075724e-09
1839,0.0,1.0487212875887053e-08
1840,1.2739377330817092e-09,1.2739377330817092e-09
1841,0.0,0.0
1842,6.708265054555795e-10,0.0
1843,0.0,2.3627644285539873e-09
1844,1.6465684371524958e-09,0.0
1845,0.0,0.0
1846,0.0,4.6836010625384006e-09
1847,5.393223645455691e-10,8.089835468183537e-09
1848,0.0,1.6090443422100975e-09
1849,0.0,0.0
1850,0.0,2.7155984128057753e-09
1851,6.449438760824933e-10,0.0
1852,0.0,6.510545436100301e-10
1853,0.0,5.971931837933653e-10
1854,0.0,0.0
1855,0.0,4.776243400783642e-09
1856,5.177189232874468e-10,0.0
1857,4.881509085841174e-10,4.881509085841174e-10
1858,4.893676019968041e-10,9.787352039936081e-10
1859,5.092173349652285e-10,5.092173349652285e-10
1860,4.577183909670879e-10,5.492620580582752e-09
1861,0.0,1.8863854922557266e-09
1862,4.517986262886353e-10,1.8071945051545413e-09
1863,0.0,2.4973103585068657e-09
1864,0.0,3.835782358407869e-09
1865,4.706844358715045e-10,9.41368871743009e-10
1866,0.0,4.865612912574591e-10
1867,4.85281148598915e-10,2.426405742994575e-09
1868,0.0,4.93987406535723e-10
1869,0.0,1.953407657850903e-09
1870,0.0,7.454262984651905e-09
1871,0.0,2.1242354542039266e-09
1872,1.2094678591978436e-09,3.628403577593531e-09
1873,0.0,1.7958012854535355e-09
1874,0.0,2.9873046258899194e-09
1875,0.0,1.1443054281912168e-09
1876,6.04601479992084e-10,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,9.774920428640144e-09
1880,0.0,6.417846254436199e-10
1881,0.0,0.0
1882,0.0,1.9966155395678697e-09
1883,0.0,7.58320695126713e-09
1884,0.0,0.0
