year,recherches_NOUN in_ADJ,recherches_NOUN fines_ADJ
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,1.581321384946932e-08
1810,0.0,9.360507036149102e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,5.867858021701977e-08
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,1.556873407970727e-09,2.490997452753163e-08
1818,1.1921177378582115e-09,1.668964877410417e-08
1819,1.035105001712111e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,0.0
1821,0.0,1.97229765852569e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,1.2847492847356534e-08
1824,3.3684450784221553e-09,0.0
1825,3.522177216552791e-09,2.641632912414593e-09
1826,8.807984341885344e-10,0.0
1827,1.8434546111834038e-09,1.7512819638909605e-08
1828,1.8344602503717056e-09,0.0
1829,1.714635211591542e-09,2.571952872898464e-09
1830,4.174734336004349e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,0.0
1836,2.688300027031687e-09,1.3441500135158435e-09
1837,2.7831563720326358e-09,0.0
1838,6.312161904276081e-10,0.0
1839,6.9914751765765e-10,1.3982950353153e-09
1840,1.9109065441114126e-09,2.5478754661634184e-09
1841,0.0,0.0
1842,6.708265054555795e-10,0.0
1843,5.906911071384968e-10,1.1813822142769936e-09
1844,3.2931368743049916e-09,5.488561272137815e-10
1845,5.580227946389016e-10,6.138250796539069e-09
1846,1.7563503984519002e-09,0.0
1847,4.853901280910122e-09,0.0
1848,0.0,0.0
1849,8.379414939696517e-10,0.0
1850,6.788996032014438e-10,6.788996032014438e-10
1851,2.579775504329973e-09,1.9348316282474798e-09
1852,1.9531636308300904e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,1.558699391779328e-09,2.5978321716024766e-09
1855,5.306937111981824e-10,3.1841622671890946e-09
1856,5.177189232874468e-10,4.141751386299575e-09
1857,1.9526036343364694e-09,9.763018171682347e-10
1858,0.0,9.787352039936081e-10
1859,1.018434669930457e-09,1.5276520048956854e-09
1860,3.661747127736703e-09,2.746310290291376e-09
1861,1.8863854922557266e-09,0.0
1862,3.162590411776023e-09,0.0
1863,0.0,0.0
1864,4.794728170054441e-09,4.794727948009836e-10
1865,4.706844358715045e-10,2.3534221238463715e-09
1866,0.0,0.0
1867,2.91168689159349e-09,0.0
1868,4.93987406535723e-10,0.0
1869,1.4650557433881772e-09,0.0
1870,5.734048791339319e-10,1.1468097582678638e-09
1871,1.0621177271019633e-09,0.0
1872,6.047339295989218e-10,0.0
1873,0.0,4.190203295451056e-09
1874,5.974609140757536e-10,5.377148060148329e-09
1875,3.432916173551348e-09,5.721527140956084e-10
1876,6.04601479992084e-10,0.0
1877,0.0,1.2369631985365004e-09
1878,6.039088673581716e-10,0.0
1879,3.0546627449723474e-09,0.0
1880,1.9253538763308597e-09,1.2835692508872398e-09
1881,2.7890030285249168e-09,1.3945015142624584e-09
1882,0.0,2.6621540527571597e-09
1883,6.319338941018771e-10,6.951272890631799e-09
1884,1.9805090900604227e-09,3.300848483434038e-09
1885,0.0,5.80107206715752e-09
1886,0.0,6.453463874400711e-10
1887,6.528924623161458e-10,0.0
1888,1.9021844099853524e-09,0.0
1889,6.265136742733546e-10,0.0
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,1.2748440081367107e-09,0.0
1892,2.5074049503359674e-09,0.0
1893,1.2316833108982905e-09,6.158416554491453e-10
1894,1.2603078580752936e-09,2.520615716150587e-09
1895,0.0,1.2037228991346183e-09
1896,5.89702897624278e-10,0.0
1897,6.992056267307589e-09,9.322741689743452e-09
1898,5.6583548957434e-10,5.6583548957434e-10
1899,1.6582735185011188e-09,1.1055156790007459e-09
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,1.676621730339889e-09,5.029864968975062e-09
1902,1.9641135384773634e-09,4.419255628107521e-09
1903,0.0,0.0
1904,5.374625189347171e-10,0.0
1905,1.0321518084666081e-09,0.0
1906,1.5432553013283723e-09,3.0865106026567446e-09
1907,1.5428529565042481e-09,0.0
1908,1.4734167219643268e-09,0.0
1909,2.2003934230241384e-09,1.6502950117569526e-09
1910,2.67207544979442e-09,1.6032452032632705e-09
1911,1.0640748282497725e-09,2.128149656499545e-09
1912,2.0837684910901544e-09,2.0837684910901544e-09
1913,5.833288518886093e-09,5.302989602995467e-09
1914,2.678697486047099e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,1.1486376294556067e-09,0.0
1919,2.762354567309444e-09,4.603924352863942e-09
1920,2.2716695191604686e-09,0.0
1921,3.0290989716519334e-09,6.815472630705699e-09
1922,2.2133805899215986e-09,0.0
1923,2.1231896241147297e-09,0.0
1924,0.0,1.289162443462999e-09
1925,1.0998177923937646e-09,4.399271169575059e-09
1926,3.343841648018042e-09,0.0
1927,0.0,2.2298449753321847e-09
1928,1.1426041224282812e-09,3.4278122562625413e-09
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,0.0,0.0
1931,0.0,0.0
1932,3.287861094491973e-09,6.575722188983946e-09
1933,2.2941324395731044e-09,2.2941324395731044e-09
1934,1.1981580172459871e-09,0.0
1935,2.393656828303392e-09,2.393656828303392e-09
1936,2.424942913137329e-09,2.424942913137329e-09
1937,2.5182236296217297e-09,1.2591118148108649e-09
1938,2.5930428915188486e-09,0.0
1939,6.117620188206274e-09,1.5294050470515685e-09
1940,0.0,0.0
1941,2.9515025978810172e-09,8.854508237732261e-09
1942,0.0,0.0
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,6.4263723231761105e-09
1945,0.0,0.0
1946,0.0,0.0
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,1.9634016634739737e-09,0.0
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,2.1322803522849654e-09,0.0
1952,1.0544803918932644e-09,1.0544804140977249e-08
1953,1.0773827385790469e-09,5.386913581872932e-09
1954,9.772536113672459e-10,6.840775057526116e-09
1955,9.385607846468247e-10,9.385607846468247e-10
1956,1.744228317335228e-09,3.488456634670456e-09
1957,8.835037701437898e-10,0.0
1958,2.4816730892496253e-09,2.4816730892496253e-09
1959,7.750747821333448e-10,7.750747821333448e-10
1960,0.0,7.612916519406099e-09
1961,6.948159270159238e-10,0.0
1962,6.341956404476434e-10,1.2683912808952869e-09
1963,0.0,0.0
1964,0.0,3.041984220075733e-09
1965,2.188817349590977e-09,1.0944086747954884e-09
1966,1.6617224263271169e-09,5.539074754423723e-10
1967,4.930335584241163e-10,1.4791006197611978e-09
1968,4.042274071025531e-09,3.1439910674890825e-09
1969,9.083515606356229e-10,1.3625273131978588e-09
1970,9.197450023812337e-10,1.8394900047624674e-09
1971,3.083038491169532e-09,2.569198631618974e-09
1972,1.5390440033513642e-09,1.5390440033513642e-09
1973,1.102640756478479e-09,2.7566018356850464e-09
