year,grands_ADJ arts_NOUN,grands_ADJ phares_NOUN
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,1.950339223455444e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.0668832484128643e-08,0.0
1813,1.150296680130225e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,7.245735234029382e-09,0.0
1820,0.0,0.0
1821,2.7612166775270452e-08,0.0
1822,0.0,0.0
1823,6.917880934764753e-09,1.581229902569703e-08
1824,8.421112696055388e-10,8.421112696055388e-09
1825,8.805443041381977e-10,2.641632912414593e-09
1826,0.0,3.5231937367541377e-09
1827,2.1199728195142598e-08,5.530363722527909e-09
1828,2.2013523448549677e-08,0.0
1829,1.714635211591542e-09,5.143905745796928e-09
1830,1.3567886369969528e-08,8.349468672008697e-09
1831,1.091384405071949e-08,4.677361609140007e-09
1832,1.3529969367098715e-09,0.0
1833,5.560141858040879e-08,2.3167257001688313e-09
1834,3.9205030333278046e-08,4.667265685043276e-09
1835,1.8151411040889798e-08,0.0
1836,2.2178475944656384e-08,2.688300027031687e-09
1837,4.383471363667013e-08,1.0436836284100082e-08
1838,2.7142295522253335e-08,1.009945904684173e-08
1839,3.0063343814390464e-08,4.754203075663099e-08
1840,5.987507023519356e-08,1.0828470564661075e-08
1841,4.044945711711989e-08,5.778493683550323e-09
1842,5.1653639587811995e-08,2.683306021822318e-09
1843,4.3120451209688326e-08,1.063243981747064e-08
1844,3.1833653935109396e-08,7.683985892015244e-09
1845,7.812318791877715e-09,7.254296274794569e-09
1846,1.5221703009160592e-08,7.610851504580296e-09
1847,1.941560512364049e-08,9.168480197274675e-09
1848,9.65426583121598e-09,0.0
1849,2.513824526317876e-08,8.379414939696517e-10
1850,8.146795238417326e-09,2.1045888587423178e-08
1851,2.4507867735223954e-08,1.9348316282474798e-09
1852,1.3021090872200602e-08,2.6042181744401205e-09
1853,2.09017620989016e-08,2.9859659189668264e-09
1854,3.117398605922972e-08,6.754363734984281e-09
1855,1.9104973603134567e-08,7.429711956774554e-09
1856,2.019103817474388e-08,1.501384794266869e-08
1857,1.0739319655783675e-08,6.8341128311999455e-09
1858,2.300027723833864e-08,8.808616946964776e-09
1859,3.208069188076479e-08,5.092173349652285e-10
1860,2.471679233506663e-08,9.15436793036406e-09
1861,2.5466203368296192e-08,1.4619487842537637e-08
1862,1.0843167252971853e-08,3.6143890103090826e-09
1863,1.39849385405455e-08,6.493007020935693e-09
1864,3.404256787575832e-08,1.102787461348953e-08
1865,3.812543880599151e-08,2.3534221238463715e-09
1866,1.216403244796993e-08,2.0435575009969398e-08
1867,2.426405742994575e-08,2.426405742994575e-09
1868,3.013323279787983e-08,2.9639244392143382e-09
1869,5.3718711257033647e-08,7.325278605918584e-09
1870,3.55511033944822e-08,2.8670243068518175e-08
1871,2.8677177965619194e-08,6.37270636261178e-09
1872,3.205089882385437e-08,1.8142017887967654e-09
1873,1.6760813181804224e-08,1.7958012854535355e-09
1874,3.1067965977626955e-08,4.182226565063729e-09
1875,2.0597497041308088e-08,3.432916173551348e-09
1876,6.227395488167531e-08,9.673623679873344e-09
1877,3.216104360603822e-08,4.9478527941460015e-09
1878,2.8383716710322915e-08,1.0870359723469392e-08
1879,3.604501941367744e-08,7.94212251520321e-09
1880,1.0910338410496934e-08,1.2835692508872398e-08
1881,4.113779411563101e-08,3.974329487732575e-08
1882,2.3959387362992857e-08,6.655385131892899e-09
1883,4.233957034971425e-08,1.7062214752172622e-08
1884,2.772712726084592e-08,2.8387297845711146e-08
1885,3.674012216681177e-08,1.2246707647989297e-08
1886,1.8069698626277386e-08,9.680196200179125e-09
1887,2.285123557044244e-08,3.9173548849191775e-09
1888,2.599652049184442e-08,2.4728397107764977e-08
1889,2.6313573542324775e-08,3.759081934617825e-09
1890,8.520702365899524e-09,9.831579994568074e-09
1891,1.211101796627645e-08,4.461953917456185e-09
1892,1.1910173958185055e-08,9.402768341715273e-09
1893,1.7243566574620672e-08,3.079208221734575e-09
1894,1.3233232287745977e-08,7.561847148451761e-09
1895,2.2870734417423932e-08,5.416753268150387e-09
1896,1.592197840238896e-08,1.1204354777305525e-08
1897,1.4566784223291052e-08,8.157399200570126e-09
1898,1.3014216371232123e-08,1.640922953072277e-08
1899,1.4371703827009696e-08,1.879376654301268e-08
1900,1.142031713641245e-08,1.557315876254961e-08
1901,1.3412973842719111e-08,5.58873880507349e-09
1902,1.5712908307818907e-08,1.0311596021495006e-08
1903,1.296052865029651e-08,1.0260418292773466e-08
1904,1.9348650681649815e-08,7.524475265086039e-09
1905,1.3934049469810361e-08,7.2250627702885595e-09
