year,vingt - six fois
1800,0.0
1801,4.445470835889864e-08
1802,4.18795735868116e-08
1803,4.499996819617991e-08
1804,1.9028838948997873e-08
1805,2.18556461817343e-08
1806,1.8959589453970693e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,7.72604948906519e-08
1812,3.5051002100772166e-08
1813,3.7764785076888074e-08
1814,3.0954410590311454e-08
1815,5.617193465923265e-08
1816,5.0662816164503965e-09
1817,1.535511273687007e-08
1818,2.0853166304846127e-08
1819,1.8089744813210018e-08
1820,3.1076943685093283e-08
1821,2.0520610988228327e-08
1822,4.3859049725369914e-08
1823,1.5114220985879e-08
1824,2.2968846380422292e-08
1825,5.670315772476897e-08
1826,1.345482747439064e-08
1827,8.048523625348025e-09
1828,2.305314872330655e-08
1829,1.0302043662591132e-08
1830,1.141392047543377e-08
1831,4.9631999288202167e-08
1832,3.410042648255285e-08
1833,1.9010670371244487e-08
1834,8.182994726269044e-09
1835,3.6518265744689415e-08
1836,8.81218742421197e-09
1837,2.3532062964903844e-08
1838,3.3034766033779306e-08
1839,2.063496218340788e-08
1840,2.50507418142476e-08
1841,2.316530789414628e-08
1842,2.4939707188309512e-08
1843,4.2597576577207974e-08
1844,3.6502240341462766e-08
1845,2.318153713432025e-08
1846,2.8189059975147757e-08
1847,3.122017844248148e-08
1848,2.466524584576746e-08
1849,1.743100241924367e-08
1850,6.241255823269398e-08
1851,2.823427536213785e-08
1852,3.5667660824856284e-08
1853,2.0264830258298616e-08
1854,5.001201941468025e-08
1855,4.36334103848246e-08
1856,4.026509481391827e-08
1857,3.63779427692279e-08
1858,3.5918617413699394e-08
1859,5.23980503430721e-08
1860,2.7097104227102875e-08
1861,2.9950292912417353e-08
1862,1.683368999749746e-08
1863,3.289568029085643e-08
1864,5.039558104158459e-08
1865,3.353743593947911e-08
1866,2.6162599975343426e-08
1867,1.6502328392675736e-08
1868,2.5967574757146394e-08
1869,3.1608141881633856e-08
1870,4.775299089487817e-08
1871,2.3329851828179926e-08
1872,4.1127769634385913e-08
1873,3.083399491288219e-08
1874,2.884272198855342e-08
1875,2.1375699321701802e-08
1876,3.254007197028841e-08
1877,2.382646002718758e-08
1878,2.259924691827564e-08
1879,2.2849799052870878e-08
1880,6.006935709956807e-08
1881,3.995884156893226e-08
1882,1.6853556938922765e-08
1883,3.343972565517106e-08
1884,3.055433950294173e-08
1885,3.1249168586100495e-08
1886,1.8489803466081867e-08
1887,2.3768659929146452e-08
1888,4.053631175171546e-08
1889,3.8027341608959375e-08
1890,2.6024308708016974e-08
1891,4.286596427816036e-08
1892,2.213500316372574e-08
1893,1.2906589574868121e-08
1894,2.435583318360912e-08
1895,3.1217201157396346e-08
1896,3.9026126996688504e-08
1897,3.02766556270484e-08
1898,1.1860925575035708e-08
1899,2.196147719235597e-08
1900,2.1796816795927043e-08
1901,1.1717957271173418e-08
1902,2.4332187154030294e-08
1903,2.086347283825063e-08
1904,1.305749908198095e-08
1905,2.848947944222857e-08
1906,2.951341765422555e-08
1907,2.5576603723820313e-08
1908,2.3869404008891593e-08
1909,9.09909836366296e-09
1910,1.7105240002202038e-08
1911,9.982077386894161e-09
1912,1.9542253981708058e-08
1913,2.9255501687863728e-08
1914,1.625050538578421e-08
1915,3.5067863279891753e-08
1916,6.0466804896464055e-09
1917,2.4122046582419898e-08
1918,1.0110157155907018e-08
1919,1.5202418879312063e-08
1920,2.0024103264404403e-08
1921,1.0864047439440583e-08
1922,1.4658995795002738e-08
1923,2.3462829790155126e-08
1924,2.137358379172838e-08
1925,4.874074477356771e-09
1926,1.85185555778844e-08
1927,1.1108411968052678e-08
1928,2.0242641340928458e-08
1929,1.727967813280884e-08
1930,1.6276111125534953e-08
1931,7.577127369984282e-09
1932,6.064410307260459e-09
1933,2.2838359647892048e-08
1934,1.7256428619383257e-08
1935,1.7242861583000035e-08
1936,1.0737834621465936e-08
1937,1.6737109476139267e-08
1938,1.8647345001454596e-08
1939,2.202482818347562e-08
1940,1.970230556480601e-08
1941,3.2809635008845817e-09
1942,2.691516343134026e-08
1943,9.634118391943503e-09
1944,2.1296703067719136e-08
1945,9.611848206247942e-09
1946,1.5397358499313896e-08
1947,2.1068524702627656e-08
1948,3.729940090124728e-08
1949,2.487697137176781e-08
1950,1.9996698963353765e-08
1951,2.831774281730759e-08
1952,1.8688451675075157e-08
1953,3.572478135538404e-08
1954,2.4855464242357073e-08
1955,1.973687036027627e-08
1956,2.1223159563099614e-08
1957,8.800898676497582e-09
1958,1.2808485494453237e-08
1959,1.2861623766013963e-08
1960,1.9133414852490205e-08
1961,1.2269006255394288e-08
1962,1.2589664422080205e-08
1963,1.9256894745467434e-08
1964,1.2080363986921583e-08
1965,2.7755771014881248e-08
1966,2.6886529225222944e-08
1967,2.1184357823500477e-08
1968,1.679917716046475e-08
1969,1.9471688816885546e-08
1970,1.011575456733027e-08
1971,1.529909710029642e-08
1972,3.165682471717446e-08
1973,1.6451858986243906e-08
1974,3.0474522294543505e-08
1975,3.284094707289853e-08
1976,3.0294567632260794e-08
1977,2.1432381203112527e-08
1978,1.9630409298088125e-08
1979,1.9968480424736867e-08
1980,2.5672835413104167e-08
1981,2.019219413895712e-08
1982,1.772865765303777e-08
1983,1.1801283505974425e-08
1984,2.6746153292123154e-08
1985,1.7181876588168166e-08
1986,1.7775567684452653e-08
1987,2.48406144542912e-08
1988,2.568467216690351e-08
1989,1.627507850709975e-08
1990,2.5670980674519228e-08
1991,1.80037895702867e-08
1992,1.508758973312041e-08
1993,2.305107216216129e-08
1994,8.660055506037878e-09
1995,8.893286995714789e-09
