year,vingt - trois fois
1946,2.771524565403638e-08
1947,2.3702090956589927e-08
1948,1.564168461420934e-08
1949,2.0550541934838407e-08
1950,1.411531691530854e-08
1951,1.8878495211538393e-08
1952,1.7520423223338355e-08
1953,1.0717434939522263e-08
1954,1.188739595647803e-08
1955,1.4542957060825756e-08
1956,2.1223160118211126e-08
1957,1.5646042683670203e-08
1958,5.489350862752929e-09
1959,1.7148831132907105e-08
1960,2.2194761140070796e-08
1961,1.3802631926296272e-08
1962,2.0283347335059432e-08
1963,2.3536204873941813e-08
1964,2.4160727973843166e-08
1965,2.473883942144539e-08
1966,1.8942781565556288e-08
1967,1.3036527468646142e-08
1968,1.6305083283540966e-08
1969,1.3480399907450646e-08
1970,2.630096351818878e-08
1971,2.4365229833733792e-08
1972,2.430791867791271e-08
1973,2.3763798484566223e-08
1974,1.1816651213081286e-08
1975,2.399915377537809e-08
1976,1.7671830665477728e-08
1977,3.18238391194825e-08
1978,1.1778245212479277e-08
1979,2.8986502753625132e-08
1980,1.5028001287831216e-08
1981,1.740706423447591e-08
1982,2.4547371246796956e-08
1983,1.8743214980077028e-08
1984,1.7830767973237016e-08
1985,2.3129447912495493e-08
1986,1.580050579264025e-08
1987,2.2155142720414744e-08
1988,1.3830208089871121e-08
1989,1.8083419206504914e-08
1990,2.1491984858457158e-08
1991,2.443371549532003e-08
1992,1.6294595894805752e-08
1993,1.7591607226474792e-08
1994,1.8474783813893225e-08
1995,8.893286995714789e-09
1996,1.750059652749769e-08
1997,1.727299286935491e-08
1998,1.5607680481366515e-08
1999,2.5424227612091954e-08
2000,2.360502726617142e-08
2001,2.4365080619759283e-08
2002,1.3365369255780024e-08
2003,1.6336556551976855e-08
2004,1.1032303071090155e-08
2005,1.3243325214240542e-08
2006,2.6475769493439216e-08
2007,1.9197305828333455e-08
2008,3.114721336405779e-08
2009,1.929807780243209e-08
2010,2.277819710627682e-08
2011,2.43392748178195e-08
2012,2.4747130566993292e-08
2013,2.4025516021097815e-08
2014,2.179591263029579e-08
2015,1.9611333001989806e-08
2016,3.2553328588313946e-08
2017,2.0638746822676524e-08
2018,2.0914454279541417e-08
2019,1.7844757782548015e-08
