year,leurs_DET airs_NOUN,leurs_DET fers_NOUN
1800,1.886498623981936e-07,9.872676089983656e-07
1801,1.381085894536227e-07,8.310327075378154e-07
1802,7.832440473976021e-08,6.109303569701297e-07
1803,1.8918290400904425e-07,7.918377491478168e-07
1804,1.9033252973699177e-07,9.170566954708192e-07
1805,1.421438877713399e-07,6.879764100631292e-07
1806,2.564685619432794e-07,5.100554290038417e-07
1807,1.5942949005420815e-07,5.807788356904098e-07
1808,1.4049658503267892e-07,8.973653251587166e-07
1809,1.0391540516963005e-07,5.873479267393122e-07
1810,1.0296557917399696e-07,5.873717978666093e-07
1811,1.0780430415024966e-07,4.462596598919788e-07
1812,2.667208214290895e-07,6.614676548721832e-07
1813,2.0705339420779012e-07,5.895270138722708e-07
1814,1.5104050810066383e-07,1.230350720859974e-06
1815,1.537417375629957e-07,6.338475553313572e-07
1816,1.0429217844887262e-07,5.353664960239257e-07
1817,1.588010940523077e-07,7.597541995529866e-07
1818,5.364529886975333e-08,7.021573429355499e-07
1819,8.591371281063687e-08,8.964009361456249e-07
1820,2.5038275097699625e-07,8.377735500886274e-07
1821,1.4200543052567127e-07,8.046974437903032e-07
1822,8.72228582693424e-08,9.363925528305117e-07
1823,1.353928098524193e-07,7.738143734670189e-07
1824,1.5494847005470547e-07,7.890582702785309e-07
1825,1.6025906202088436e-07,7.053159771786e-07
1826,1.5149733556540923e-07,7.601290263892224e-07
1827,9.770309539192112e-08,6.332266362374384e-07
1828,9.997808092521154e-08,6.66826295514511e-07
1829,1.1830983304150777e-07,5.88119849709301e-07
1830,1.7012042263786498e-07,5.771570201762444e-07
1831,9.510636012066698e-08,4.412311227497412e-07
1832,1.5694764599061273e-07,6.345555433329153e-07
1833,2.2588075054841283e-07,6.394162787026758e-07
1834,1.7455573164681937e-07,6.478164460421709e-07
1835,1.406734426723233e-07,5.838704026928099e-07
1836,1.0148332352244438e-07,4.6238759376926453e-07
1837,1.0158520957759265e-07,4.807902520553853e-07
1838,9.405121303984743e-08,4.241772906254937e-07
1839,9.088917574118227e-08,4.0550556246188307e-07
1840,8.981260979368244e-08,5.305950634415524e-07
1841,9.502411835171642e-08,4.5200661702438083e-07
1842,1.09344717280635e-07,4.528078831889104e-07
1843,9.74640315121178e-08,3.886747343972985e-07
1844,1.1416207801318023e-07,5.131804798885753e-07
1845,4.185171054160719e-08,4.832477225602538e-07
1846,9.133021894314197e-08,5.298323983993214e-07
1847,6.417936226910115e-08,6.196813693293279e-07
1848,7.964769821455775e-08,4.1513343163046557e-07
1849,8.128032291665477e-08,2.3462361298243195e-07
1850,4.8880770542325536e-08,3.4963329564874357e-07
1851,4.6435958633850305e-08,2.902247584479767e-07
1852,1.6211258824228025e-07,3.0599564482258756e-07
1853,9.73424918448984e-08,3.923559273033561e-07
1854,9.248282384355377e-08,3.574617045143391e-07
1855,1.1356845419641104e-07,3.3699050305813216e-07
1856,1.1027413204800496e-07,3.4997799058800183e-07
1857,1.0007093553809909e-07,3.5488570082620186e-07
