year,divers_DET acteurs_NOUN,divers_DET facteurs_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,2.0056614147279106e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,8.34482416500748e-09,0.0
1819,0.0,0.0
1820,7.119888678630559e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,4.4027217427355936e-09
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,9.217273055917019e-10,0.0
1828,0.0,9.172301251858528e-10
1829,1.714635211591542e-09,0.0
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,8.108540172635514e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,5.294161553592858e-09,0.0
1836,0.0,2.016224964762614e-09
1837,1.3915781860163179e-09,1.3915781860163179e-09
1838,8.837027110075724e-09,0.0
1839,0.0,2.0974426639952526e-09
1840,1.9109065441114126e-09,1.592422194107712e-08
1841,0.0,1.4125206782011901e-08
1842,6.708265054555795e-10,2.0124795163667386e-09
1843,0.0,1.063243981747064e-08
1844,1.097712254427563e-09,1.4270259640625227e-08
1845,1.1160455892778032e-09,7.254296274794569e-09
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,1.6179670936367074e-09,5.3932236454556914e-09
1848,1.6090443422100975e-09,7.240699539945439e-09
1849,0.0,1.0893239199560867e-08
1850,7.467895635215882e-09,9.504594444820214e-09
1851,0.0,4.514607354622058e-09
1852,0.0,1.6276364034339963e-08
1853,8.957897534855874e-09,1.1943863675867306e-09
1854,1.558699391779328e-09,8.832629738719788e-09
1855,2.1227748447927297e-09,3.714855978387277e-09
1856,4.141751386299575e-09,6.730345780692204e-09
1857,0.0,4.881509085841174e-10
1858,4.893676019968041e-10,0.0
1859,1.018434669930457e-09,1.5276520048956854e-09
1860,9.154367819341758e-10,9.154367819341758e-10
1861,9.431927461278633e-10,2.82957823838359e-09
1862,9.035972525772706e-10,1.8071945051545413e-09
1863,4.994620828036034e-10,9.989241656072068e-10
1864,6.233146443435089e-09,2.8768367688059016e-09
1865,0.0,8.47231973466478e-09
1866,4.865612912574591e-10,2.919367858567057e-09
1867,4.85281148598915e-09,1.067618526917613e-08
1868,4.44588676984381e-09,3.951899252285784e-09
1869,0.0,0.0
1870,0.0,1.1468097582678638e-08
1871,0.0,8.496941816815706e-09
1872,1.2094678591978436e-09,7.861540751719076e-09
1873,1.496501056408306e-08,2.3944017879529156e-09
1874,0.0,0.0
1875,5.721527140956084e-10,6.865832347102696e-09
1876,4.836811839936672e-09,7.255217759905008e-09
1877,4.9478527941460015e-09,5.566334504436554e-09
1878,6.039088673581716e-10,7.850815109122777e-09
1879,7.331190321480108e-09,1.649517855639715e-08
1880,0.0,7.701415727368044e-09
1881,0.0,4.8807553554297556e-09
1882,5.324308105514319e-09,3.3276925659464496e-09
1883,1.2638677882037541e-09,1.1374810426900694e-08
1884,1.3203393933736152e-09,2.3105939384038265e-08
1885,1.2246707647989297e-08,3.093905087681037e-08
1886,3.2267319927115068e-09,3.097662726325723e-08
1887,6.528924623161458e-10,1.3710741431083306e-08
1888,0.0,2.9166827175686194e-08
1889,3.759081934617825e-09,2.0048437576747347e-08
1890,1.3108772956016423e-09,4.7191583085748334e-08
1891,3.824531802365527e-09,2.358461470564066e-08
1892,6.268512375839919e-10,6.017771969624164e-08
1893,0.0,7.451684114201385e-08
1894,5.041231654345779e-09,3.7179083589578e-08
