year,nos_DET îles_NOUN,nos_DET iles_NOUN,nos_DET fils_NOUN
1800,3.427139305678395e-07,2.5153315874604232e-08,1.3834323642214486e-07
1801,5.381472902854512e-07,2.3811825844433088e-08,9.048493865293494e-08
1802,6.467357707151677e-07,9.398928568771225e-08,1.208433673127729e-07
1803,8.503479058674657e-07,5.070881914370773e-08,7.021221537506506e-08
1804,5.215605565211945e-07,4.44933170307138e-08,2.0763547681212913e-07
1805,4.235887711701025e-07,2.55858996212055e-08,1.9047280641615316e-07
1806,2.7664023605211696e-07,8.645007376628655e-09,1.412017933688503e-07
1807,5.096049626729382e-07,1.9928686256776018e-08,1.5088861937684328e-07
1808,2.4020383992962024e-07,1.5862518409903714e-08,6.118399742405245e-08
1809,5.376492628883511e-07,2.4849335034105025e-08,1.9201759027254184e-07
1810,2.176317881463774e-07,2.574139346123161e-08,1.8955026348521642e-07
1811,1.0028307251275237e-07,1.7549536934780008e-08,1.5042460077552278e-07
1812,2.3471432086807908e-07,1.8670457180292033e-08,2.1337665856435706e-07
1813,2.875741671459764e-07,5.176335027279322e-08,2.3868656207071126e-07
1814,3.618678721117874e-07,2.5173417572688095e-08,5.947219978708063e-07
1815,2.9939181445115537e-07,4.045835311217161e-08,2.9939182777383166e-07
1816,4.1716871201913364e-07,1.622322720606917e-08,1.8077310848241268e-07
1817,3.035903042292176e-07,5.449057050022077e-08,1.7592669632193747e-07
1818,3.6240378609164736e-07,2.98029441125891e-08,2.1458118837358597e-07
1819,2.266879892687257e-07,5.175525008560555e-09,2.380741532803654e-07
1820,2.491960993111775e-07,1.0679833017945839e-08,1.471443722422805e-07
1821,3.1162304425791376e-07,1.972297702934611e-08,2.9978924587226174e-07
1822,3.0678384632665257e-07,9.023054303725075e-09,3.0076847679083585e-07
1823,2.8956273467883875e-07,2.0753642027138142e-08,2.8560966214286054e-07
1824,1.8358025499765063e-07,1.0947446504872005e-08,2.922125972304457e-07
1825,2.8705744625767693e-07,1.0566531649658373e-08,2.6064111402490653e-07
1826,3.10921841162326e-07,2.7304752237000685e-08,3.5231936834634325e-07
1827,1.778933693685758e-07,1.6591091167583727e-08,2.3043183006166146e-07
1828,2.614105909515274e-07,2.2013523448549677e-08,1.8986662908559993e-07
1829,2.9663189593520656e-07,1.8860986994440054e-08,2.606245566028065e-07
1830,2.9640614229720086e-07,2.400472176589119e-08,3.0788664417968903e-07
1831,2.46341065768263e-07,1.091384405071949e-08,5.893476107132756e-07
1832,3.666621650744162e-07,6.764984572527055e-09,4.1672307027340594e-07
1833,2.1082204249012193e-07,1.6217079235048004e-08,3.0464943634456176e-07
1834,1.6988846263110702e-07,1.0267984240641681e-08,3.1364024621893805e-07
1835,3.5546513998951923e-07,3.781543966852041e-08,3.153807739408876e-07
1836,2.997454657815979e-07,2.5538850312312178e-08,3.44774488070243e-07
1837,1.8995041584091155e-07,3.3397877241547747e-08,2.6161669808288934e-07
1838,3.3201970639495926e-07,2.4617430982587507e-08,2.8909700233725744e-07
1839,2.2232890917184278e-07,4.1249704096912865e-08,2.880487759426842e-07
1840,2.1338456557273844e-07,4.395085273500854e-08,3.1211475642889397e-07
1841,1.9197439904417024e-07,3.017657768111803e-08,3.717497492061739e-07
1842,2.2539771116214524e-07,3.4882977395511716e-08,3.904210270633257e-07
1843,2.764434321456122e-07,2.7171790650815097e-08,3.6681916443237483e-07
1844,2.6399979757840697e-07,2.2503100327586623e-08,3.353511051074065e-07
1845,8.81675991104558e-08,1.3392546849289033e-08,2.6171269240649053e-07
1846,1.5572974154665076e-07,1.5807153808111707e-08,2.903832676537377e-07
1847,3.581100624927558e-07,2.534815113364175e-08,3.786043079045953e-07
1848,2.1883002432332432e-07,1.2067832733109185e-08,4.754725964062345e-07
1849,6.116972883773997e-08,5.865590679832167e-09,4.2399838351414587e-07
1850,1.4664231873240396e-07,1.2220192857625989e-08,3.40128694098496e-07
1851,8.964720010773419e-08,1.0964046337491595e-08,3.766472218558192e-07
1852,8.463709222361615e-08,2.40890174474373e-08,3.157614436588574e-07
1853,1.2182741127020336e-07,1.791579506971175e-08,2.0603165395982614e-07
1854,9.040456205866576e-08,1.1430461910322265e-08,3.585008503392828e-07
1855,8.17268315245201e-08,2.2819829581521844e-08,3.7254698526112406e-07
1856,1.0975640990507074e-07,1.3460691894451315e-08,2.930289060287805e-07
1857,6.345961717224569e-08,1.2203772437047178e-08,3.626961150304808e-07
1858,1.0423529772651818e-07,1.565976370798694e-08,3.7730241497779815e-07
1859,1.3901633089119514e-07,1.4258085379026397e-08,4.506573461071639e-07
1860,1.1671819066805256e-07,1.327383358784573e-08,4.558875200677548e-07
1861,1.1648430664479292e-07,1.9335450851531988e-08,5.013069497294964e-07
1862,1.852374398314538e-07,2.0782737364388737e-08,3.51047521746084e-07
1863,1.2786229541816851e-07,1.4983863039219614e-08,3.666051640038859e-07
1864,1.5630812688627316e-07,1.1986819759002287e-08,4.415944487856649e-07
1865,1.2708480001677458e-07,9.884373597390805e-09,6.118897601936624e-07
1866,1.1920751613603287e-07,1.8489329178805747e-08,4.364454924687955e-07
1867,9.7056229719783e-08,1.6014277903764196e-08,4.7217856291581484e-07
1868,8.99057081005239e-08,9.87974813071446e-09,3.739484568665574e-07
1869,8.204311841009115e-08,6.836926691455858e-09,5.435356804639468e-07
1870,6.594156332084822e-08,5.734048791339319e-09,5.321197242835751e-07
1871,6.478918379571041e-08,4.248470908407853e-09,5.289346356462943e-07
1872,6.652073381019363e-08,2.4189357183956872e-09,6.119907398627333e-07
1873,1.2211448563448357e-07,1.2570609608797412e-08,3.986679044665209e-07
1874,1.1351757223110326e-07,1.5533983654947292e-08,3.477222563219584e-07
1875,8.067353246543618e-08,3.432916173551348e-09,4.26253770058338e-07
1876,6.529695895096665e-08,9.673623679873344e-09,3.730391191503202e-07
1877,1.8987385708157944e-07,1.7317484335421796e-08,3.9830213749425525e-07
1878,1.1957395296136042e-07,9.058633121394877e-09,3.6113749812827223e-07
1879,8.919615068769815e-08,9.774920428640144e-09,4.1543412931943635e-07
