year,mais_CONJ outre_ADP,mais_CONJ foutre_VERB
1800,2.0940135527780512e-06,0.0
1801,2.3668955009270576e-06,1.904946067554647e-08
1802,2.190845407312736e-06,0.0
1803,2.053707191862486e-06,3.900678446910888e-09
1804,1.532547628357861e-06,2.4718509461507665e-09
1805,2.0127574771322543e-06,0.0
1806,2.2966903543419903e-06,0.0
1807,2.0611954596461146e-06,0.0
1808,1.774335942172911e-06,0.0
1809,2.218367910700181e-06,0.0
1810,2.5507382588330074e-06,0.0
1811,1.4716540590598015e-06,0.0
1812,1.7683590272099536e-06,0.0
1813,1.4867584354760766e-06,0.0
1814,1.7149390600934566e-06,0.0
1815,1.809836987831659e-06,0.0
1816,1.6014642483241914e-06,0.0
1817,1.575555870658718e-06,0.0
1818,1.392393528476532e-06,0.0
1819,1.6075180724328675e-06,0.0
1820,1.5782419495735667e-06,0.0
1821,2.312518972757971e-06,0.0
1822,1.834687736845808e-06,0.0
1823,1.5051332411530893e-06,0.0
1824,1.4753788946109125e-06,0.0
1825,1.7117781112574448e-06,0.0
1826,1.4497941833724326e-06,0.0
1827,1.2240539035701659e-06,0.0
1828,1.2538536111605936e-06,0.0
1829,1.2276788083909196e-06,0.0
1830,1.5196033018582966e-06,0.0
1831,1.1927272680622991e-06,0.0
1832,1.1919902931367687e-06,0.0
1833,1.2185976743239735e-06,0.0
1834,1.2013541663691285e-06,0.0
1835,1.3356413433029957e-06,0.0
1836,1.7850311451184098e-06,0.0
1837,1.3727918712902465e-06,0.0
1838,1.481464380503894e-06,0.0
1839,1.5346287796091929e-06,0.0
1840,1.2567396083795757e-06,0.0
1841,1.2975928598280007e-06,0.0
1842,1.115584495892108e-06,0.0
1843,1.2853438420279417e-06,0.0
1844,1.2749927691402263e-06,0.0
1845,9.983027666748967e-07,0.0
1846,1.1170388347636617e-06,0.0
1847,8.381069562801713e-07,1.6179670936367074e-09
1848,1.0056527059987275e-06,0.0
1849,8.798385806585429e-07,0.0
1850,8.479455857468565e-07,0.0
1851,8.880877260253328e-07,0.0
1852,1.1790597795879876e-06,0.0
1853,1.0122424782821327e-06,0.0
1854,1.206952902066405e-06,0.0
1855,8.81482264958322e-07,0.0
1856,9.54155979115967e-07,0.0
1857,8.913635838325717e-07,0.0
1858,8.529677302249183e-07,0.0
1859,9.303400645421789e-07,0.0
1860,8.083306966000237e-07,0.0
1861,9.314028091012005e-07,0.0
1862,8.164001030763757e-07,0.0
1863,8.875441324107669e-07,0.0
1864,9.944266139427782e-07,0.0
1865,9.517239334400074e-07,0.0
1866,9.00624939959016e-07,0.0
1867,8.181840485121938e-07,0.0
1868,1.0082283097290201e-06,0.0
1869,6.524381603867369e-07,0.0
1870,6.479475018750236e-07,0.0
1871,8.518184415606811e-07,5.3105884134652115e-09
1872,8.520700873759779e-07,2.4189357183956872e-09
1873,7.171233278313593e-07,0.0
1874,7.241226285259472e-07,0.0
1875,7.689732512972114e-07,1.1443054281912168e-09
1876,7.073837480220391e-07,3.02300739996042e-09
1877,6.883700223170308e-07,0.0
1878,6.824170100117044e-07,0.0
1879,7.190676001300744e-07,0.0
1880,6.950527335902734e-07,0.0
1881,6.177641864724137e-07,0.0
1882,6.894978810123575e-07,0.0
1883,6.376212979830598e-07,0.0
1884,5.80289167828596e-07,0.0
1885,5.672159488767647e-07,0.0
1886,6.408289436876657e-07,5.162771099520569e-09
1887,6.254709887798526e-07,0.0
1888,6.740073388300516e-07,3.1703073499755874e-09
1889,6.215015559973835e-07,6.265136742733546e-10
1890,5.53190204755083e-07,0.0
1891,6.34234908147846e-07,0.0
1892,5.923744197389169e-07,1.2537024751679837e-09
1893,6.546396775775065e-07,1.8475249663474358e-09
1894,6.326745563001168e-07,0.0
1895,6.716773839343659e-07,4.814891596538473e-09
1896,6.781583294923621e-07,1.7691086373616827e-09
1897,6.007341539771005e-07,0.0
1898,5.975222734377894e-07,0.0
1899,5.649185084166675e-07,0.0
1900,5.7984063062122e-07,5.191053142894475e-10
1901,6.119669251347659e-07,5.588738916095792e-10
