year,aies_VERB été_VERB
1800,1.2576657937302116e-08
1801,1.4287095950749062e-08
1802,2.9091921760482364e-08
1803,3.510610468993036e-08
1804,2.7190360185613827e-08
1805,3.4114531644036106e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.5862518409903714e-08
1809,2.0331274441787173e-08
1810,3.510190182964834e-08
1811,7.521229861140455e-09
1812,2.1337665856435706e-08
1813,2.0130190847567064e-08
1814,2.8320094713762956e-08
1815,5.394447111228828e-09
1816,6.952811659743929e-09
1817,1.0898113522728181e-08
1818,3.5763532135746345e-09
1819,1.2421260464634543e-08
1820,2.4919611263385377e-08
1821,4.6348993976153e-08
1822,3.0076847679083585e-08
1823,6.917880934764753e-09
1824,1.6842225392110777e-08
1825,2.201360693732113e-08
1826,2.1139161532346407e-08
1827,2.8573547083965423e-08
1828,1.1923991571904935e-08
1829,3.086343269842473e-08
1830,2.5048406016026092e-08
1831,4.5214498811674275e-08
1832,3.5177919244233635e-08
1833,9.266902800675325e-09
1834,3.827157613045529e-08
1835,3.327758690829796e-08
1836,5.309392392405243e-08
1837,3.2006298056330706e-08
1838,1.64116205070286e-08
1839,1.8876983531868063e-08
1840,3.3759349093998026e-08
1841,2.247191943638427e-08
1842,2.2137275124123335e-08
1843,3.4260082770742883e-08
1844,3.2382512671347286e-08
1845,1.8414752389617206e-08
1846,9.367202125076801e-09
1847,1.0786447290911383e-08
1848,1.850401076808339e-08
1849,1.4245005175439474e-08
1850,1.425689166723032e-08
1851,2.4507867735223954e-08
1852,2.0833745395520964e-08
1853,2.5679307569248522e-08
1854,2.234135720868835e-08
1855,1.4328730202350926e-08
1856,1.5531567143511893e-08
1857,2.782460128969433e-08
1858,2.2510910469009104e-08
1859,2.2405561850291633e-08
1860,2.5632230560290736e-08
1861,2.971057178058345e-08
1862,2.936691068100572e-08
1863,3.795911851511846e-08
1864,3.452204211384924e-08
1865,2.3534221682552925e-08
1866,2.968023871119385e-08
1867,3.202855580752839e-08
1868,2.1241458370013788e-08
1869,2.3929244363785074e-08
1870,2.6376625328339287e-08
1871,2.6552942955504477e-08
1872,1.69325495846806e-08
1873,1.7958013742713774e-08
1874,2.6885741633009275e-08
1875,1.7736734747586524e-08
1876,1.3301232115736639e-08
