year,auras_VERB été_VERB
1800,9.432493897065797e-09
1801,9.524730337773235e-09
1802,2.2378401354217203e-09
1803,1.1702034896643454e-08
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,0.0
1807,1.4234775136401367e-08
1808,2.2660739062985158e-08
1809,2.259030518203531e-09
1810,1.6380887757350138e-08
1811,0.0
1812,1.0668832928217853e-08
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,0.0
1818,3.5763532135746345e-09
1819,4.140420006848444e-09
1820,1.3053129244156025e-08
1821,1.676452932031225e-08
1822,9.023054303725075e-09
1823,6.917880934764753e-09
1824,4.210556348027694e-09
1825,1.6730341556581152e-08
1826,5.284790383086602e-09
1827,9.217273166939322e-09
1828,7.337841001486822e-09
1829,2.5719527840806222e-08
1830,5.218417697960831e-09
1831,7.795603274018958e-09
1832,9.470978667991403e-09
1833,4.054269808762001e-08
1834,7.467624740797874e-09
1835,1.3613558280667348e-08
1836,6.048674894287842e-09
1837,6.957891152126194e-09
1838,1.4517972601879592e-08
1839,1.1885507689157748e-08
1840,9.554533164646273e-09
1841,4.494383976094696e-09
1842,4.695785538189057e-09
1843,1.7720733325177207e-08
1844,1.0977122322231025e-08
1845,6.696273757711424e-09
1846,1.1123552745573306e-08
1847,1.7258315665458213e-08
1848,6.43617736884039e-09
1849,2.513824481908955e-09
1850,1.765138968323754e-08
1851,7.094382858952031e-09
1852,1.4974254725075298e-08
1853,1.2541057081705276e-08
1854,8.313063126763609e-09
1855,1.8043586180738203e-08
1856,1.5531567143511893e-08
1857,1.2691923956253959e-08
1858,2.5447114637699997e-08
1859,1.9350258284589472e-08
1860,1.9224172476128842e-08
1861,1.7920662287451705e-08
1862,9.939570055905733e-09
1863,1.2486552236623538e-08
1864,1.8699438442126848e-08
1865,1.6473954644879996e-08
1866,5.838735717134114e-09
1867,3.202855580752839e-08
1868,1.333765986544222e-08
1869,3.2231227464762924e-08
1870,2.1789386295267832e-08
1871,1.911811864374613e-08
1872,1.3908880269752899e-08
1873,7.183205141814142e-09
1874,1.5533982988813477e-08
1875,9.7265964171811e-09
1876,1.813804395567331e-08
1877,3.0924081073635534e-09
1878,1.1474268646338714e-08
1879,2.016077260691418e-08
1880,4.492492600149944e-09
1881,1.673401861523871e-08
1882,9.983077475794744e-09
1883,2.211768546089843e-08
1884,1.386356363042296e-08
1885,1.740321664556177e-08
1886,2.0651084398082276e-08
1887,9.140494583448344e-09
1888,2.028996703984376e-08
1889,1.1277245803853475e-08
1890,6.554386366985909e-09
1891,9.561330394092238e-09
1892,1.4417578242387208e-08
1893,1.7243566574620672e-08
1894,8.192000855444803e-09
1895,1.3240951446391591e-08
1896,1.7101383420481397e-08
1897,5.826713334045053e-09
1898,2.8291773368493978e-09
