year,des_DET hôtes_NOUN,des_DET fautes_NOUN
1800,2.641098149069876e-07,3.889331367190607e-06
1801,2.4288062627775275e-07,4.6028259994557175e-06
1802,2.0140561218795483e-07,4.128814936166236e-06
1803,2.554944451560459e-07,3.947486380440068e-06
1804,2.32353986717726e-07,4.412254000385474e-06
1805,2.075300669091007e-07,4.469003805240845e-06
1806,1.7001848373610073e-07,5.29362640833142e-06
1807,1.2811298200077204e-07,4.970783852087379e-06
1808,2.3793776726677152e-07,5.359264989124313e-06
1809,3.795171363840666e-07,4.0210742326962645e-06
1810,2.5507381451461697e-07,5.51099849133152e-06
1811,3.7355445225983885e-07,4.201860690500325e-06
1812,1.6003248859419728e-07,4.192851427831101e-06
1813,1.8692320669089213e-07,4.112310755033377e-06
1814,2.4229413098098007e-07,4.364441345217074e-06
1815,2.1308065689673583e-07,4.5178492804609505e-06
1816,1.5064424552235778e-07,4.3246486924886085e-06
1817,2.895784583234473e-07,5.4568411655964155e-06
1818,2.336550783965663e-07,5.071268688539021e-06
1819,1.5630085725693021e-07,4.931240134453674e-06
1820,1.7918387129611801e-07,5.678111364204597e-06
1821,2.159665947187861e-07,5.7383999703120026e-06
1822,2.5565319106135576e-07,4.639855163190987e-06
1823,2.786917630004382e-07,4.5460360809101985e-06
1824,2.1642259184773138e-07,4.943193076201169e-06
1825,2.738492694831507e-07,4.497820270898956e-06
1826,3.338226131077704e-07,4.3951840495992656e-06
1827,1.9079754726147868e-07,4.898058971747332e-06
1828,1.8069433826983783e-07,4.6751217439577886e-06
1829,1.6374766753646242e-07,4.992160338446183e-06
1830,2.776198286813525e-07,4.955409806939315e-06
1831,3.41447419671681e-07,4.4559668737065294e-06
1832,3.7207416525575354e-07,4.617778536442074e-06
1833,2.907490692649617e-07,4.190956985894445e-06
1834,2.987049843028444e-07,4.241611009092594e-06
1835,3.191623108023123e-07,3.9017969939436625e-06
1836,3.7636199756718725e-07,4.027745504231461e-06
1837,3.0823456187434317e-07,3.997308276382228e-06
1838,3.0424620156566107e-07,3.8920788796303896e-06
1839,3.523703426822067e-07,3.7642103194457377e-06
1840,3.853661523223195e-07,3.951117776068713e-06
1841,3.069022325163928e-07,3.941574838961515e-06
1842,3.253508644718295e-07,3.7700449873057096e-06
1843,3.284242686696359e-07,4.036783089134133e-06
1844,5.093385020416008e-07,3.817294398800186e-06
1845,3.5825063182670647e-07,3.977028391943804e-06
1846,2.611107672301216e-07,3.842309290291723e-06
1847,3.1820018353556634e-07,3.7655488327459352e-06
1848,2.6227423521874016e-07,3.5270251004249076e-06
1849,4.3908133307013486e-07,4.054799013886168e-06
1850,3.3944979360711613e-07,3.365984184711124e-06
1851,3.5471911985496263e-07,3.924483443995541e-06
1852,3.5352262628407516e-07,3.7468188338607433e-06
1853,3.959390770802429e-07,3.3807105417338335e-06
1854,3.4655081648793384e-07,4.202253254703692e-06
1855,3.5131922615505573e-07,3.896884059884087e-06
1856,4.3022442008933126e-07,4.04338491577505e-06
1857,3.7929325280572357e-07,3.6425821718921725e-06
1858,3.5479150461981135e-07,3.829790749421136e-06
1859,4.450559565327694e-07,3.4993414885775564e-06
1860,4.545143639234084e-07,3.497426121157332e-06
1861,3.937829582412178e-07,3.570927844975813e-06
1862,3.5872811654513725e-07,3.5633356709752206e-06
1863,4.7398951519284083e-07,3.437298065733785e-06
1864,4.703628246893743e-07,3.2652098056473733e-06
1865,4.471502172975761e-07,3.4727097215636604e-06
1866,3.6394784874715924e-07,3.1699468898693794e-06
1867,3.901660434735277e-07,3.247986729348895e-06
1868,3.828402426186983e-07,3.2094360804535427e-06
1869,3.2621908996333104e-07,3.5791311496780054e-06
1870,3.8934189916517425e-07,3.4129059294230046e-06
1871,4.3334403443395786e-07,3.46356581104601e-06
1872,3.7009716535862935e-07,3.3713917559907713e-06
1873,3.364134411043551e-07,3.1157152697858237e-06
1874,3.680359355051621e-07,2.999851194118719e-06
1875,3.6331696184888074e-07,3.20519950491871e-06
1876,3.9057254497265603e-07,3.1826220769914926e-06
1877,3.6675958314802415e-07,2.9612899616893174e-06
1878,3.375850496922794e-07,2.9029899906163337e-06
1879,3.4456595798815215e-07,3.3088104594014567e-06
1880,3.581158152243802e-07,3.2994147005638297e-06
1881,3.242216060073133e-07,2.932636622432483e-06
