year,ces_DET oies_NOUN,ces_DET fois_NOUN
1800,1.6978488659447066e-07,9.432493897065797e-09
1801,1.2620267497709392e-07,0.0
1802,8.727576528144709e-08,8.951360541686881e-09
1803,7.411289004721766e-08,0.0
1804,1.1617699158250616e-07,7.4155528384522995e-09
1805,2.2743021688143017e-08,1.7057265822018053e-08
1806,2.305335300434308e-08,5.76333825108577e-09
1807,6.547996900252429e-08,5.693910232196231e-09
1808,1.3823051503436545e-07,2.2660739951163578e-09
1809,3.6144488291256494e-08,2.259030518203531e-09
1810,1.6380887757350138e-08,9.360507036149102e-09
1811,5.515568934910675e-08,0.0
1812,2.6672082320544632e-09,2.1337665856435706e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,2.2026739543434815e-08
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,1.622322720606917e-08,4.6352077731626196e-09
1817,4.203558356952186e-08,7.784367039853635e-09
1818,2.2650237241350624e-07,2.741870774869426e-08
1819,3.1053151161586356e-09,1.3456365466346654e-08
1820,1.1866481131050932e-08,1.542642635854463e-08
1821,1.9722976807301507e-08,5.9168927535324656e-09
1822,4.0102463572111446e-08,3.0076847679083585e-09
1823,1.2847493069401139e-08,1.9765373782121287e-09
1824,4.210556348027694e-09,1.431589158329416e-08
1825,6.516027784009282e-08,1.1447075731751966e-08
1826,2.906634755106552e-08,1.0569580766173203e-08
1827,1.474763688946723e-08,9.217272889383565e-09
1828,1.3024667566696735e-07,1.3758451544720884e-08
1829,6.858540846366168e-09,3.429270478694235e-09
1830,6.992679768558219e-08,5.218417697960831e-09
1831,4.365537531469954e-08,4.677361609140007e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,8.108540172635514e-09,4.6334514003376626e-09
1834,4.387229601832132e-08,6.534171426153534e-09
1835,6.882410019670715e-08,8.31939672707449e-09
1836,2.9571300075303952e-08,8.064899859050456e-09
1837,2.435261814426326e-08,7.653680356156656e-09
1838,5.680945602826171e-08,9.468243078458727e-09
1839,5.523265411699896e-08,1.957613138259262e-08
1840,1.9109066218270243e-08,9.554532720557063e-09
1841,2.6966304744746594e-08,1.4125206782011901e-08
