year,divisions_NOUN in_ADJ,divisions_NOUN fines_ADJ
1800,0.0,3.144164484325529e-09
1801,1.1905912700171939e-08,2.1430643926123594e-08
1802,1.5664880947952042e-08,1.5664880947952042e-08
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,1.1371510844071508e-08,0.0
1806,1.729001475325731e-08,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,3.113746815941454e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,7.24573512300708e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,8.875339574387908e-09
1822,5.012807946513931e-09,0.0
1823,6.917880934764753e-09,2.9648061783404955e-09
1824,5.052667617633233e-09,0.0
1825,2.641632912414593e-09,9.68598712347557e-09
1826,2.642395191543301e-09,0.0
1827,1.3825909306319772e-08,4.608636583469661e-09
1828,4.586150570418113e-09,9.172301251858528e-10
1829,7.715858174606183e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,7.563087933704082e-10
1836,1.3441500135158435e-09,0.0
1837,6.957890930081589e-10,0.0
1838,0.0,0.0
1839,2.0974426639952526e-09,0.0
1840,2.5478754661634184e-09,0.0
1841,4.494383976094696e-09,0.0
1842,1.341653010911159e-09,0.0
1843,1.7720733769266417e-09,1.7720733769266417e-09
1844,1.097712254427563e-09,0.0
1845,1.1160455892778032e-09,1.1160455892778032e-09
1846,0.0,5.854501328173001e-09
1847,4.314578916364553e-09,3.235934187273415e-09
1848,4.82713291560799e-09,4.82713291560799e-09
1849,1.6758829879393033e-09,1.0893239199560867e-08
1850,3.394498016007219e-09,6.788996032014438e-10
1851,6.449438760824933e-10,6.449438760824933e-10
1852,0.0,4.557382027314816e-09
1853,5.971931837933653e-09,0.0
1854,1.0391328908454511e-09,4.676098175337984e-09
1855,1.0613874223963649e-09,4.776243400783642e-09
1856,2.0708756931497874e-09,1.0354378465748937e-09
1857,1.9526036343364694e-09,1.9526036343364694e-09
1858,9.787352039936081e-10,2.936205500958522e-09
1859,5.092173349652285e-10,0.0
1860,2.288591982591015e-09,4.577183909670879e-10
1861,2.8295783494058924e-09,9.431927461278633e-10
1862,1.3553959066214816e-09,0.0
1863,2.9967726078439227e-09,2.4973103585068657e-09
1864,4.794727948009836e-10,9.589455896019672e-10
1865,1.4120533631256649e-09,9.41368871743009e-10
1866,1.9462451650298362e-09,1.9462451650298362e-09
1867,9.7056229719783e-10,1.455843445796745e-09
1868,4.93987406535723e-10,0.0
1869,0.0,0.0
1870,1.7202146374017957e-09,4.587239033071455e-09
1871,4.248470908407853e-09,1.3807530230280918e-08
1872,1.2094678591978436e-09,7.256807155187062e-09
1873,8.979006871356887e-09,1.7958012854535355e-09
1874,9.559374625212058e-09,1.1949218281515073e-09
1875,1.1443054281912168e-09,5.721527140956084e-10
1876,1.813804439976252e-09,2.418405919968336e-09
1877,2.4739263970730008e-09,0.0
