year,ses_DET humeurs_NOUN,ses_DET fumeurs_NOUN
1800,1.8864986373046122e-07,0.0
1801,2.881231040419152e-07,0.0
1802,3.20011139365306e-07,0.0
1803,3.647134292350529e-07,0.0
1804,2.3482583344502928e-07,0.0
1805,1.705726617728942e-07,0.0
1806,3.1122026822316684e-07,0.0
1807,1.508886242618246e-07,0.0
1808,1.450287356874469e-07,0.0
1809,2.6204753966752037e-07,0.0
1810,2.737948250342015e-07,0.0
1811,9.526891631139733e-08,0.0
1812,3.334010330036108e-07,2.6672082320544632e-09
1813,1.0352669943536341e-07,0.0
1814,1.604805390797992e-07,6.293354282149721e-09
1815,1.591361922237411e-07,0.0
1816,2.8970048759902056e-07,4.6352077731626196e-09
1817,2.8179407574047133e-07,6.227493631882908e-09
1818,3.683643683416449e-07,2.384235475716423e-09
1819,2.3703904616922955e-07,0.0
1820,2.1596996191419748e-07,0.0
1821,2.0511895115760126e-07,0.0
1822,3.3084533868077415e-07,0.0
1823,3.518236439958855e-07,9.882686891060644e-10
1824,2.762124893251894e-07,0.0
1825,1.6466178465179837e-07,0.0
1826,1.3035817403306282e-07,8.807984341885344e-10
1827,1.2258972503786936e-07,9.217273055917019e-10
1828,1.7060480672626e-07,0.0
1829,1.9975500453739414e-07,0.0
1830,1.8577567484356905e-07,0.0
1831,1.262887678876723e-07,0.0
1832,1.569476495433264e-07,0.0
1833,1.6448753026310214e-07,0.0
1834,1.6988846485155307e-07,7.467624740797874e-09
1835,1.2327833331937654e-07,1.5126175867408165e-09
1836,2.553884996814304e-07,1.3441500135158435e-09
1837,1.982998867333663e-07,0.0
1838,2.0072674544735492e-07,0.0
1839,1.5940563191652046e-07,6.9914751765765e-10
1840,1.5669434105802793e-07,0.0
1841,1.714286437248802e-07,0.0
1842,1.8112315558482805e-07,0.0
1843,1.2463581811061886e-07,6.497602011990011e-09
1844,1.7288968479078903e-07,4.939705144924034e-09
1845,1.2946128435942228e-07,1.1160455892778032e-09
1846,1.1357732887518068e-07,0.0
1847,8.629157832729106e-08,5.393223645455691e-10
1848,1.6573156358390406e-07,4.82713291560799e-09
1849,8.798385664476882e-08,8.379414939696517e-10
1850,1.371377225112269e-07,6.788996032014438e-10
1851,1.5156180666053842e-07,0.0
1852,1.4648726676114165e-07,1.9531636308300904e-09
1853,1.7438041011175187e-07,0.0
1854,2.1198311106473966e-07,3.117398783558656e-09
1855,1.7247544903398193e-07,1.5920811335945473e-09
1856,1.941445999520397e-07,5.177189232874468e-10
1857,1.9379591453816403e-07,7.322263684272912e-09
