year,bonnes_ADJ eaux_NOUN
1800,5.345079756580162e-08
1801,1.4287095706499997e-07
1802,1.1189200677108602e-07
1803,1.4822578009443532e-07
1804,1.2359254308869083e-07
1805,9.381496446358994e-08
1806,9.797675204481493e-08
1807,5.97860605466849e-08
1808,2.605985116588272e-07
1809,9.03612189517844e-08
1810,9.594519667643908e-08
1811,7.019814773912003e-08
1812,1.1468995353425271e-07
1813,6.326631307729258e-08
1814,1.5733386149463513e-08
1815,5.933891955578474e-08
1816,5.7940098940889584e-08
1817,8.56280379935015e-08
1818,4.6492591110336434e-08
1819,5.175525075173937e-08
1820,7.119888323359191e-08
1821,4.536284592404627e-08
1822,6.616906489398389e-08
1823,5.435477845594505e-08
1824,4.463189640091514e-08
1825,5.6354835464844655e-08
1826,5.9013494535520294e-08
1827,3.96342727526644e-08
1828,7.246117661452445e-08
1829,8.487444347338169e-08
1830,8.453837097022188e-08
1831,3.741889287312006e-08
1832,6.3590853471851e-08
1833,4.40177885252524e-08
1834,4.667265329771908e-08
1835,4.840376277570613e-08
1836,3.2259599436201825e-08
1837,8.071153700939249e-08
1838,2.7773513266993177e-08
1839,4.754203075663099e-08
1840,1.05099864811109e-07
1841,5.457466301095337e-08
1842,4.8299508392801727e-08
1843,6.261326035428283e-08
1844,5.817874892954933e-08
1845,4.073566373108406e-08
1846,9.07447699205477e-08
1847,5.3932236454556914e-08
1848,8.447482713336285e-08
1849,1.298809308991622e-07
1850,5.5669765686161554e-08
1851,7.094382681316347e-08
1852,8.659025496626782e-08
1853,1.260077624465339e-07
1854,5.0397943596180994e-08
1855,7.429711956774554e-08
1856,7.144521418922523e-08
1857,5.320844942424685e-08
1858,6.410715513993637e-08
1859,6.263373109050008e-08
1860,4.989130530930197e-08
1861,7.922819378336499e-08
1862,1.2379283020891307e-07
1863,1.3735207460285892e-07
1864,5.993410212568051e-08
1865,4.283228349777346e-08
1866,6.957826315101556e-08
1867,5.629261323747414e-08
1868,7.014621417056333e-08
1869,3.4672986259920435e-08
1870,5.5620273275991394e-08
1871,4.779529705345453e-08
1872,4.233137573805834e-08
1873,7.362785259257265e-08
1874,6.990292644726281e-08
1875,8.181783783811625e-08
1876,5.1995728167497646e-08
1877,6.30851220151385e-08
1878,2.3552445327368332e-08
1879,5.437299321897626e-08
1880,3.080566313151678e-08
1881,6.902782700990429e-08
1882,7.121261802467416e-08
1883,5.308244865886991e-08
1884,4.951272813968899e-08
1885,5.8655285073427876e-08
1886,4.7755634113855194e-08
1887,7.573552807116357e-08
1888,4.9456794215529953e-08
1889,5.6386230795624215e-08
1890,7.209825270138026e-08
1891,7.457837369884146e-08
1892,1.567128151691577e-07
1893,6.404753349897874e-08
1894,8.065970291681879e-08
1895,1.3120579822611944e-07
1896,4.717623269812066e-08
1897,4.952706689209663e-08
1898,3.112095137147719e-08
1899,7.130576129554811e-08
1900,5.3467847038746186e-08
1901,4.470991044058792e-08
1902,5.941443320667261e-08
1903,6.372260230591564e-08
1904,1.0964235741539596e-07
1905,5.986480289266183e-08
1906,4.012463961089452e-08
1907,4.319988278211895e-08
1908,4.4202501214840595e-08
1909,6.43615075679449e-08
1910,5.130384816975919e-08
1911,2.7133907565257687e-08
1912,2.5005221004903433e-08
1913,3.234823608977422e-08
1914,3.951078958452925e-08
1915,5.5369582696584985e-08
1916,2.5271162940043723e-08
1917,2.1932848426331475e-08
1918,2.6418664589300533e-08
1919,1.5653341733923298e-08
1920,1.438724073210551e-08
1921,2.120369302360814e-08
1922,3.172512208493572e-08
1923,1.8047112249064412e-08
1924,2.8361574311297488e-08
1925,4.06932585406139e-08
1926,1.3375366592072169e-08
1927,2.2298449309232637e-08
1928,1.2568645679778001e-08
1929,1.3368487650211591e-08
1930,1.8906487042613662e-08
1931,3.877821086462063e-08
1932,1.9727165678773417e-08
1933,2.2941325283909464e-08
1934,1.677421224144382e-08
1935,1.4361940969820353e-08
1936,7.274828739411987e-09
1937,1.3850230295986421e-08
1938,2.074434313215079e-08
1939,1.3764645423464117e-08
1940,3.296517903095264e-08
1941,5.60785480274717e-08
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,1.927911696952833e-08
1945,8.714016175304096e-09
1946,1.6705325123211878e-08
1947,2.622591566137089e-08
1948,1.6307831529616124e-08
1949,1.1780409536754632e-08
1950,1.4889506516624351e-08
1951,2.3455083209000804e-08
1952,3.057992969957013e-08
1953,6.464296653518886e-09
1954,1.4658803948464083e-08
1955,1.783265579646809e-08
1956,9.593255967388359e-09
1957,3.003912851795576e-08
1958,9.099467845885556e-09
1959,7.750747599288843e-09
1960,2.6991250123842292e-08
1961,1.459113452284555e-08
1962,2.4099433559854333e-08
1963,1.8751554975438012e-08
1964,1.2776333768727e-08
1965,1.3680108601477059e-08
1966,1.6063316343739587e-08
1967,2.415864486238206e-08
