year,des_DET oies_NOUN,des_DET foies_NOUN
1800,3.772997354545282e-07,5.973912209356058e-08
1801,4.643306181772999e-07,4.524246932646747e-08
1802,4.1400042505301826e-07,7.384872446891677e-08
1803,4.5442904728076883e-07,9.166594594489652e-08
1804,3.3617172467970136e-07,6.921182915675672e-08
1805,4.0368864784312564e-07,7.960057502032214e-08
1806,1.9595349609602408e-07,6.339671898558663e-08
1807,2.9893028363758845e-07,1.4234776024579787e-08
1808,2.809931678449118e-07,3.17250354875398e-08
1809,5.195770000909761e-07,2.0331274441787173e-08
1810,3.9314129374190543e-07,1.1700633351097167e-08
1811,3.183987451471637e-07,2.757784400841956e-08
1812,1.520308643421231e-07,8.00162425207418e-09
1813,2.0705340375570813e-07,1.4091133948568313e-07
1814,3.27254436438551e-07,6.92268957713793e-08
1815,2.751168040049379e-07,5.1247248222807684e-08
1816,2.2248996955909206e-07,5.0987287281145655e-08
1817,1.9149542329621738e-07,5.916118794857539e-08
1818,3.31408723130977e-07,3.2187177367859476e-08
1819,2.1944226169523517e-07,7.14222423425781e-08
1820,2.385162769513727e-07,2.610625848831205e-08
1821,2.790801291174816e-07,3.944595405869222e-08
1822,2.1254305693219067e-07,2.606660132187244e-08
1823,2.15442573114899e-07,2.7671523405992104e-08
1824,1.5158002586446173e-07,1.0105335235266466e-08
1825,2.4391076713925486e-07,1.4088708866211164e-08
1826,2.3164998708136153e-07,2.025836387531399e-08
1827,2.2582319425534791e-07,1.3825909306319772e-08
1828,2.1830077412410276e-07,2.935136400594729e-08
1829,2.3490502504275312e-07,2.4862210068476998e-08
1830,2.536151120224872e-07,1.6698937344017395e-08
1831,3.3053355763534853e-07,4.209625514839388e-08
1832,2.1783250325757564e-07,8.117981309396782e-08
1833,3.475088590221276e-07,4.9809603552830595e-08
1834,2.623003139134994e-07,1.6802156110884425e-08
1835,2.6243915129953166e-07,4.235329242874286e-08
1836,2.473235943822871e-07,3.8308275662757296e-08
1837,2.9710193816256947e-07,3.618103228131275e-08
1838,2.1650715620324945e-07,2.6511079775914936e-08
1839,2.481973737644694e-07,3.635566958593017e-08
1840,1.9427551034567614e-07,4.267691267045848e-08
1841,2.2471919214339664e-07,4.943822418113086e-08
1842,2.508891068231378e-07,3.89079368723344e-08
1843,1.8665839540688012e-07,3.603215859016018e-08
1844,2.3820356265247256e-07,3.567564732520623e-08
1845,2.985421990731041e-07,5.691832588583523e-08
1846,1.8266044810033577e-07,3.454155717008689e-08
1847,2.3244794267185398e-07,9.276344314912421e-08
1848,2.260707319123867e-07,8.367030396305708e-08
1849,1.9188860278518405e-07,4.692472543865733e-08
1850,1.8058729089887038e-07,3.530277759011824e-08
1851,2.4636856132964624e-07,6.642921679400615e-08
1852,1.5950836518285882e-07,6.054807344391122e-08
1853,2.573902571079145e-07,1.00328456209553e-07
1854,1.8860262152031737e-07,6.078927211605745e-08
1855,2.2819829226250476e-07,8.809515605889828e-08
1856,1.8948512314764798e-07,5.5395925790957534e-08
1857,1.6694761151292425e-07,3.368241152656992e-08
1858,1.942789422115787e-07,3.8170671956549995e-08
1859,2.2762014584287726e-07,6.161529597648041e-08
1860,2.1970482655397916e-07,5.7214798232507746e-08
1861,2.5371885348235423e-07,5.3761986862355116e-08
1862,2.4442305335270476e-07,5.963742211179124e-08
1863,2.3075147836948418e-07,2.2475793670651e-08
1864,2.1672170014142011e-07,4.650886109569541e-08
1865,2.1557346707723468e-07,6.307171562802694e-08
1866,1.761351877682671e-07,5.692767146570077e-08
1867,2.4167001555497336e-07,5.871901720411188e-08
1868,2.4402978426874e-07,7.360412013213136e-08
1869,2.1389813420480408e-07,3.320793073857686e-08
1870,2.2534811972008129e-07,4.0711746862598375e-08
1871,2.2729319937297987e-07,3.6112004275778986e-08
1872,2.2737995664101618e-07,3.446983287691552e-08
1873,2.789478137366075e-07,8.979006710374549e-08
1874,2.168783148626119e-07,6.811054475974743e-08
1875,2.2428386659001376e-07,4.520006413599731e-08
1876,2.4788660191177314e-07,4.594971225735378e-08
1877,2.5172201389978e-07,3.958282235316801e-08
1878,2.451869884900759e-07,7.246906363889138e-08
1879,2.107717258503783e-07,4.948553566919145e-08
1880,2.2205747929326947e-07,3.9148863040239235e-08
1881,2.175422397776572e-07,4.811030063223143e-08
1882,2.549012436681153e-07,8.119570082953942e-08
1883,2.6414836507004935e-07,6.508918914960304e-08
1884,2.983967073433291e-07,5.479408571318345e-08
1885,1.946581920653223e-07,4.254119545521462e-08
1886,2.110282685263698e-07,3.6784744139595205e-08
1887,2.5136359083077764e-07,4.83140425444617e-08
1888,2.390411708574902e-07,8.94026643827317e-08
1889,2.1802676442028712e-07,4.1349902168974495e-08
1890,2.3005895988248426e-07,8.717334054608727e-08
1891,2.2692223011766544e-07,6.629188931128738e-08
1892,2.0811460554881478e-07,5.8297163763043613e-08
1893,2.1492873392148226e-07,3.510297480469049e-08
1894,2.0290956026514095e-07,4.2850468284783005e-08
1895,1.7273423869035298e-07,5.537125247201402e-08
1896,1.8929463729833174e-07,6.486732218036195e-08
1897,2.1442305975227782e-07,7.399926504891852e-08
1898,1.8559404235674037e-07,4.356933303029109e-08
1899,2.2884174910586808e-07,9.783813936792285e-08
1900,2.2944454647344514e-07,4.360484595622438e-08
1901,1.5201369540918108e-07,8.047783950360099e-08
1902,1.5663804786569813e-07,4.910283735171106e-08
1903,1.8900771436847208e-07,7.182292938168189e-08
1904,1.795124813241955e-07,9.13686282189019e-08
1905,2.1417150541935825e-07,6.244518147013878e-08
1906,2.1142598782830646e-07,7.407625357558345e-08
1907,2.0571374115263552e-07,6.788553319481139e-08
