year,les_DET oeufs_NOUN,les_DET feux_NOUN
1800,1.050150927994764e-06,6.684493712327821e-06
1801,1.750169179359773e-06,5.569586107867508e-06
1802,1.635861167414987e-06,7.196893903937962e-06
1803,5.74569926703461e-06,5.852967973396517e-06
1804,1.4015394937949566e-06,7.16836780156882e-06
1805,1.4356532724857374e-06,9.98702932974993e-06
1806,3.0257525018839715e-07,6.956349238862458e-06
1807,3.387876525984268e-07,4.518117606266969e-06
1808,3.172503699744311e-07,5.930315467139735e-06
1809,3.004510509274638e-07,5.358420196444058e-06
1810,4.937667354987241e-07,6.126451808086131e-06
1811,1.6797414126301646e-07,6.142338293102512e-06
1812,2.0270783229747735e-07,5.998551500852045e-06
1813,3.911008619184031e-07,4.48615691084342e-06
1814,5.349350913341766e-07,5.147963776153119e-06
1815,2.2656678222432447e-07,4.8226359012915054e-06
1816,3.963102610526903e-07,4.250485517331981e-06
1817,6.196355881726845e-07,4.8979238158608496e-06
1818,4.828076922702706e-07,4.860263913997187e-06
1819,5.775886062764357e-07,4.564812911667104e-06
1820,2.7174242323013686e-07,5.825255811942043e-06
1821,1.2425475581778755e-07,4.53727091098699e-06
1822,1.9349438673543773e-07,5.345658422584165e-06
1823,1.8678277735606486e-07,5.065865082087839e-06
1824,2.147383737494124e-07,5.692672289114853e-06
1825,1.9107811288776588e-07,5.880275040226479e-06
1826,1.6030530847199742e-07,6.439517193257416e-06
1827,6.756261352047765e-07,4.735834835400965e-06
1828,3.1460993210608024e-07,5.118144230209509e-06
1829,1.7746473929269868e-07,4.7641137825849e-06
1830,2.0143092882562996e-07,4.814512493567236e-06
1831,1.7773974980705987e-07,4.717898804074139e-06
1832,1.9483155533350782e-07,5.770531743110041e-06
1833,1.8997151052246863e-07,6.073296646036397e-06
1834,2.240287466648283e-07,4.911830330911471e-06
1835,1.8680827196249083e-07,4.550710059447738e-06
1836,2.083432480426417e-07,5.102393274114547e-06
1837,2.866651082067406e-07,4.792595177605108e-06
1838,2.9793404321409866e-07,5.2277326858529705e-06
1839,2.0415107082616402e-07,4.1130850263471075e-06
1840,1.1911317832069557e-07,4.869627190373649e-06
1841,1.5280905474313045e-07,4.25489756139541e-06
1842,2.8912622784815767e-07,4.157111845870531e-06
1843,1.7720733613835193e-07,3.732577056325681e-06
1844,2.2064016780287687e-07,4.211372981899331e-06
1845,1.8414752256390443e-07,4.0311565783213155e-06
1846,1.7504959481939864e-07,3.783178726735059e-06
1847,3.1658221377739437e-07,3.5212357261116267e-06
1848,2.051531546864993e-07,3.346812320614845e-06
1849,2.0864742733550656e-07,3.710404826051672e-06
1850,1.7379830286046172e-07,4.473948536087846e-06
1851,2.3024495665602274e-07,4.608769131664303e-06
1852,1.9401425377374437e-07,3.3900409448506252e-06
1853,1.9229620096261613e-07,3.873992113767599e-06
1854,1.1430461621664278e-07,4.209007926192498e-06
1855,1.719447624282111e-07,4.354872430667456e-06
1856,1.1234500962853389e-07,4.104475607391578e-06
1857,1.571845890113721e-07,3.8759183098591166e-06
1858,8.514996041597556e-08,4.341669551877203e-06
1859,1.4461772246399107e-07,4.172017696646435e-06
1860,5.60705014196472e-07,3.761987443340331e-06
1861,1.763770467455572e-07,3.860016221324258e-06
1862,1.0888347223847461e-07,3.81634288260102e-06
1863,9.439833159596844e-08,4.069117494509555e-06
1864,1.486365611702567e-07,3.492000359983649e-06
1865,1.2237795188330125e-07,3.665219679760412e-06
1866,1.3429091927363856e-07,3.83556260885598e-06
