year,mauvais_ADJ fils_NOUN
1800,9.118077315406481e-08
1801,9.048493621044429e-08
1802,4.923248297927785e-08
1803,9.361627917314763e-08
1804,4.449331569844617e-08
1805,5.685755510853596e-08
1806,2.1900684998854558e-07
1807,8.256169792275614e-08
1808,8.384473915157287e-08
1809,7.454800421413665e-08
1810,9.12649418260969e-08
1811,1.4541044990323826e-07
1812,6.668020358091553e-08
1813,9.777521836618064e-08
1814,1.541871856858279e-07
1815,8.091670622434322e-08
1816,5.5622493277951435e-08
1817,9.963989811012652e-08
1818,1.5378319506709204e-07
1819,1.138615539630905e-07
1820,1.1985146386450651e-07
1821,7.198886620152223e-08
1822,7.920236555492011e-08
1823,1.6306433359147832e-07
1824,1.204219142181273e-07
1825,1.1535130539641614e-07
1826,6.253669226907732e-08
1827,5.2538457140371975e-08
1828,5.044765760686687e-08
1829,8.230249015639401e-08
1830,8.140732044026322e-08
1831,1.2317053066368544e-07
1832,1.1094575125270012e-07
1833,8.571885246055899e-08
1834,1.1481473105590112e-07
1835,9.983276072489389e-08
1836,8.535352824523557e-08
1837,1.0367257274879194e-07
1838,1.1740621275180274e-07
1839,8.110111249237661e-08
1840,8.025807751721459e-08
1841,1.239165889899141e-07
1842,7.446173944103407e-08
1843,8.210606622371941e-08
1844,1.311766171241402e-07
1845,1.1997490467763328e-07
1846,6.381406181255045e-08
1847,1.0031396069365428e-07
1848,1.1182858172809063e-07
1849,1.3742240412284445e-07
1850,7.603675911127539e-08
1851,1.0770562619555335e-07
1852,8.593919664789951e-08
1853,8.241266136188585e-08
1854,9.404152906400398e-08
1855,8.544168750290737e-08
1856,1.320183304898137e-07
1857,8.103305337847644e-08
1858,1.1500138974440688e-07
1859,1.3494259110125029e-07
1860,1.2083765432713278e-07
1861,7.922818873185022e-08
1862,9.939569969863449e-08
1863,1.093821986875021e-07
1864,1.1459400028890343e-07
1865,9.649030863201347e-08
1866,7.63901262246236e-08
1867,1.213202889260856e-07
1868,9.435159586956843e-08
1869,1.0011214379712641e-07
1870,7.167561122400912e-08
1871,7.541035529357032e-08
1872,8.526748729309475e-08
1873,8.739566292881307e-08
1874,6.691561926785994e-08
1875,9.040012827199462e-08
1876,7.436598270516015e-08
1877,5.318941942444866e-08
1878,1.1715832171077523e-07
1879,1.1668810984133415e-07
1880,9.690947866403121e-08
1881,6.693607584873362e-08
1882,1.0914831505282052e-07
1883,8.531107842379981e-08
1884,7.261866663554883e-08
1885,7.28356814860831e-08
1886,5.5499787876556184e-08
1887,4.8966934618199787e-08
1888,9.764546615720349e-08
1889,1.0024218966009357e-07
1890,7.275368840709007e-08
1891,5.163118199646988e-08
1892,6.017771969624164e-08
1893,7.94435741635624e-08
1894,4.348062043746381e-08
1895,6.981592637345102e-08
1896,4.5996825681626774e-08
1897,4.020432275986252e-08
1898,7.921696676405077e-08
1899,9.562710800992136e-08
1900,5.8139795422462726e-08
1901,6.203500335644208e-08
1902,4.861180902260287e-08
1903,5.6702313955270256e-08
1904,4.3534463145533664e-08
1905,6.450948752956265e-08
1906,6.173021560584857e-08
1907,6.274268693484686e-08
1908,7.121513956320769e-08
1909,6.051081946623071e-08
1910,5.1838261350134474e-08
1911,5.852411710804972e-08
1912,4.896855909652942e-08
1913,6.787826756227133e-08
1914,9.509376364125188e-08
1915,6.361611670779865e-08
1916,8.460345513050527e-08
1917,6.250861783740902e-08
1918,6.891825510280114e-08
1919,5.2484736168256774e-08
1920,7.647953736977797e-08
1921,5.906742928107889e-08
1922,5.459672330898613e-08
1923,5.6264523706772707e-08
1924,9.668718037314505e-08
1925,7.148815361901484e-08
1926,8.248142369104983e-08
1927,1.315608584295802e-07
