year,des_DET âmes_NOUN,des_DET ames_NOUN,des_DET femmes_NOUN
1800,5.062105046249599e-07,2.694548958181997e-06,1.1410172703563148e-05
1801,2.0478170359439218e-07,3.4598583171785435e-06,1.3448918878111726e-05
1802,5.370816040795034e-07,2.844294840542716e-06,1.1489071596315625e-05
1803,5.538963385731677e-07,2.705120515145154e-06,1.1487498284168396e-05
1804,3.510028276920707e-07,3.0255454523953063e-06,1.253475613793853e-05
1805,5.742612811943104e-07,2.2458734694197346e-06,1.0214459166490997e-05
1806,6.541388799519154e-07,2.0603935340091084e-06,9.898533448904345e-06
1807,2.903894085193315e-07,3.211365394051313e-06,1.116006382062551e-05
1808,5.393256277130831e-07,2.3408543601277643e-06,1.1740529316739412e-05
1809,3.930712990651841e-07,2.5549634390387155e-06,1.0931448969131452e-05
1810,7.418201768416566e-07,4.015657326661426e-06,1.0228694179659215e-05
1811,6.317833367575076e-07,1.6596848393390928e-06,1.0680147454422695e-05
1812,1.1549011684763855e-06,2.1924451107935283e-06,1.1605023416905169e-05
1813,8.655982277616658e-07,1.6477999456032677e-06,1.2952340284755337e-05
1814,9.88056630291112e-07,1.6614455624619495e-06,1.0491021157577052e-05
1815,9.952755202213837e-07,1.3647951522255397e-06,1.1420044870646961e-05
1816,1.1889307796053572e-06,3.2886799630205132e-06,9.191616697989957e-06
1817,1.3560367371212578e-06,2.4240518634588426e-06,1.0454404900883674e-05
1818,1.2910634872298488e-06,2.4390728130541106e-06,1.0984173172801093e-05
1819,2.320705512204313e-06,1.5547276968064239e-06,1.1181204058630101e-05
1820,1.9461028628597887e-06,2.1003672392438943e-06,1.1241117192639649e-05
1821,2.576806906517959e-06,2.095566365323265e-06,1.1172079666721402e-05
1822,1.9820642478407535e-06,2.1615228007476617e-06,1.0256204859615536e-05
1823,1.3756699903666458e-06,2.2265693919720775e-06,1.1256380616941897e-05
1824,1.33643063549016e-06,1.818960369881495e-06,1.0769761388473853e-05
1825,1.595546255117597e-06,1.9451223691735464e-06,1.195074725046652e-05
1826,1.359071966078318e-06,1.8884318515599574e-06,9.69142502071918e-06
1827,1.1475504564373296e-06,1.5226935096701588e-06,9.232942431935953e-06
1828,1.385017434074598e-06,1.574884173294322e-06,9.610737208731734e-06
1829,9.7219814065852e-07,1.9581133954282848e-06,1.0432697536089108e-05
1830,1.425671769084147e-06,1.923508895718129e-06,9.805406989471521e-06
1831,1.1100939225627826e-06,2.248251903758103e-06,1.0316700866042083e-05
1832,1.2704640823812952e-06,2.306859874678935e-06,1.0331484986636497e-05
1833,1.16067954181176e-06,2.4325620581189256e-06,1.2277487769551954e-05
1834,1.5215285849023985e-06,2.256156192537162e-06,1.1359191034898686e-05
1835,1.6018619959368152e-06,2.227329368054143e-06,1.1057234701183916e-05
1836,1.6412071168758757e-06,2.209110550932536e-06,1.1109399963515898e-05
1837,1.626059081161202e-06,1.3609635214351101e-06,1.0504327946136982e-05
1838,1.6165446155014251e-06,1.171537195254757e-06,1.0238326353828597e-05
1839,1.6863437650727064e-06,1.2060294576343722e-06,9.35179713223988e-06
1840,2.4708022614561287e-06,7.649995952263566e-07,1.095713804488696e-05
1841,2.227288298684016e-06,9.983953210834784e-07,1.0223439005585533e-05
1842,2.2989224248703977e-06,9.103115594655264e-07,1.059637537537128e-05
1843,2.789834166350147e-06,6.456253793807321e-07,9.998628314633606e-06
1844,2.941868856964902e-06,7.409557789550547e-07,1.0710378489875438e-05
1845,3.290102434050368e-06,4.146109482405791e-07,1.040935717355751e-05
1846,2.8605093156386374e-06,5.064143877575589e-07,1.0890543421737675e-05
1847,2.254906753762498e-06,3.7105378769553e-07,1.0597684877211577e-05
1848,2.1834731107617245e-06,6.299408575882737e-07,9.833674198489462e-06
1849,2.271659361952061e-06,4.1394308625264387e-07,8.734701850698912e-06
1850,2.6741855414513793e-06,4.813398160052884e-07,9.156318526493123e-06
1851,2.5139912196436853e-06,3.7148767040307007e-07,9.668353982306144e-06
1852,2.8197173200794623e-06,4.615976678667977e-07,9.070492239970918e-06
1853,3.1884143822935584e-06,2.0244848464301413e-07,1.0028067549683328e-05
1854,4.1684813751885486e-06,3.6993132046525545e-07,8.996812425721146e-06
1855,3.531236032472407e-06,2.7489934950608585e-07,1.0108654123541783e-05
1856,4.417177763116342e-06,3.2460976662207486e-07,8.959643253092509e-06
1857,3.5957194910452017e-06,3.1290473589962176e-07,1.0290709610671911e-05
1858,3.3595086179616374e-06,3.7779178074792696e-07,1.100391995123573e-05
1859,3.3170417523820106e-06,2.332215334188703e-07,9.979641106383497e-06
1860,3.5935471913717265e-06,1.4463900499528393e-07,9.81073617367656e-06
1861,3.7336285885203324e-06,2.3909935920052305e-07,9.151799247320014e-06
1862,3.1083745035687116e-06,3.0812665313684207e-07,9.961707860384195e-06
1863,3.822882725046384e-06,3.0816811025236035e-07,9.314468513821339e-06
1864,3.741326182193916e-06,3.437819837692757e-07,9.578427864198602e-06
1865,3.809719729019889e-06,2.56993694103258e-07,9.872135365185386e-06
1866,3.691540584327413e-06,1.4548181903606405e-07,9.565795039634395e-06
1867,3.0776531509957294e-06,1.4801075209902592e-07,9.38291111651779e-06
1868,3.2079543146323886e-06,2.1834243058016511e-07,9.393664925028133e-06
1869,3.632361615046875e-06,1.0939082739636063e-07,1.0237321419026557e-05
1870,3.2064800592479514e-06,1.3360333284140324e-07,9.450858897253056e-06
1871,2.4354360164124955e-06,1.3595107106745274e-07,9.875570810891077e-06
1872,3.2413738466630093e-06,1.3727459879930848e-07,1.0238750405733299e-05
1873,2.8361689174971616e-06,1.6222072041216506e-07,8.955062355653354e-06
1874,2.3844664305272545e-06,1.2188202691554295e-07,8.42001657019864e-06
1875,3.00151317134123e-06,2.23711704272489e-07,9.100661372940522e-06
1876,2.758191904206342e-06,1.38453737363875e-07,9.36769566806106e-06
1877,2.4708340049528488e-06,9.586465021804713e-08,8.967364806267142e-06
1878,2.6191528377239592e-06,1.636593046638879e-07,9.09305600771404e-06
1879,2.5708039643745906e-06,1.2646303160224193e-07,1.0443891824252205e-05
1880,2.1486949748350526e-06,7.701415327687755e-08,9.224370330684906e-06
1881,2.324633985750779e-06,7.181682804002776e-08,9.203709794292081e-06
1882,2.2162431854155784e-06,1.2911446822805317e-07,9.135181983310758e-06
1883,2.0815902175286283e-06,9.79497516984118e-08,8.694146117704804e-06
1884,2.16535661579087e-06,8.318138000618092e-08,9.182960297948739e-06
1885,2.1663782270309184e-06,7.605850094183353e-08,9.124442271968292e-06
1886,2.2722646093598087e-06,1.0390076576882734e-07,8.641188486535611e-06
1887,2.128429372305618e-06,9.46694097003764e-08,8.558767660815647e-06
1888,2.2934002963381772e-06,7.672143520487396e-08,8.477402133166834e-06
1889,2.237906738145057e-06,8.896494330112859e-08,9.28555908785711e-06
1890,2.3523692398441653e-06,8.848422111684684e-08,8.655723149786354e-06
1891,2.2794210146059868e-06,8.159001951835165e-08,8.445204400686634e-06
1892,2.607701063084278e-06,8.775917414993728e-08,8.70320229751087e-06
1893,2.3740694850005184e-06,9.052872407266932e-08,8.755420878969744e-06
1894,2.485957192988053e-06,1.4304494322381345e-07,8.836648362375854e-06
1895,2.5512906987046335e-06,1.474560573644368e-07,9.118802495322598e-06
1896,2.6501248271415534e-06,6.368791449773425e-08,9.123293750690209e-06
1897,2.6855321735297366e-06,1.1828228674293229e-07,9.317497926986107e-06
1898,2.8642592369010345e-06,1.6748730491400465e-07,9.297808617247938e-06
1899,2.605700402114053e-06,7.406955049304997e-08,8.89553223260009e-06
1900,2.867018714880487e-06,8.149953301117563e-08,9.570744566644862e-06
1901,2.5484649839313533e-06,8.830207504084697e-08,9.499738382601208e-06
1902,2.2273046411669384e-06,6.285163306474217e-08,8.486934575557825e-06
1903,2.386897428152679e-06,6.534266727697968e-08,8.971385966560774e-06
