year,quelques_DET âmes_NOUN,quelques_DET ames_NOUN,quelques_DET femmes_NOUN
1800,7.545994984425874e-08,3.3013726730146686e-07,1.2482332607532953e-06
1801,5.0004833385131064e-08,3.4289030503842355e-07,1.3953729620652666e-06
1802,8.503792514602537e-08,2.416867346255458e-07,1.3471797331021662e-06
1803,4.8758479920252285e-08,2.0868630024040158e-07,1.556370733624135e-06
1804,4.202146608456303e-08,1.2606439270257397e-07,1.4262580236845679e-06
1805,2.842877755426798e-08,9.381496446358994e-08,1.2963522522113635e-06
1806,8.06867319624871e-08,8.06867319624871e-08,1.1324959530156775e-06
1807,3.701041606518629e-08,2.0782771992244875e-07,2.075430245440657e-06
1808,3.6257183921861724e-08,1.6995554430465631e-07,1.1806245225898238e-06
1809,7.228897658251299e-08,2.281620865574041e-07,1.1634007748284603e-06
1810,3.978215445954447e-08,2.7145471293010814e-07,1.013274896877192e-06
1811,3.5099075201827645e-08,9.276183998707666e-08,9.251113510799769e-07
1812,8.801787165779729e-08,1.3869483117545656e-07,1.0348767744972065e-06
1813,1.5241430628698538e-07,1.782959770935122e-07,1.5241430446621962e-06
1814,2.485874954771816e-07,2.548808488711529e-07,1.4852316496671847e-06
1815,2.4814457333377504e-07,2.1577788800186681e-07,1.7073425340186077e-06
1816,1.62232268507978e-07,1.9467872824918686e-07,1.814683827205954e-06
1817,1.4323234798219175e-07,2.2418976541871416e-07,1.7110038754708512e-06
1818,1.3709354096391735e-07,2.3484719435806767e-07,1.5688269456859416e-06
1819,2.84653873805496e-07,1.3249344288368547e-07,1.2276345842110459e-06
1820,2.753023604640248e-07,2.017301730106169e-07,1.4382175095306593e-06
1821,2.7217706755067184e-07,1.1242096542574131e-07,1.434846510051102e-06
1822,1.7845596289589594e-07,1.4938167680611514e-07,1.1409150459940065e-06
1823,1.610877964353108e-07,1.9666547679264568e-07,1.3460220031902281e-06
1824,2.138962686970558e-07,1.3473780047235095e-07,1.670748758897389e-06
1825,1.822726645173134e-07,2.2806096811045506e-07,1.4273623207827768e-06
1826,2.149148130570211e-07,1.5149733711972146e-07,1.0772164813488416e-06
1827,1.7236300386969106e-07,1.7420645370691545e-07,9.73344015164912e-07
1828,1.467568182533796e-07,1.3850174163110296e-07,1.1777234760756983e-06
1829,1.894671894930866e-07,2.863440663469774e-07,9.962030560473067e-07
1830,1.8681936797548815e-07,2.3482881350567197e-07,1.2639008275527885e-06
1831,2.8687818520722885e-07,3.1961973689931256e-07,1.1303624489755748e-06
1832,3.4636720336322924e-07,2.8277635166773507e-07,1.3624679695567465e-06
1833,2.247223869211723e-07,2.1198040034420274e-07,1.5834820032978314e-06
1834,2.669675946975758e-07,2.3523018199966828e-07,1.2368253692329745e-06
1835,2.4277512267190104e-07,1.7168209609508267e-07,1.5020292778444855e-06
1836,2.379145565001295e-07,1.841485577358526e-07,1.2870236361095522e-06
1837,2.998850909818884e-07,1.3985360380885936e-07,1.4103644616625388e-06
1838,2.7205418007270055e-07,1.224559380563761e-07,1.2548577501547697e-06
1839,3.523703533403477e-07,1.7408773200777716e-07,1.210224311876118e-06
1840,4.840963434560308e-07,8.981261173657273e-08,1.0802991994296463e-06
1841,3.9229551518360495e-07,1.2841097252191958e-07,1.2089893459688028e-06
1842,4.2060821847655916e-07,1.3953191668747422e-07,1.3751943015449797e-06
1843,4.382927905055567e-07,7.856191719390893e-08,1.0969133796834285e-06
1844,4.890308176186409e-07,5.214133191877579e-08,1.020872375079307e-06
1845,5.429561564795904e-07,6.91948264242015e-08,1.10097899153061e-06
1846,5.134397440542671e-07,5.795956248277889e-08,1.5602245468926412e-06
1847,5.263786384546165e-07,5.069630049092666e-08,1.1293410153712102e-06
1848,3.459445316877918e-07,4.18351535080852e-08,1.1601209450873284e-06
1849,5.538793050874347e-07,5.111443246441638e-08,9.259253346272089e-07
1850,4.3245903569300026e-07,5.159636806695289e-08,1.0434687141014365e-06
1851,5.217596097395472e-07,6.900899318651454e-08,9.629012254208646e-07
1852,5.130309954637369e-07,2.734429060957666e-08,9.134295453350205e-07
1853,4.6401910580584627e-07,8.957897978945084e-09,1.077336520438621e-06
1854,6.188036394405572e-07,2.8056588274871785e-08,1.0178306553143557e-06
1855,5.726185428045483e-07,3.237231638308913e-08,1.0406903925286315e-06
1856,6.916724846206534e-07,2.8992260148186233e-08,8.806398597016596e-07
1857,6.380132511196734e-07,2.1478640421790374e-08,1.126652321659094e-06
1858,7.086043041226731e-07,4.8936761531948036e-08,1.2209721660383366e-06
1859,6.375400865010761e-07,1.5276520493046064e-08,1.070884053433474e-06
1860,6.101386134105269e-07,7.781212424395889e-09,1.152077203414592e-06
1861,6.413710806896233e-07,1.8392257716826066e-08,8.276516041405557e-07
1862,5.63392912766858e-07,1.2650361730370818e-08,9.880836131515025e-07
1863,6.193329724624164e-07,1.3485476735297652e-08,9.289994551409109e-07
1864,5.955052309047915e-07,2.828889522632494e-08,8.783941325418709e-07
1865,6.1612593960092e-07,2.0710114623234688e-08,1.0844569260370918e-06
1866,5.011581034608525e-07,1.3623716377253459e-08,8.792162873305642e-07
1867,5.444854433989121e-07,9.220341823379385e-09,1.0229726683519402e-06
1868,4.668181059486187e-07,1.383164716095564e-08,8.027295308465909e-07
1869,5.27908436964708e-07,9.278686596836394e-09,1.0641188055160455e-06
1870,6.089560073974098e-07,1.0894692259455496e-08,9.082733072318661e-07
1871,3.876729604002094e-07,1.5931766128574054e-08,7.137431339288014e-07
1872,4.7411140435826837e-07,9.675742873582749e-09,9.542701349118943e-07
1873,3.992664918683886e-07,8.979006871356887e-09,8.28463029733939e-07
1874,4.044810326675474e-07,1.0156835539287812e-08,9.194923364930219e-07
1875,4.3941328442542726e-07,1.0298748520654044e-08,8.439252496827976e-07
1876,3.7606211122920286e-07,4.836811839936672e-09,8.361638776932523e-07
1877,3.7789225260098647e-07,6.8032977029730546e-09,8.565969835672149e-07
1878,3.351694086717316e-07,9.662541822219595e-09,8.889538491985149e-07
1879,4.148231766976096e-07,8.553055041993218e-09,8.956270960425172e-07
1880,3.4335477927527336e-07,1.2835692508872398e-09,8.240514688395706e-07
1881,3.1167109071361665e-07,6.972507515801141e-09,6.847002183008044e-07
1882,3.1014094847847673e-07,6.655385131892899e-09,7.247714179925424e-07
1883,2.7362737409220017e-07,1.8958017378167824e-09,8.019240880230427e-07
1884,3.4658908987239556e-07,5.941527270181268e-09,7.572146643042288e-07
1885,3.1970353120414075e-07,1.933690763067375e-09,7.90879497003516e-07
1886,2.787896509204302e-07,5.808117431449489e-09,7.337588385780691e-07
1887,2.9119005118261043e-07,3.917354718385724e-09,6.470164066740836e-07
1888,2.967407635168229e-07,3.804368819970705e-09,6.277208726146455e-07
