year,leurs_DET îles_NOUN,leurs_DET iles_NOUN,leurs_DET fils_NOUN
1800,3.3956976608351397e-07,1.8864987794131594e-08,1.638109655033304e-06
1801,3.071725651615509e-07,1.1905912700171939e-08,1.0524827338542764e-06
1802,2.0364345232337655e-07,1.1189200677108602e-08,1.3762716264409391e-06
1803,1.7748087088875764e-07,1.950339223455444e-09,1.2267633948681578e-06
1804,1.97748079244775e-07,1.7302956178966156e-08,1.3595180288206166e-06
1805,1.02343598484822e-07,5.685755422035754e-09,1.5863257356585336e-06
1806,6.051504897186533e-08,0.0,1.4062545368176416e-06
1807,2.619198742337403e-07,1.7081731584767113e-08,1.6797035087279255e-06
1808,3.331128812789075e-07,1.5862518409903714e-08,1.2372764093271371e-06
1809,4.450290180812999e-07,9.036122072814123e-09,1.373490574607672e-06
1810,1.2870697219113936e-07,6.786367867661625e-08,1.3713143260929428e-06
1811,8.273353557797236e-08,1.2535384286138651e-08,1.3212294263098556e-06
1812,2.9339290108509886e-07,1.600324850414836e-08,1.4883021464129342e-06
1813,2.5881675935757187e-07,0.0,1.3774802525290397e-06
1814,2.3285410222229075e-07,3.1466771410748606e-09,1.793605958866351e-06
1815,2.4275013288388436e-07,5.394447111228828e-09,1.6453064066723755e-06
1816,2.2712518443768204e-07,4.6352077731626196e-09,1.0614625303162484e-06
1817,1.1832237589715078e-07,4.670620223912181e-09,1.4307666447166412e-06
1818,2.2650236530807888e-07,3.5763532135746345e-09,1.5759796276881843e-06
1819,2.929347147073713e-07,1.656168058250529e-08,1.7224147494943054e-06
1820,3.55994444589669e-07,2.254631414899677e-08,1.4227910938302557e-06
1821,1.715899031751178e-07,2.5639868672655552e-08,1.6873006103423904e-06
1822,2.1454818011079624e-07,1.5038423839541792e-08,1.5720165293942046e-06
1823,2.24336996978991e-07,1.087095569118901e-08,1.2659722141705743e-06
1824,1.1536924660049408e-07,3.3684450784221553e-09,1.5536953483774596e-06
1825,2.0956954926987237e-07,8.805443485471187e-09,1.7267473637616604e-06
1826,2.783323056476661e-07,3.435113882233054e-08,1.8452727488238452e-06
1827,1.354939165310043e-07,1.474763688946723e-08,1.6674046481313098e-06
1828,2.4398320874752244e-07,1.2841221419535032e-08,1.6234973330142566e-06
1829,2.4090624606287747e-07,1.800366966620004e-08,1.7429266989665848e-06
1830,2.6613930548258224e-07,8.349468672008697e-09,1.953775694119031e-06
1831,1.2940701488162176e-07,4.677361831184612e-09,1.7493333661633415e-06
1832,1.27181706943702e-07,8.117981842303834e-09,1.6005953664688377e-06
1833,4.170106251422112e-07,8.57188530156705e-08,1.7259607005826183e-06
1834,3.145736968690471e-07,1.8669062740173104e-08,1.7343558624816069e-06
1835,2.2840524849243593e-07,1.8907719834260206e-08,1.6699298299727161e-06
1836,3.6964125804672676e-07,1.7473950730817478e-08,1.6660739969864835e-06
1837,2.2404408361875738e-07,2.852735292435682e-08,1.7088580470669967e-06
1838,1.3697391310074636e-07,3.09295935529974e-08,1.9271030211598372e-06
1839,1.461218241960438e-07,1.887698375391267e-08,1.8562366079777348e-06
1840,2.1147366169316228e-07,2.1019971874203236e-08,1.894982405659107e-06
1841,1.9004824025614653e-07,1.9903700465562224e-08,1.8869991738057479e-06
1842,1.6435248717527884e-07,1.609983613093391e-08,2.0715122737158254e-06
1843,2.0319774307608895e-07,2.126488007903049e-08,1.8033799431549369e-06
1844,1.2349262523692062e-07,1.8112251365387522e-08,2.0856533211599526e-06
1845,7.700714377278928e-08,8.37034219713928e-09,1.685786905625264e-06
1846,1.3933713205460663e-07,1.8148954339380907e-08,1.8312879941362326e-06
1847,1.1325769655456952e-07,1.5101026207275936e-08,1.969065849038998e-06
