year,cents_ADJ âmes_NOUN,cents_ADJ ames_NOUN,cents_ADJ femmes_NOUN
1800,6.288328968651058e-09,6.288328791015374e-08,2.421006684016902e-07
1801,1.4287095950749062e-08,1.4287095950749062e-08,1.8335106233280385e-07
1802,1.5664880947952042e-08,6.489736392722989e-08,1.5888664961494214e-07
1803,1.950339223455444e-09,2.9255089017965474e-08,1.2482171030114841e-07
1804,0.0,2.7190360185613827e-08,1.2853624298259092e-07
1805,2.842877711017877e-09,5.1171799242411e-08,1.051864728651708e-07
1806,2.881669125542885e-09,8.645007376628655e-09,7.780506905419315e-08
1807,2.8469551160981155e-09,1.7081731584767113e-08,2.135216305987342e-07
1808,2.039466551195801e-08,3.852325747288887e-08,1.9035022091884457e-07
1809,2.4849335034105025e-08,2.710836710662079e-08,1.1295152546608733e-07
1810,7.020380277111826e-09,6.31834211617388e-08,1.6380887757350138e-07
1811,2.2563691359778204e-08,2.5070768572277302e-08,1.6045291317823285e-07
1812,5.3344164641089264e-09,8.801787032552966e-08,1.0668833283489221e-07
1813,5.751483289628823e-09,0.0,1.8117172828624462e-07
1814,3.4613449884091096e-08,3.1466771410748606e-09,3.020809913323319e-07
1815,1.2407228666688752e-07,5.394447111228828e-09,1.1598061178119679e-07
1816,2.3176038865813098e-08,1.8540831092650478e-08,7.648093003354006e-08
1817,3.113746771532533e-08,2.3353100786493997e-08,8.251429051142622e-08
1818,2.6226590676969863e-08,3.5763532135746345e-09,1.8954672498239233e-07
1819,2.794783426907088e-08,2.070209959015301e-08,2.3082841948962596e-07
1820,4.9839222526770754e-08,1.0679833017945839e-08,1.96983592104516e-07
1821,6.01550809165019e-08,2.3667571014129862e-08,2.199111861500569e-07
1822,5.413832582235045e-08,8.02049271442229e-09,1.4837911521681235e-07
1823,1.581229902569703e-08,3.360113609574e-08,2.510202534722339e-07
1824,7.326367779114662e-08,7.57900142644985e-09,1.8947503122035414e-07
1825,7.924898959288385e-09,1.7610886970942374e-08,2.668049319254351e-07
1826,6.253669226907732e-08,4.844391554570393e-08,2.334115833946271e-07
1827,5.622536392024813e-08,1.013900075008678e-08,1.8065854590076924e-07
1828,1.1098484264948638e-07,1.559291185060374e-08,1.6968756710866728e-07
1829,5.829759786024624e-08,2.3147574523818548e-08,1.6117570567075745e-07
1830,2.922314124020886e-08,2.7135772739939057e-08,1.7220779113813478e-07
